,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
1222,Brioche tranchée bio,3262970322781,,,['France'],[],,,[],,?,356,1490 kj(356 kcal),12,"1,2","53,2","12,7","7,6","1,17","0,468",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Crème Fraîche Label Rouge Fluide 32 % - Alsace lait - 1L,3262970703023,['Alsace lait'],,['France'],"[""Crème fraîche fluide pasteurisée à 32 % de matière grasse élaborée à partir de lait issu d'animaux nourris sans OGM <0,9 %""]",,['Lait'],[],,1274,309,1274 kj(309 kcal),32,22,"3,2","3,2","2,1","0,09","0,036",C,Crème fraîche fluide pasteurisée à 32% de matière grasse,1 L,,"['Produits laitiers', 'Crèmes', 'Crèmes fraîches', 'Crèmes liquides']",['Label Rouge'],,,32 g,en quantité élevée,22 g,en quantité élevée,3.2 g,en faible quantité,0.09 g,en faible quantité,+37%,+23%,+24%,+29%,+33%,-18%,-8%,-15%,-7%,-7%,13,+11%,D,+11%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['67723', 'Hoerdt', 'France']",,
1224,Crème Fraîche Fluide 30 %,3262970703085,,,['France'],[],,,[],,?,292,1222 kj(292 kcal),30,21,"3,3","3,3","2,2","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Crème liquide entière UHT - Petite France - 1l,3262970703191,['Petite France'],['Grand Frais'],['France'],"['Crème pasteurisée', ""émulsifiant : esters lactiques des mono - et diglycérides d'acides gras"", 'stabilisant : carraghénanes']","[""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1204,1204,1204 kj(1204 kcal),30,20,"3,3","3,3","2,2","0,09","0,036",B,,1 l,"['Brique', 'Carton']","['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes entières', 'Crèmes liquides']",,,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",30 g,en quantité élevée,20 g,en quantité élevée,3.3 g,en faible quantité,0.09 g,en faible quantité,+45%,+412%,+27%,+35%,+34%,-25%,-9%,-12%,-9%,-9%,13,+17%,D,+17%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],,
1226,Crème Fraîche épaisse 30 % - Alsace Lait - 5kg,3262970703443,['Alsace Lait'],,['France'],"['Crème* fraîche pasteurisée', 'ferments lactiques', ' * Origine : France']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,1204,292,1204 kj(292 kcal),30,20,"3,3","3,3","2,2","0,09","0,036",,Crème Fraîche épaisse à 30 % de matière grasse,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['67723', 'Hoerdt', 'France']",,
1227,Crème légère pour le café - Alsace lait - 100g (10x 10g),3262970703993,['Alsace lait'],,['France'],"['Crème légère ', '77 %', 'lait']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,491,118,491 kj(118 kcal),10,"6,8",4,4,"3,1","0,13","0,052",,"Crème légère pour le café, stérilisée UHT à 10% de matière grasse",100g (10 x 10g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['67723', 'Hoerdt', 'France']",,
1228,Crème anglaise prête à l'emploi - Alsace Lait - 1L,3262970704587,['Alsace Lait'],,['France'],"['Lait* pasteurisé', 'sucre 9,1 %', 'crème* pasteurisée', 'amidon modifié', ""jaune d'œuf pasteurisé"", 'arôme', 'colorant : caroténoïdes', 'stabilisants : pectines et carraghénanes', ' * Origine : France']","['E14XX - Amidons modifiés', 'E160 - Caroténoïdes', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,426,101,426 kj(101 kcal),"2,7","1,8",16,14,"3,2","0,1","0,04",B,"Préparation pour crème anglaise, saveur vanille, stérilisée UHT",1 L,"['Tetra Pak', 'Brique en carton']","['Epicerie', 'Produits laitiers', 'Sauces', 'Sauces dessert', 'Crèmes anglaises']",,,,2.7 g,en faible quantité,1.8 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,-1%,-2%,-2%,-11%,-2%,+3%,+1%,-2%,-22%,-22%,4,+22%,C,+22%,63.7%,15.6%,9.2%,6.6%,3.9%,1.0%,86,"['67723', 'Hoerdt', 'France']",,
1229,Crème Anglaise à la vanille de Madagascar - Alsace Lait - 1L,3262970704594,"['Alsace Lait', 'Coopérative Alsace Lait']",['Auchan'],['France'],"['Lait* pasteurisé', 'crème* pasteurisée', 'sucre : 9 %', 'amidon modifié', ""jaune d'œuf pasteurisé"", 'arôme naturel de vanille ', 'dont extrait de vanille de Madagascar', 'colorant : caroténoides', 'stabilisants : pectines et carraghénanes', 'grains de vanille épuisée de Madagascar', ' * Origine : France']","['E14XX - Amidons modifiés', 'E160 - Caroténoïdes', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,426,101,426 kj(101 kcal),"2,7","1,9",16,14,"3,2","0,1","0,04",A,Crème Anglaise à la vanille stérilisée UHT,1 L,"['Brique', 'Carton', 'Brique en carton']","['Epicerie', 'Produits laitiers', 'Sauces', 'Sauces dessert', 'Crèmes anglaises']",,,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",2.7 g,en faible quantité,1.9 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,-1%,-2%,-2%,-11%,+3%,+3%,+1%,-2%,-22%,-22%,4,+22%,C,+22%,63.7%,15.6%,9.2%,6.6%,3.9%,1.0%,86,"['Alsace', 'France']",,
1230,"Fromage Blanc  Nature lissé 2,80% - Alsace Lait - 5kg",3262970805055,"['Alsace Lait', 'Alsace Lait Professionnel']",,['France'],"['Lait* pasteurisé', 'crème* fraîche pasteurisée', 'ferments lactiques', ' * Origine : France']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,299,71,299 kj(71 kcal),"2,8","1,9","5,1","5,1","6,4","0,09","0,036",B,"Fromage Blanc  Nature lissé à 2,80% matière grasse",5 kg,"['Plastique', 'Seau', 'Frais']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",,['France'],"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",2.8 g,en faible quantité,1.9 g,en quantité modérée,5.1 g,en quantité modérée,0.09 g,en faible quantité,-8%,-13%,-12%,-29%,-26%,+23%,+31%,-7%,-13%,-13%,-1,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['France', '67723', 'Hoerdt']",,
1231,"Fromage blanc au citron, échalotte et aneth - Bibeleskaes - Coopérative Alsace Lait - 2x 125g",3262970805819,['Coopérative Alsace Lait'],,['France'],"['Lait* pasteurisé', 'crème* fraîche pasteurisée', 'jus de citron :3 %', 'échalote : 2 %', 'aneth: 2 %', 'sel', 'épaississant : xanthane', 'conservateur : sorbate de potassium', 'ferments lactiques', ' * Origine : France']","['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,464,112,464 kj(112 kcal),8,"5,5","4,2","4,2","5,7",1,"0,4",B,"Fromage blanc au citron, échalotte et aneth",2 x 125g,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",['en:lait-francais-french-milk'],['France'],,8 g,en quantité modérée,5.5 g,en quantité élevée,4.2 g,en faible quantité,1 g,en quantité modérée,+24%,+23%,+23%,+99%,+111%,-36%,-30%,-12%,+835%,+835%,7,+2339%,C,+2339%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['67723', 'Hoerdt', 'France']",,
1232,Fromage blanc - Le prix gagnant! - 1kg,3262970807356,['Le prix gagnant!'],['Leader Price'],['France'],"['Lait écrémé pasteurisé', 'crème fraiche', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,296,?,296 kj(71 kcal),"2,8",,"3,5",,"7,8",,,B,Fromage blanc,1 kg,"['Plastique', 'Pot']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",['Fabriqué en France'],['France'],"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",2.8 g,en faible quantité,,,,,,,-21%,,-22%,-31%,,-46%,,+21%,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,
1233,Fromage blanc nature 8.3% - Alsace Lait - 360g (6x 60g),3262970807745,['Alsace Lait'],,['France'],"['Lait* pasteurisé', 'crème* pasteurisée 26,2 %', 'ferments lactiques', ' * Origine : France']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,492,118,492 kj(118 kcal),"8,3","5,6","4,5","4,5","6,4","0,09","0,036",C,Fromage blanc nature à 8.3% de matière grasse,360 g (6 x 60g),,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,,8.3 g,en quantité modérée,5.6 g,en quantité élevée,4.5 g,en faible quantité,0.09 g,en faible quantité,+31%,+30%,+30%,+106%,+115%,-31%,-25%,-1%,-16%,-16%,3,+945%,C,+945%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['67723', 'Hoerdt', 'France']",,
1234,Lait fermenté - Alsy - 1L ℮,3262971311258,['Alsy'],['Leader Price'],['France'],"['Lait ', 'France', ' pasteurisé à 1% de matière grasse', 'ferments lactiques ', 'lait']",,['Lait'],['Non végétalien'],3,?,43,180 kj(43 kcal),"1,1","0,8","4,9","4,9","3,4","0,12","0,048",B,Lait fermenté nature,1 L ℮,"['Triman', 'Green dot', 'Pensez au tri!', 'Brique carton et son bouchon à recycler', 'Pure-pak', 'Frais']","['Produits laitiers', 'Laits', 'en:Butter milk', 'en:Fermented milk']",,,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",1.1 g,en faible quantité,0.8 g,en faible quantité,4.9 g,en faible quantité,0.12 g,en faible quantité,,-35%,-34%,-47%,-33%,-19%,-10%,-4%,-3%,-3%,-1,-274%,A,-274%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Alsy', '67723', 'Hoerdt', 'France']",,
1235,Brillat-Savarin,3263091000022,,,['France'],[],,,[],,?,408,1707 kj(408 kcal),40,"28,8",2,"0,4",10,"1,4","0,56",D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",['IGP'],,,40 g,en quantité élevée,28.8 g,en quantité élevée,0.4 g,en faible quantité,1.4 g,en quantité modérée,,+6%,+6%,+4%,+8%,+21%,-31%,+16%,+27%,+27%,16,+13%,D,+13%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
1236,Brillat-Savarin affiné - Lincet - 200g,3263091001081,['Lincet'],,['France'],[],,,[],,1610,?,1610 kj(385 kcal),38,"27,4",2,1,10,1,"0,4",C,,200 g,"['Frais', 'Feuille']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",['IGP'],,,38 g,en quantité élevée,27.4 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,,0%,-1%,+3%,+21%,+74%,+16%,-9%,-9%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
1237,Chaource Lincet Aop - Didier lincet - 50g,3263091001289,['Didier lincet'],,['France'],[],,,[],,?,270,1130 kj(270 kcal),22,"15,5",1,"0,5",17,2,"0,8",D,,50 g,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Chaource']",,,"['FR 89.373.001 CE', 'Saligny (Yonne, France)']",22 g,en quantité élevée,15.5 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,-2%,-2%,0%,-4%,0%,+45%,-1%,+3%,+3%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
1238,Fromage des Gourmets,3263092001011,,,['France'],[],,,[],,?,390,1632 kj(390 kcal),38,"27,4",2,1,10,1,"0,4",,,,,,,,"['FR 89.373.001 CE', 'Saligny (Yonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Rond des Vignes - Lincet - 70g,3263093001201,['Lincet'],['Carrefour'],"['France', 'États-Unis']","['Lait', 'sel', 'ferments', 'présure', 'Marc de Bourgogne ', 'traces']",,['Lait'],['Non végétalien'],3,1287,?,1287 kj(308 kcal),26,18,"2,2",0,17,"2,1","0,84",D,Fromage à pâte molle au lait pasteurisé,70 g,"['Bois', 'Plastique', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée']",,,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",26 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,+1%,,+2%,+6%,+8%,+299%,-100%,-14%,+31%,+31%,17,+15%,D,+15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bourgogne', 'France']",,http://www.fromagerie-lincet.net/wp-content/uploads/2016/02/ROND-DES-VIGNES-70G-LINCET.pdf
1240,Pain complet - L'épi - 500g,3263110014931,"[""L'épi""]",,['France'],"['Gruau de seigle complet', 'eau', 'graines de tournesol ', '5 %', 'sel', 'levure']",,['Gluten'],[],3,926,?,926 kj(221 kcal),"4,5","0,5","34,2","1,9","6,1","1,18","0,472",,,500 g,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",,,,4.5 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en faible quantité,1.18 g,en quantité modérée,-11%,,-12%,+31%,-7%,-20%,-48%,-30%,+1%,+1%,-1,-251%,A,-251%,,,,,,,,,,
1241,Meringues - L'épi - 140g,3263110047106,"[""L'épi""]",['Cora'],['France'],"['Sucre', ""blanc d'oeufs"", 'sel', 'arôme vanille']",,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,396,1657 kj(396 kcal),"1,1","0,02","95,3","84,1","3,3",,,C,,140 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']","['Sans colorants', 'Sans conservateurs']",,,1.1 g,en faible quantité,0.02 g,en faible quantité,84.1 g,en quantité élevée,,,,+5%,+5%,+7%,-95%,+9%,+1%,-18%,,,,,,,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,
1242,Marzipanstollen - L’Epi,3263110070029,['L’Epi'],,['France'],"['farine de blé', 'raisins secs 23%', 'graisse de palme', 'sucre', 'eau', 'amandes 4%', 'levure,dex - trose', ""écorce d'orange confite 1,5% "", 'sirop de glucose et fructose', ""écorce d'orange"", 'acidifiant: acide ci - trique', 'écorce de citron confite 1,5% ', 'sirop de gllcose et fructose', 'écorce de citron', 'écorce de cédrat', 'acidifiant: acide citrlque', 'LhLlile de colza', 'humectant: seÌbìtol', ' sirop de sucre invertÌ$eI', 'arôme naturel,']",,"['Gluten', 'Fruits à coque']",['Huile de palme'],4,?,394,1648 kj(394 kcal),17,"8,1",54,29,"4,9","0,6","0,24",,,,,,"['Bio', 'Fabriqué en Allemagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
1243,Stollen aux amandes - L'epi,3263110070043,"[""L'epi""]",,['France'],"['raisins secs 25%', 'farine de blé', 'sucre', 'graisse de palme,amandes 6%', 'dextrose', ""écorce d'orange confite 2,5% "", 'sirop de glucose et fructose', ""écorce d'orange"", 'acidifiant: acide citrique', 'écorce de citron confite 2,5% ', 'sirop de glucose et fructose', 'écorce de citron', 'écorce de cédrat', 'acidifiant: acide citrique', 'levure', 'humectant: sorbitol', ' sirop de sucre inverti', 'huile de colza', 'amidon de blé', 'arôme naturel', 'sel', ""émulsifiant: mono- et diglycérides d'acides gras"", ' épaississant: gomme guar', "" Peut contenir des traces d'autres noix"", 'lait', 'œufs', 'soja et sésame']","['E330 - Acide citrique', 'E420 - Sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar']","['Gluten', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,?,401,1678 kj(401 kcal),17,"7,5",55,34,"5,3","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
1244,Pain special de campagne - La boulangère,3263190643137,['La boulangère'],,['France'],"['Farine de blé 52,6%', 'eau', 'huile de colza', 'semoule de blé dur', 'levain de blé dévitalisé', 'sel', ""émulsifiants : mono et diglycérides d'acides gras"", 'lécithine de colza', 'farine de seigle', ' farine d’orge malté torréfié', 'agent gélifiant : gomme de guar', 'gomme xanthane', 'farine de blé maltée torréfiée', 'levure', 'Conservateur : propionate de calcium', 'agent de traitement de la farine : acide ascorbique', 'levure désactivée', '\rTraces possible de soja', 'lait et œuf']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,265,1109 kj(265 kcal),"3,9","0,5","47,4","3,4",8,"1,5","0,6",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",,,,3.9 g,en quantité modérée,0.5 g,en faible quantité,3.4 g,en faible quantité,1.5 g,en quantité modérée,,-0%,-0%,+15%,+4%,-2%,+71%,-2%,+20%,+20%,1,-65%,B,-65%,,,,,,,,,,
1245,Beurre Doux - Beurrerie de Mon Village - 250g,3263240000149,"['Beurrerie de Mon Village', 'Lebeau']",,['France'],"['Beurre ', 'lait', ' origine UE', ' Matière Grasse : 82 %']",,['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2,?,732,3063 kj(732 kcal),82,57,1,1,"0,7",0,0,E,,250 g,"['Frais', 'Plastique']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",,['Union européenne'],,82 g,en quantité élevée,57 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,,-0%,+0%,+1%,+3%,+42%,+56%,+1%,-100%,-100%,19,+1%,E,+1%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,
1246,Boulette d'Avesnes - Lebeau - 150g,3263240000163,['Lebeau'],,['France'],[],,,[],,1282,?,1282 kj(306 kcal),25,18,"< 0,5","< 0,5",21,"2,3","0,92",D,,150g,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', ""Boulettes d'Avesnes"", 'Spécialités fromagères']",,,"['FR 02.558.002 CE', 'Nouvion-en-Thiérache (Aisne, France)', 'EMB 02558B', 'Nouvion-en-Thiérache (Aisne, France)']",25 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,+3%,,-6%,-6%,+1%,-59%,-33%,+3%,+77%,+77%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
1247,Beurre doux,3263240000255,,,['France'],[],,,[],,?,732,3063 kj(732 kcal),82,57,1,1,"0,7",1,"0,4",E,,,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",,,,82 g,en quantité élevée,57 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,+0%,+0%,+1%,+3%,+35%,+47%,+2%,+1521%,+1521%,23,+23%,E,+23%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,
1248,Fromage blanc nature 0% - Lebeau - 250g,3263240000323,['Lebeau'],['Carrefour Market'],['France'],['Fromage blanc'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,55,230 kj(55 kcal),"0,1","0,07","4,5","4,5",9,"0,09","0,036",C,,250 g,"['Barquette', 'Plastique']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']","['Peu ou pas de matière grasse', 'Sans matière grasse']",,"['FR 59.363.030 CE', 'Louvignies-Quesnoy (Nord, France)']",0.1 g,en faible quantité,0.07 g,en faible quantité,4.5 g,en faible quantité,0.09 g,en faible quantité,,-33%,-33%,-97%,-97%,+8%,+16%,+31%,-13%,-13%,-5,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,
1249,Fromage Blanc 0% aux Herbes -  - 500g,3263240000415,,['Auchan'],['France'],"['Lait de vache pasteurisé ', 'origine France', 'ferments', 'présure', 'estragon', 'poivre,sel']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,233,975 kj(233 kcal),"0,1","0,07","4,5","4,5",9,"0,8","0,32",B,,500 g,"['Barquette', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,['France'],"['FR 59.363.030 CE', 'Louvignies-Quesnoy (Nord, France)']",0.1 g,en faible quantité,0.07 g,en faible quantité,4.5 g,en faible quantité,0.8 g,en quantité modérée,,-29%,-29%,-100%,-100%,+272%,+506%,-56%,-38%,-38%,0,-100%,B,-100%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['France', 'Louvignies Quesnoy']",,
1250,Boudin blanc forestier - Prestiges,3263268203775,['Prestiges'],,['France'],[],,,[],,?,260,1088 kj(260 kcal),"21,4","8,3","8,4","5,1","8,3","1,7","0,68",D,,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,21.4 g,en quantité élevée,8.3 g,en quantité élevée,5.1 g,en quantité modérée,1.7 g,en quantité élevée,,+7%,+7%,+6%,+6%,+95%,+159%,-19%,+14%,+14%,19,+19%,E,+19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,
1251,Bardolino 2016 - Villa Cardini - 75cl,3263280117036,['Villa Cardini'],,['France'],['Contient sulfites'],,['Anhydride sulfureux et sulfites'],[],3,?,?,,?,,?,,?,,,C,,75 cl,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins italiens', 'it:Bardolino']","['Point Vert', 'Déconseillé aux femmes enceintes', 'it:DOC']",['Italie'],,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Italie'],,
1252,CABERNET-SYRAH - J.P. CHENET - 250ml,3263286324216,['J.P. CHENET'],,"['France', 'Suisse']",['CONTIENT DES SULFITES'],,['Anhydride sulfureux et sulfites'],[],,?,?,,?,,?,,?,,,,,250 ml,,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,EL EMPERADOR - vin du chili - 1,3263286347123,['vin du chili'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,1,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vin du Chili']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
