,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
1005,Sardines,3061435002400,B,"['Produits de la mer', 'Poissons', 'Sardines']",['France'],[],[],13 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.85 g,en quantité modérée,?,,222,-3%,929 kj(222 kcal),-3%,13,-18%,"3,3",-8%,0,-100%,0,-100%,26,+26%,"0,85",-8%,"0,34",-8%,3,-41%,C,-41%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,,,,,,,,,
1006,Cœurs de palmier - EpiSaveurs,3061435002486,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de plantes en conserve', 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier', 'Cœurs de palmier en conserve']",['France'],"['Cœurs de palmiers', 'eau', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.6 g,en quantité modérée,?,,31,+11%,130 kj(31 kcal),+8%,0,-100%,0,-100%,4,+27%,2,+124%,2,-11%,"0,6",-24%,"0,24",-24%,1,,B,,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,['Conserve'],['EpiSaveurs'],['E330 - Acide citrique'],,3,,,['Produits destinés aux professionnels'],,,,,,
1007,Sirop de pêche - Gusto DeBrio - 1L,3061435002929,A,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",['France'],"['Sirop de glucose-fructose', 'sucre', 'eau', 'jus de pêche à base de jus concentré ', '10%', 'acidifiant : acide citrique', 'arôme', 'stabilisant : E445', 'antioxydant : acide ascorbique', 'colorant : caroténoïdes']",[],,,,,,,,,1377,+15%,324,+26%,1377 kj(324 kcal),+24%,"< 0,5",+307%,"< 0,1",+226%,80,+17%,80,+23%,"< 0,5",+257%,"< 0,01",-71%,"0,004",-71%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Bouteille'],['Gusto DeBrio'],"['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes']",,4,,1 L,,,,,,,
1008,Moutarde à l’ancienne - EpiSaveurs,3061435003216,C,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'vin blanc ', 'contient des sulfites', 'sucre', 'épices', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",11 g,en quantité modérée,0.8 g,en faible quantité,2.4 g,en faible quantité,4 g,en quantité élevée,?,,166,+2%,695 kj(166 kcal),+3%,11,-3%,"0,8",+0%,"3,7",-20%,"2,4",-2%,"7,7",+6%,4,-20%,"1,6",-20%,7,-29%,C,-29%,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,"['Seau', 'Plastique']",['EpiSaveurs'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",3,,,['Produits destinés aux professionnels'],,,,,,
1009,Jus de pamplemouse rose - Gusto DeBrio,3061435003247,,"['Boissons', 'Boissons sans sucre ajouté']",['France'],['Jus de Pamplemousse rose'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,7.6 g,en quantité élevée,0 g,en faible quantité,?,,37,-16%,155 kj(37 kcal),-21%,0,-100%,0,-100%,"7,6",-12%,"7,6",+12%,0,-100%,0,-100%,0,-100%,2,-64%,C,-64%,,,,,,,,,['Gusto DeBrio'],,,1,,,,,,,,,
1010,Framboises - Fiesta - 125g,3061436100600,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Framboises', 'Framboises fraîches']",['France'],['Framboises'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,"['boîte', 'Plastique']",['Fiesta'],,,1,,125 g,['Catégorie I'],['Casino'],,,,,['Espagne']
1011,Terrine de faisan - Avon & Ragobert - 125g,3061830021167,,"[""Produits vendus avant l'an 2000"", 'Produits vendus dans les années 1980']",['France'],"['Gras et viande de porc', 'faisan 20% ', 'chasse nationale ou importation', 'foie de porc', 'farine', 'lacto-protéine', 'oignon', 'sel', 'épices']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Conserve'],['Avon & Ragobert'],,,3,Terrine de faisan,125 g,"['Sans colorants', 'Sans conservateurs']",,"['FR 18.159.001 CE', 'Nançay (Cher, France)']","['Sologne', 'France']",,,
1012,Pâté de foie de volaille -,3061830033160,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie', 'Pâtés de foie de volaille']",['France'],[],[],27 g,en quantité élevée,10.5 g,en quantité élevée,0 g,en faible quantité,1.63 g,en quantité élevée,?,,300,-1%,1255 kj(300 kcal),+0%,27,+11%,"10,5",+19%,"0,9",-43%,0,-100%,10,-4%,"1,63",+3%,"0,652",+3%,20,+10%,E,+10%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
1013,Terrine Gourmande De Lapin Aux Pruneaux -,3061830132146,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",['France'],[],[],20 g,en quantité modérée,8 g,en quantité élevée,1.5 g,en faible quantité,1.63 g,en quantité élevée,?,,250,-9%,1046 kj(250 kcal),-9%,20,-12%,8,-5%,"2,4",+46%,"1,5",+105%,"14,5",-6%,"1,63",+9%,"0,652",+9%,17,+1%,D,+1%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,,,,,"['FR 18.159.001 CE', 'Nançay (Cher, France)']",,,,
1014,Terrine Campagnarde,3061830140141,,['Terrines'],['France'],[],[],25 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,300,-0%,1255 kj(300 kcal),+0%,25,-3%,"9,7",+2%,"1,3",-40%,0,-100%,"12,8",-9%,"1,6",+5%,"0,64",+5%,19,+7%,E,+7%,,,,,,,,,,,,,,,,,,,,,
1015,Mini BN - United Biscuits,3061990044723,,,['France'],[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,22,,12,,"65,9",,"31,9",,"6,2",,"0,64",,"0,256",,,,,,,,,,,,,,['United Biscuits'],,,,,,['Fabriqué en France'],,,,,,
1016,Mini BN Goût chocolat - 336g,3061990126948,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",['France'],"['Céréales [farine de froment ', '28%', 'céréales complètes ', '18', '6%', 'farine complète de froment ', '18,5%', 'farine complète de seigle', ""farine complète d'orge"", '] - sucre - graisses végétales - cacao maigre ', '4', '6%', "" - lactose et protéines de lait - amidon de blé - sel - poudres à lever : carbonate acide d'ammonium"", 'carbonate acide de sodium - émulsifiants : E472c', 'E472e - arôme naturel - lait entier en poudre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",22.1 g,en quantité élevée,12.4 g,en quantité élevée,32.2 g,en quantité élevée,0.584 g,en quantité modérée,2063,+4%,?,,2063 kj(493 kcal),+5%,"22,1",+15%,"12,4",+46%,"64,8",-3%,"32,2",-2%,"6,7",+15%,"0,584",+5%,"0,234",+5%,21,+6%,E,+6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Carton', 'Plastique', 'sachets fraicheur']",['BN'],"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', ""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait']",4,mini-biscuits fourrés parfum chocolat,336 g,['Végétarien'],['Carrefour'],,"['Vertou', 'France']",,,['Blé 100\xa0% français']
1017,Chocolat - BN,3061990140692,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Carton'],['BN'],,,,,,"['Sans arômes artificiels', 'Sans conservateurs']",,,,,,
1018,Mini bn,3061990141248,,,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,"21,8",,"11,6",,66,,"31,5",,"6,1",,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Sablés anglais - McVitie's,3061990141309,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],,,10.1 g,en quantité élevée,16.6 g,en quantité élevée,1.3 g,en quantité modérée,?,,481,+1%,2013 kj(481 kcal),+1%,?,,"10,1",0%,?,,"16,6",-44%,"7,2",+11%,"1,3",+121%,"0,52",+121%,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"[""McVitie's""]",,,,,,,,,,,,
1020,Sablés anglais - McVitie's,3061990141316,,,['France'],[],[],,,,,,,,,?,,71,,297 kj(71 kcal),,"21,3",,"10,1",,"62,9",,"16,6",,"7,2",,"1,3",,"0,52",,,,,,,,,,,,,,"[""McVitie's""]",,,,,,,,,,,,
1021,BN 16 biscuits chocolat,3061990141507,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['BISCUITS FOURRÉS GOÛT CHOCOLAT - : ', '33%', 'céréales complètes ', '15,1%', ' ', 'farine complète de froment ', '15 0%', 'farine complète de seigle', ""farine complète d'orge"", '] - sucre — matières grasses végétales ', 'palme', 'palmiste', 'colza', ' cacao maigre ', '3,4%', ' amidons ', 'blé', "" - sirop de glucose - lactose et protéines de lait - poudres à lever : carbonates d'ammonium et de sodium — sel - lait écrémé en poudre — émulsifiant : lécithines de tournesol arôme"", ' Peut contenir des traces de fruits à coque et de soja']","['Huile de palme', 'Non végétalien']",16.7 g,en quantité modérée,9.4 g,en quantité élevée,32.6 g,en quantité élevée,0.5 g,en quantité modérée,?,,463,-6%,1937 kj(463 kcal),-6%,"16,7",-29%,"9,4",-20%,70,+12%,"32,6",+0%,"6,4",-2%,"0,5",-9%,"0,2",-9%,23,+7%,E,+7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['BN'],"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E322i - Lécithine']","['Gluten', 'Lait']",4,,,,,,,,,
1022,Teenage Mutant Ninja Turtles - BN - 145g,3061990141552,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['France', 'Suisse']","['Farine de froment', 'sucre', 'huiles de palme et de coprah', 'chocolat au lait ', '4,5 %', ' ', 'lait entier en poudre', 'masse de cacao', 'cacao maigre en poudre', 'sucre', 'émulsifiants : lécithine de soja', 'E476', 'arôme', 'noix de coco', 'pâte de noisette', 'poudres à lever : diphosphates', ""carbonates de sodium et d'ammonium"", 'lactose et protéines de lait', 'sel', 'arôme', 'émulsifiant : lécithine de soja']","['Huile de palme', 'Non végétalien', 'Végétarien']",24.7 g,en quantité élevée,11.7 g,en quantité élevée,32 g,en quantité élevée,0.5 g,en quantité modérée,2127,+3%,?,,2127 kj(508 kcal),+3%,"24,7",+6%,"11,7",-1%,"64,2",+3%,32,-2%,"5,8",-12%,"0,5",-9%,"0,2",-9%,25,+17%,E,+17%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Carton', 'Plastique', 'Sachet']",['BN'],"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,Biscuits au chocolat au lait,145 g,['Végétarien'],['Cora'],,['France'],['Huile de palme'],,
1023,duo - mini bn - 380g,3061990141774,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['mini bn'],,,,,380g,,,,,,,
1024,Lot de 2 bn16 duo 590 g,3061990141804,,,['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,"14,6",,"8,4",,"70,6",,"35,9",,"6,9",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Biscuits P'tit Dej chocolat BN,3061990142054,,,['France'],[],[],,,,,,,,,?,,495,,2071 kj(495 kcal),,"23,5",,"12,3",,"62,2",,29,,"6,7",,"0,99",,"0,396",,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Biscuits P'tit Dej extra chocolat BN,3061990142061,,,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,"23,3",,"11,5",,"60,8",,33,,"7,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1027,P'tit Déj Chocolat (Lot de 3) - BN - 600g (3x 200g),3061990142078,D,"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['Farine de froment ', '39%', ' - chocolat au lait ', '29%', ' [sucre - beurre de cacao - masse de cacao - lait écrémé en poudre - lactosérum en poudre - beurre pâtissier - graisses végétales ', 'sel', 'karité', 'palme', ' - émulsifiants : lécithine de soja', 'E476 - arôme naturel] - huile de palme - farine complète de blé ', '9%', ' - sucre - sirop de glucose-fructose - poudres à lever : carbonate de sodium', ""carbonate d'ammonium"", 'acide malique - sel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",23.5 g,en quantité élevée,12.3 g,en quantité élevée,29 g,en quantité élevée,0.99 g,en quantité modérée,?,,495,+1%,2071 kj(495 kcal),+1%,"23,5",+0%,"12,3",+4%,"62,2",-0%,29,-11%,"6,7",+2%,"0,99",+79%,"0,396",+79%,26,+21%,E,+21%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Film', 'Sachet', 'Plastique', 'Tube', 'Carton']","['BN', 'United Biscuits']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500i - Carbonate de sodium', ""E503i - Carbonate d'ammonium"", 'E296 - Acide malique']","['Gluten', 'Lait', 'Soja']",4,12 biscuits nappés de chocolat au lait (x3),600 g (3 x 200g),['Point Vert'],['Carrefour'],,['Royaume-Uni'],['Huile de palme'],,
1028,Pocket Chocolat au Lait - McVitie's,3061990142122,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",['France'],[],[],23.6 g,en quantité élevée,12.4 g,en quantité élevée,29.5 g,en quantité élevée,1 g,en quantité modérée,?,,495,-1%,2071 kj(495 kcal),-1%,"23,6",-1%,"12,4",+3%,"62,2",-1%,"29,5",+8%,"6,7",-4%,1,+33%,"0,4",+33%,26,+21%,E,+21%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Carton', 'boîte', 'Plastique']","[""McVitie's""]",,"['Lait', 'Soja']",,,,,,,,,,
1029,Sablés Anglais Chocolat au Lait (lot x2) - McVitie's - 2 * 300g,3061990142320,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",['France'],[],[],23.6 g,en quantité élevée,12.4 g,en quantité élevée,29.5 g,en quantité élevée,1 g,en quantité modérée,?,,495,-1%,2071 kj(495 kcal),-1%,"23,6",-1%,"12,4",+3%,"62,2",-1%,"29,5",+8%,"6,7",-4%,1,+33%,"0,4",+33%,26,+21%,E,+21%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Carton', 'Plastique']","[""McVitie's""]",,,,Biscuits sablés de chocolat au lait,2 * 300 g,"['Sans arômes artificiels', 'Sans colorants']",['ALDI'],,,,,
1030,Cracotte -,3061990142375,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes', 'Tartines craquantes grillées fourrées au chocolat']",['France'],[],[],16 g,en quantité modérée,5.2 g,en quantité élevée,31 g,en quantité élevée,0.27 g,en faible quantité,?,,450,+18%,1883 kj(450 kcal),+18%,16,+251%,"5,2",+405%,66,-7%,31,+456%,"7,3",-26%,"0,27",-69%,"0,108",-69%,17,+457%,D,+457%,62.3%,18.9%,8.2%,5.7%,4.9%,0.0%,89,,,,,,Bâtonnets de blé fourrés au chocolat enrichi en fer,,,,,,,,
1031,BN Fraise,3061990142429,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits à la fraise']",['France'],"['Céréales [farine de froment ', '33%', 'céréales complètes ', '15,1%', ' ', 'farine complète de froment ', '15 0%', 'farine complète de seigle', ""farine complète d'orge"", '] - sirop de glucose-frudose ? cre - matière grasse végétale ', 'palme', ' - stabilisant : glycérol - sirop de glucose - Ulpe de fraise concentrée ivalent fraise 5%', "" ? amidon - lactose et protéines de lait - poudres à lever : car onates d'ammonium et de Um - sel - lait écrémé en poudre - acidifiants : acide citrique"", 'citrates de sodium - colorant : rouge de betterave - fiant : pectines ? arôme', ' Peut contenir des traces de fruits ù coque et de soja']","['Huile de palme', 'Non végétalien']",8.4 g,en quantité modérée,3.9 g,en quantité modérée,36.7 g,en quantité élevée,0.53 g,en quantité modérée,?,,403,+1%,1686 kj(403 kcal),+0%,"8,4",-11%,"3,9",-5%,"76,4",+5%,"36,7",-7%,"5,5",+8%,"0,53",+31%,"0,212",+31%,18,+9%,D,+9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['BN'],"['E422 - Glycérol', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E162 - Rouge de betterave', 'E440 - Pectines']","['Gluten', 'Lait']",4,Biscuits aux fruits fourrés à la fraise,,,,,,,,
1032,Bn abricot - United Biscuits,3061990142498,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",['France'],[],[],8.5 g,en quantité modérée,3.9 g,en quantité modérée,36.6 g,en quantité élevée,0.54 g,en quantité modérée,?,,402,-14%,1682 kj(402 kcal),-15%,"8,5",-56%,"3,9",-54%,"76,1",+14%,"36,6",+11%,"5,5",-5%,"0,54",-3%,"0,216",-3%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['United Biscuits'],,,,Biscuits aux fruits fourrés à l'abricot,,,,,,,,
1033,Casse croute,3061990142528,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"4,9",,"2,2",,"79,1",,"27,2",,"7,1",,"0,82",,"0,328",,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Bn p'tit dej,3061990142559,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Sablé anglais - McVitie's,3061990142573,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],[],[],21.3 g,en quantité élevée,10.1 g,en quantité élevée,16.6 g,en quantité élevée,1.3 g,en quantité modérée,?,,481,-2%,2013 kj(481 kcal),-2%,"21,3",-9%,"10,1",-27%,"62,9",-0%,"16,6",-35%,"7,2",+16%,"1,3",+90%,"0,52",+90%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"[""McVitie's""]",,,,,,"['Sans arômes artificiels', 'Sans colorants']",,,,,,
1036,Le petit toqué 2014  - Pinot noir rosé - 75cl 12% vol.,3062670271170,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Pinot noir rosé'],,,,,75 cl 12% vol.,,,,,,,
1037,Tagliatelles carbonara,3063312057046,,,['France'],[],[],,,,,,,,,?,,579,,2423 kj(579 kcal),,27,,12,,56,,"3,6",,"7,5",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,
1038,Caviar De Piment D'Espelette,3064250000088,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,1,,"0,2",,"7,5",,"5,3",,"1,6",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1039,farina tipo 00,3064311061041,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,"1,1",,"0,2",,72,,"1,7",,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,3064340774028,3064340774028,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Pates finesse d'Alsace - 250g,3065620004194,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,250 g,,,,,,,
1042,Pâtes Alsace la traditionnelle GRAND'MERE,3065620008314,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,1",,"0,04",,,,,,,,,,,,,,['Grand Mere'],,,,,,,,,,,,
1043,Pâte de Alsace - Les Pâtes De L Oncle Hansi,3065620008635,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",['France'],"['Semoule de blé dur de qualité su érieure', 'œufs frais ', '30 %', ' soit à20g par kg de semoule']",['Non végétalien'],5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+1%,1536 kj(367 kcal),+0%,5,+5%,"1,3",+6%,64,0%,"2,6",-8%,15,0%,"0,12",+13%,"0,048",+13%,-3,,A,,,,,,,,,,['Les Pâtes De L Oncle Hansi'],,['Œufs'],1,,,,,,,,,
1044,Pâtes d'Alsace  Nids,3065620012038,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Pâtes d'Alsace,3065620012120,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",['France'],[],[],5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+1%,1536 kj(367 kcal),+0%,5,+5%,"1,3",+6%,64,0%,"2,6",-8%,15,0%,"0,12",+13%,"0,048",+13%,0,,B,,,,,,,,,,,,,,,,,,,,,,
1046,Pâtes d'alsace 7 oeufs frais - Grand'Mère - 500 + 100g,3065620012625,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes aux œufs']",['France'],[],[],5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+10%,1536 kj(367 kcal),+9%,5,+21%,"1,3",+15%,64,+8%,"2,6",+2%,15,+15%,"0,12",-50%,"0,048",-50%,0,,B,,,,,,,,,,"[""Grand'Mère""]",,,,,500 + 100 g,,,,,,,
1047,Pâte d'alsace 7 oeufs frais au kilo,3065620012656,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Pates d'alsace,3065620012717,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",['France'],[],[],5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+1%,1536 kj(367 kcal),+0%,5,+5%,"1,3",+6%,64,0%,"2,6",-8%,15,0%,"0,12",+13%,"0,048",+13%,0,,B,,,,,,,,,,,,,,,,,,,,,,
1049,Pâtes d'Alsace - Grand Mère,3065620012724,,,['France'],"['Semoule de blé dur de qualité œufs frais ', '30 %', ' soit 320g par kg de semoule,']",[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,12",,"0,048",,,,,,,,,,,,,,['Grand Mère'],,,,,,,,,,,,
1050,Coquillettes aux oeufs paquet - 250g,3065620030018,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,3,,1,,70,,3,,13,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,250 g,['Fabriqué en France'],,,,,,
1051,La Colombe macaronis coupés aux 3 oeufs,3065620030025,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,3,,1,,70,,3,,13,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Späetzles La Colombe - Les Fromagers de Sainte-Colombe,3065620081317,,,['France'],"['Semoule de blé dur de qualité supérieure', 'oeufs frais ', '14 %']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,359,,1502 kj(359 kcal),,3,,1,,70,,3,,13,,"0,1",,"0,04",,,,,,,,,,,,,,['Les Fromagers de Sainte-Colombe'],,['Œufs'],,,,,,,,,,
