,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
75,Mermelada de Frutas del Bosque - Pedro Luis,8425205012511,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,38.8 g,en quantité élevée,0 g,en faible quantité,?,,165,-25%,690 kj(165 kcal),-25%,"0,5",+95%,"0,1",+114%,"38,8",-27%,"38,8",-24%,"0,8",+57%,0,-100%,0,-100%,9,0%,C,0%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Pedro Luis'],,,,,,,,,,,,,
76,Paris cola,3546530004455,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"10,9",,"10,9",,"10,9",,"10,9",,"0,01",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Pains au chocolat AOC,0208503024275,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],26 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0.84 g,en quantité modérée,?,,437,+10%,1828 kj(437 kcal),+10%,26,+19%,18,+35%,40,-5%,12,0%,"8,5",+19%,"0,84",-7%,"0,336",-7%,20,+2%,E,+2%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,
78,Le milieu -Marron,3760072580035,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pâte à tartiner - 200g,3000000004036,,,['France'],[],[],,,,,,,,,?,,612,,2561 kj(612 kcal),,"47,8",,"9,6",,36,,"31,5",,"9,6",,"0,01",,"0,004",,,,,,,,,,,,,200 g,,,,,,,,,,,,,,
80,Miracle Whip - Kraft,0068100047615,,"['Epicerie', 'Sauces']",['France'],[],[],2 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,0.14 g,en faible quantité,?,,30,-87%,126 kj(30 kcal),-87%,2,-89%,"0,3",-86%,3,-70%,2,-69%,"0,1",-96%,"0,14",-94%,"0,056",-94%,0,-100%,B,-100%,,,,,,,,,['Kraft'],['Sans colorants'],,,,,,,,,,,,
81,Performance Whey,4260289448108,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"4,2",,"2,5",,"9,1",,"6,5",,"72,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bananes République Dominicaine,2228462005717,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,
83,Jambon supérieur sans antibiotiques - Monique Ranou,3250392729974,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],2.4 g,en faible quantité,0.8 g,en faible quantité,0.6 g,en faible quantité,1.83 g,en quantité élevée,?,,109,-17%,456 kj(109 kcal),-17%,"2,4",-50%,"0,8",-57%,"0,6",-10%,"0,6",+1%,"21,2",+0%,"1,83",-2%,"0,732",-2%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Monique Ranou'],"['en:without-antibiotics', 'en:gluten-free', 'Sans antibiotique dès la naissance', 'Qualité supérieure']",,,,,,,,,,,,
84,Fois gras de canard entier - Delpeyrat,3067163634067,,,['France'],[],[],,,,,,,,,?,,544,,2276 kj(544 kcal),,56,,24,,"2,2",,"0,9",,"7,5",,"1,3",,"0,52",,,,,,,,,,,,,,['Delpeyrat'],,,,,,,,,,,,,
85,Foie de lapin - Carrefour,2227267024275,B,"['Viandes', 'Viande de lapin', 'Foies de lapin', 'Foies']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Carrefour'],,['Carrefour'],,,,,,,,,,,
86,Saucisson à l'ail a l'ancienne,0253027015155,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['France'],[],[],21.9 g,en quantité élevée,8.7 g,en quantité élevée,0.7 g,en faible quantité,1.9 g,en quantité élevée,?,,278,+2%,1163 kj(278 kcal),+1%,"21,9",-2%,"8,7",+2%,"0,9",-18%,"0,7",-2%,"19,4",+21%,"1,9",-10%,"0,76",-10%,19,-2%,E,-2%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,"['FR 22.272.028 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,,
87,Chocolat noir nature - Le Chocolatier Ivoirien - 100g,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['70% Pâte de cacao', '9% Pur beurre de cacao', '20% Cassonade', '1% Vanille naturelle']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Le Chocolatier Ivoirien'],,,,,,,3,,,,,,
88,Boisson lactee fermentee,0094922070951,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Chocolat noir éclats de fèves - Le Chocolatier Ivoirien - 100g,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",['France'],"['70% Pate de cacao', '9% Pur beurre de cacao', '5% Eclats de feves de cacao', '15% Cassonade', '1% Vanille naturelle']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Le Chocolatier Ivoirien'],,,,,,,3,,,,,,
90,L'orgue à fruits - Meyva,3418659102810,,,['France'],[],[],,,,,,,,,?,,1415,,5920 kj(1415 kcal),,"13,8",,"1,4",,"51,6",,"17,4",,"17,4",,"0,15",,"0,06",,,,,,,,,,,,,,['Meyva'],,,,,,,,,,,,,
91,Chocolat au lait nature - Le Chocolatier Ivoirien - 100g,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],"['40% Pâte de cacao', '25% Lait entier en poudre', '15% Pur beurre de cacao', '19% Cassonade', '1% Vanille naturelle']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,100 g,['Le Chocolatier Ivoirien'],,,,,,,3,,,,,,
92,Miel de fleurs - Quinta da Pacheca - 300g,5602947001383,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,300 g,['Quinta da Pacheca'],,,,,,,,['PT CEM 023 CE'],['Portugal'],,,,
93,Yaourt myrtille - Maison Cardot,3760129590314,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache', 'Yaourts sucrés']",['France'],"['Lait entier de vache pasteurisé', 'sucre 6%', 'arôme naturel de myrtille', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Maison Cardot'],,,yaourt à l'arôme de myrtille,,,['Lait'],4,,,,,,
94,Alaska Seelachsfilet -  - 1000g,4014760013817,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1000 g,,"['Pêche durable', 'Pêche durable MSC']",,,['packung(en)'],,,,['MSC-C-50190'],,,,,
95,Tintenfischringe,3261080851297,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Foie gras mi cuit - Larnaudie,3113010135444,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras mi-cuits']",['France'],[],[],51.3 g,en quantité élevée,23 g,en quantité élevée,1.8 g,en faible quantité,1.2 g,en quantité modérée,?,,481,-8%,2013 kj(481 kcal),-8%,"51,3",-5%,23,-1%,2,-15%,"1,8",+13%,"5,4",-22%,"1,2",+3%,"0,48",+3%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Larnaudie'],,,,,,,,,,,,,
97,Olives vertes - Crai,8002895076001,,,"['France', 'Italie']",[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,15,,"2,3",,0,,0,,"1,3",,"3,4",,"1,36",,,,,,,,,,,,,,['Crai'],['en:gluten-free'],['Crai'],,,,,,,,,,,
98,Ironmaxx Cla 130 Capsules,4260196293839,,,['France'],[],[],,,,,,,,,?,,763,,3192 kj(763 kcal),,73,,"5,4",,"7,6",,"0,1",,19,,"0,1",,"0,04",,,,,,,,,,,,,,['Ironmaxx'],,,,,,,,,,,,,
99,Galettes de riz -  - 400g,0030891054134,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",['France'],[],[],0.12 g,en faible quantité,0 g,en faible quantité,1.03 g,en faible quantité,0.263 g,en faible quantité,?,,343,+5%,1435 kj(343 kcal),+5%,"0,12",-60%,0,-100%,85,+13%,"1,03",+48%,"0,58",-68%,"0,263",-72%,"0,105",-72%,5,-23%,C,-23%,,,,,,,,400 g,,,,,,,,,,,,,,
100,Galettes de riz -  - 400g,0030891054134,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",['France'],[],[],0.12 g,en faible quantité,0 g,en faible quantité,1.03 g,en faible quantité,0.263 g,en faible quantité,?,,343,+5%,1435 kj(343 kcal),+5%,"0,12",-60%,0,-100%,85,+13%,"1,03",+48%,"0,58",-68%,"0,263",-72%,"0,105",-72%,5,-23%,C,-23%,,,,,,,,400 g,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Jambon blanc,2854603027883,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,"['FR 36.241.001 CE', 'Villedieu-sur-Indre (Indre, France)']",,,,,
103,Les schtroumpfs p!k,10566046,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"0,5",,"0,1",,81,,51,,6,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Muesli Lin et Fibres,3111900308183,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,8,,"1,3",,"56,1",,"12,5",,"16,3",,"0,04",,"0,016",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
105,Manchego,2441849034319,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis', 'Fromages espagnols', 'Manchego']",['France'],[],[],37 g,en quantité élevée,28 g,en quantité élevée,1 g,en faible quantité,2.5 g,en quantité élevée,?,,437,+0%,1828 kj(437 kcal),-0%,37,-0%,28,+10%,2,+45%,1,+28%,24,-2%,"2,5",+30%,1,+30%,20,+14%,E,+14%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,,
106,Cake aux myrtilles,2030000026425,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jelly molly cups,6921101221986,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,"15,6",,"15,6",,0,,"0,041",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tomato and red pepper soup,5060064701713,,,['France'],[],[],,,,,,,,,?,,202,,845 kj(202 kcal),,"2,8",,"1,3",,"2,9",,"2,4",,"2,1",,"0,7",,"0,28",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
109,Les natures,3325350855061,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"3,87",,"3,09",,"80,5",,"64,3",,"1,1",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jambon Supérieur en croûte - Muller,2415700065408,,,['France'],[],[],,,,,,,,,?,,227,,950 kj(227 kcal),,"9,8",,"5,8",,"21,2",,"0,7",,"13,2",,2,,"0,8",,,,,,,,,,,,,,['Muller'],,,,,,,,"['FR 67.411.002 CE', 'Rosheim (Bas-Rhin, France)']",,,,,
111,Pâté  de campagne au piment d espelette - Les Recettes d'Adrienne - 250g,3497150000559,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],"['FOIE', 'VIANDE ET GRAS DE PORC FERMIER SEL,POIVRE', ""PIMENT D'ESPELETTE AOP 0,2%"", 'GELATINE BOVINE', 'SUCRE', "" VIANDE D'ORIGINE FRANCE PEUT CONTENIR DES TRACES DE GLUTEN ET DE CELERI""]","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,5 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,869,-30%,?,,869 kj(208 kcal),-33%,15,-44%,5,-50%,"1,2",-50%,"0,3",-67%,18,+27%,"1,7",+2%,"0,68",+2%,13,-32%,D,-32%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,250 g,"[""Les Recettes d'Adrienne""]",,,,,['E428 - Gélatine'],['Gluten'],4,"['FR 40.228.002 CE', 'Pomarez (Landes, France)']",,,,,
112,Saucisse toulouse label rouge,2457633039828,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],10 g,en quantité modérée,4.1 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en quantité élevée,?,,167,-23%,699 kj(167 kcal),-24%,10,-39%,"4,1",-36%,"2,1",+26%,"0,8",+30%,16,+7%,"1,8",+5%,"0,72",+5%,13,-14%,D,-14%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,['Label Rouge'],,,,,,,,,,,,
113,Choco'grillons,3770010064077,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,"23,7",,"5,3",,"22,7",,"20,4",,"43,5",,"0,5",,"0,2",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
114,Filet de dinde émincé - Maître Coq,0215988024072,,['Emince de dinde'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,
115,Coffret gourmand chocolats,3581800000003,,,['France'],[],[],,,,,,,,,?,,544,,2276 kj(544 kcal),,34,,"20,3",,"52,6",,"47,8",,"5,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Délice de lorraine,3760118052519,,,['France'],[],[],,,,,,,,,?,,475,,1987 kj(475 kcal),,"24,7",,2,,"48,1",,"42,7",,16,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Olives vertes dénoyautées piquantes,5412535002483,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['France'],[],[],17 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,4.5 g,en quantité élevée,?,,179,+11%,749 kj(179 kcal),+12%,17,+8%,"3,8",+51%,5,+262%,"0,5",+167%,"0,8",-26%,"4,5",+34%,"1,8",+34%,15,+29%,D,+29%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,,,
118,Cru des alpes,2215190017518,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"34,8",,"25,7",,"1,2",,"0,2",,"23,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Amandulosa,0637913069192,,,['France'],[],[],,,,,,,,,?,,511,,2138 kj(511 kcal),,29,,7,,45,,39,,9,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gateau de Noël à l'épeautre saupoudré de sucre - Pural,3184340041088,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"15,8",,"7,3",,"46,3",,"26,3",,"6,4",,"0,3",,"0,12",,,,,,,,,,,,,,['Pural'],['Bio'],,,,,,,,,,,,
121,Confettura Di Prugne Carrefour,3560070410569,,,['France'],[],[],,,,,,,,,?,,211,,883 kj(211 kcal),,"0,5",,0,,52,,52,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,['Carrefour'],['en:gluten-free'],['Carrefour'],,,,,,,,,,,
122,hormpnyon - Catalyons Laboratoire,3760166802715,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Catalyons Laboratoire'],,,,,,,,,,,,,
123,Poitrine de porc cuite à plat,2445657024272,,,['France'],[],[],,,,,,,,,?,,227,,950 kj(227 kcal),,"18,5",,"7,5",,"0,7",,"0,12",,"14,6",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Sweet christmas cane,8710998386773,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,0,,0,,95,,60,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Calendrier de l'Avent Paw Patrol - Nickelodeon - 65g e,5056086521712,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats de Noël', ""Calendriers de l'avent"", ""Calendriers de l'avent en chocolat""]",['France'],"['sucre', 'lait entier en poudre', ' beurre de cacao', 'pâte de cacao', 'émulsifiants ', 'E322', 'E476', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",23 g,en quantité élevée,14 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,?,,503,-6%,2105 kj(503 kcal),-6%,23,-23%,14,-23%,68,+16%,56,+2%,7,+11%,"0,2",-2%,"0,08",-2%,26,-2%,E,-2%,,,,,,,,65 g e,['Nickelodeon'],"['Point Vert', 'Fabriqué en France']",,Calendrier de l'Avent en chocolat au lait,"['Carton', 'Plastique']","['E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Lait'],4,,,['France'],,,
126,Filets de morue dessales - Palais Des Mets,3760089332498,,,['France'],[],[],,,,,,,,,?,,67,,280 kj(67 kcal),,1,,"0,5",,"0,5",,"0,5",,"15,7",,"3,4",,"1,36",,,,,,,,,,,,,,['Palais Des Mets'],,,,,,,,,,,,,
127,Chipos persillées,2238521027291,,,['France'],[],[],,,,,,,,,?,,205,,858 kj(205 kcal),,15,,"5,8",,"0,6",,"0,6",,17,,"1,8",,"0,72",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
128,Ailes de poulet cuites roties tex mex - 1kg,3700560406133,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1 kg,,['Halal'],,,,,,,,,,,,
129,Navets violets - Bio Village,3564707125017,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Navet', 'Navets frais']",['France'],['Navets violets'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio Village', 'Marque Repère']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Leclerc'],,"['Sachet', 'Plastique']",,,,,['France'],,,,
130,Graines de chia,3760286311043,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",['France'],[],[],31.4 g,en quantité élevée,1.2 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,450,+0%,1883 kj(450 kcal),+1%,"31,4",+2%,"1,2",-62%,"3,8",-68%,0,-100%,"21,5",+7%,"0,01",-58%,"0,004",-58%,1,+11%,B,+11%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,
131,Roti de porc cuit,2822711025718,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,,
132,Foie gras canard - Ernest Soulard,3274760814857,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",['France'],[],[],53 g,en quantité élevée,24 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,?,,520,+1%,2176 kj(520 kcal),+2%,53,+0%,24,+7%,"1,5",-36%,"1,2",-11%,8,+15%,"1,4",+16%,"0,56",+16%,22,+7%,E,+7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Ernest Soulard'],,,,,,,,,,,,,
133,MIEL de MONTAGNE - 250,3564460000781,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,250,['Miel de montagne'],,,,,,,,,,,,,
134,Bûche Du Pilat 20 %,3307901300022,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.168.001 CE', 'Pélussin (Loire, France)']",,,,,
135,Miel de Blé noir,3577490003127,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Body cleanse,5060456320386,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,1",,0,,"3,7",,"0,6",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,CHOCO PERLAS de Autor - Valor,8410109105421,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Amandes enrobées de chocolat']",['France'],"['Chocolate ', 'Azúcar', 'pasta de cacao', 'manteca de cacao', 'emulgente: lecitina de soja', 'aroma', 'almendra ', '30%', 'azúcar', 'estabilizante: E-414', 'agente de recubrimiento: E-904', 'jarabe de glucosa', 'grasa vegetal de palma', 'acidulante: E330 y conservador: E-202', ' Puede contener trazas de cacahuete', 'otros frutos de cáscara y leche y derivados', ' Cacao 52 % mínimo en el chocolate']","['Huile de palme', 'Non végétalien', 'Non végétarien']",39 g,en quantité élevée,16 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,?,,559,-2%,2339 kj(559 kcal),-1%,39,-3%,16,-2%,36,-2%,34,+3%,12,+9%,0,-100%,0,-100%,23,+1%,E,+1%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,['Valor'],,,,,"[""E414 - Gomme d'acacia"", 'E904 - Gomme-laque', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],4,,,,,,
138,Carabosse,3760183650658,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
139,Seafood sticks - Coop,5000128927543,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,122,,510 kj(122 kcal),,3,,"0,3",,17,,"5,1",,"6,7",,"1,93",,"0,772",,,,,,,,,,,,,,['Coop'],"['Pêche durable', 'Pêche durable MSC']",,,,,,,['MSC-C-53520'],,,,,
140,Orange citron citrique,5425039330938,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,0,,0,,"84,54",,"52,57",,"3,63",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Walkers Crackers, Oat, Mini",0039047002166,,,['France'],[],[],,,,,,,,,?,,465,,1946 kj(465 kcal),,"19,3",,5,,"58,9",,"2,6",,"10,9",,"1,22",,"0,488",,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Sprinkles christmas,8713958045680,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Biscuit apéritifs a la farine de chataigne,3760045463013,,,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,33,,20,,50,,"3,4",,"9,1",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Boisson gingembre,3770000407136,,,['France'],[],[],,,,,,,,,?,,38,,159 kj(38 kcal),,"0,1",,0,,"8,6",,"7,9",,"0,2",,0,,0,,,,,,,,,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
145,Piment dulce,8429736100068,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
