,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
1189,BLEDINA LES RECOLTES BIO Carottes Patates Douces Boulghour 2x200g Dès 8 Mois - 400g,3041091551054,['France'],"[""Une petite carotte* 44,0 % - 1 morceau de patate douce* 22,0 % - De l'eau de cuisson - Un peu de boulghour cuit* 12,0 % "", 'GLUTEN', ' - Huiles végétales* ', 'colza', 'tournesol', "" *Produits issus de l'agriculture biologique""]",[],234,56,234 kj(56 kcal),"1,6","0,2","8,1",3,"1,1",['Bio'],"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Blédina', 'Les recoltes bio']",400 g,,,,,Plat à base de légumes adapté à bébé.,,,['Gluten'],4,,,
1190,BLEDINA LES RECOLTES BIO Carottes Semoule 2x130g Dès 6 Mois - 260g,3041091551207,['France'],"[""Une petite carotte* 62,0 % - De l'eau de cuisson - Un peu de semoule* 13,5 % "", 'GLUTEN', ' - Oignon* - Huiles végétales* ', 'colza', 'tournesol', "" *Produits issus de l'agriculture biologique""]",[],196,47,196 kj(47 kcal),"1,3","0,1","6,2","2,7","1,1",['Bio'],"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Blédina', 'Les recoltes bio']",260 g,,,,,Plat à base de légumes adapté à bébé.,,,['Gluten'],4,,,
1191,Lindt framboise intense,03656563,['France'],[],[],?,522,2184 kj(522 kcal),31,18,51,49,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Kazidomi Sauce Tomate Basilic - 560g,,"['Belgique', 'France']","['Purée de tomates* ', '87,09%', 'huile d’olive extra vierge* ', '3,84%', 'oignons*', 'carottes*', 'basilic* ', '1,49%', 'céleri*', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,['Bio'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kazidomi'],560 g,,['Verre'],,,Sauce Tomate Basilic Bio,,,['Céleri'],3,,https://www.kazidomi.com/fr/sauces-pour-les-pates/7557-sauce-tomate-basilic.html,
1193,Cake nougat cranberries - Légendes Gourmandes,3760155984095,['France'],[],[],?,370,1548 kj(370 kcal),"1,9","0,1",78,42,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,,,,
1194,Magret de canard,2461090019811,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,"['FR 71.546.001 CE', 'Trambly (Saône-et-Loire, France)']",,,,,,,,,
1195,Clement Canne Bleue 70CL 50° - 70cL,3107463050706,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 cL,,,,,,,,,,,,
1196,Roti de filet de porc,2209820006584,['France'],[],[],?,125,523 kj(125 kcal),4,"1,5","0,5","0,5",22,,"0,14","0,056",E,"['Viandes', 'Porc', 'Rôtis de porc']",4 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,0.14 g,en faible quantité,,-13%,-12%,-20%,-28%,-39%,-20%,-2%,-92%,-92%,-3,-142%,A,-142%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
1197,Aiguillettes de poulet - Carrefour,2227487029715,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,['Carrefour'],,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,,,,,
1198,InfusionTilleul bio meilleur sommeil,3760161790420,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,2",0,"0,1",['Bio'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Muscade,3439495100921,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,COMTE AOP - Carrefour,2456374018567,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Carrefour'],,['Carrefour'],,,,,,,,,,,
1201,Veggie mylk - Prozis,5600499507544,['France'],[],[],?,29,121 kj(29 kcal),"1,4",0,"3,6","3,4","0,6",['en:gluten-free'],"0,13","0,052",E,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",1.4 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,0.13 g,en faible quantité,,-24%,-24%,-34%,-100%,-3%,+23%,-30%,+48%,+48%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Prozis'],,,['Tetra Pak'],,,,,,,,,,
1202,Miel de Châtaigner,3214214213256,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1203,Yaourt de brebis à la grecque - La Ferme d'Aleas,3770011205196,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""La Ferme d'Aleas""]",,,,"['FR 12.232.001 CE', 'Saint-Jean-et-Saint-Paul (Aveyron, France)']",,,,,,,,,
1204,Lavazza Gold Selection Whole Bean Coffee,8000070043206,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lavazza'],,,,,,,,,,,,,
1205,Sassy Cider La Sulfureuse - Rose Pink Apple 75CL,3770004927029,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Sassy Cider'],,,,,,,,,,,,,
1206,Vergeer Holland Grated Mozzarella,8710866070582,['France'],[],[],?,290,1213 kj(290 kcal),"20,4","14,1","2,7","0,1","24,3",,"1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Biopur,3456300007244,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Roti de porc -,2242850006438,['France'],[],[],?,630,2636 kj(630 kcal),"7,2",3,"0,5","0,5",21,,"0,11","0,044",E,"['Viandes', 'Porc', 'Rôtis de porc']",7.2 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,0.11 g,en faible quantité,,+338%,+342%,+43%,+44%,-39%,-20%,-6%,-94%,-94%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
1209,Cœur de palmier - Saint Jean,19705163,['France'],[],[],?,35,146 kj(35 kcal),"0,8","0,3","3,8","0,3","1,3",,"0,9","0,36",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de plantes en conserve', 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier', 'Cœurs de palmier en conserve']",0.8 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.9 g,en quantité modérée,,+25%,+22%,+177%,+357%,+21%,-66%,-42%,+14%,+14%,3,,C,,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,['Saint Jean'],,,,,,,,,,,,,
1210,Magret de canard cru,2209030006725,['France'],[],[],?,334,1397 kj(334 kcal),29,"9,8","1,3","0,5",17,,"0,13","0,052",E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",29 g,en quantité élevée,9.8 g,en quantité élevée,0.5 g,en faible quantité,0.13 g,en faible quantité,,-2%,-2%,-1%,-2%,+4%,-25%,-5%,-92%,-92%,13,-29%,D,-29%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,,,,
1211,Spiruline,3661803207354,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
1212,Jules Bertier,3832310061016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jules Bertier'],,,,,,,,,,,,,
1213,Persil,3102870044515,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,8714555001116,8714555001116,['France'],"['Viande 81% ', 'dinde', 'poulet', 'eau', 'amidon de pommes de terre', 'sel', 'farine de moutarde', 'piments et épices', 'stabilisant : phosphate de sodium', 'protéine de maïs hydrolysée', 'arôme', 'exhausteur de goût : glutamate monosodique', 'antioxygène : erythorbate de sodium', 'dextrose', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Moutarde'],4,,,
1215,Confiture Assortiment 4 Parfums,3608580002383,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,CRANBERRIES,3760159005680,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Gratin Dauphinois,69066160,['France'],[],[],?,591,2473 kj(591 kcal),"8,9","6,1",12,3,"2,8",,"0,8","0,32",B,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",8.9 g,en quantité modérée,6.1 g,en quantité élevée,3 g,en faible quantité,0.8 g,en quantité modérée,,+397%,+404%,+54%,+70%,+7%,+86%,-18%,+13%,+13%,16,+241%,D,+241%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,,
1218,Filet de poulet fermier Bio - Carrefour - 318g,0287567055494,['France'],[],[],?,?,,?,,?,,?,"['Bio', 'Bio européen', 'Viande Française', 'AB Agriculture Biologique', 'Volaille-francaise']",,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],318g,['Carrefour'],"['Frais', 'Sous vide']","['FR 24.437.001 CE', 'Saint-Laurent-des-Vignes (Dordogne, France)']",,,['France'],,,,,,
1219,Confit d'oignons caramel et sel de guérande,3390120015174,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Rôti de porc cuit - Carrefour Bio,2227849034838,['France'],[],[],?,331,1385 kj(331 kcal),29,11,2,"0,9",15,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']","1,5","0,6",D,"['Viandes', 'Porc', 'Rôtis de porc']",29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,+130%,+132%,+477%,+426%,+145%,+44%,-33%,-13%,-13%,20,+181%,E,+181%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Carrefour Bio', 'Carrefour']",,['Carrefour'],,"['EMB 29004O', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",,,,,,,,,
1221,Kartoffelsalat mit Gurken - 700g,4099200224121,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,['de:Kartoffelsalat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 g,,['Glas'],,,,,,,,,,
1222,Roti de porc confit,2473737026700,['France'],[],[],?,173,724 kj(173 kcal),"8,4","3,6",0,0,24,,"1,7","0,68",E,"['Viandes', 'Porc', 'Rôtis de porc']",8.4 g,en quantité modérée,3.6 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,,+20%,+21%,+67%,+72%,-100%,-100%,+7%,-1%,-1%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",,,,,,,,,
1223,Pasta Fresca - La Tua Farina - 1000g,8025566004806,"['France', 'Allemagne']",[],[],?,?,,1,,"72,9","2,1","9,8",,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']",1 g,en faible quantité,,,2.1 g,en faible quantité,0 g,en faible quantité,,,,-86%,,+21%,-6%,-17%,-100%,-100%,,,,,,,,,,,,['La Tua Farina'],1000g,,,,,,,,,,,,
1224,Val-dieu Tripel 750ML,5413977000051,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Emmental français,0262200027298,['France'],[],[],?,380,1590 kj(380 kcal),30,21,"0,5","0,5",27,,"0,64","0,256",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,,+0%,+1%,+2%,+6%,-18%,+6%,-3%,+9%,+9%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1226,rum chocolate - vergani - 200g,8002325670205,['France'],"['Sucre', 'pâte de cacao', 'sirop de glucose-fructose', 'rhum 6,6%', 'matières graisses végétales ', 'palme', 'palmiste', 'beurre de cacao', 'cacao maigre en poudre', 'humectant : sirop de sorbitol', 'émulsifiant : lécithine de soja', 'arômes', ' Chocolat : cacao 52% minimum']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vergani'],200 g,,,,,,,"['E420ii - Sirop de sorbitol', 'E322i - Lécithine']",,4,,,
1227,Ossau Iraty AOC,0200652018761,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,,,,,,,,,,,,,,,,,,,,,,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,,
1228,Assaisonnement Thai Poulet,8850250003786,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Asperges vertes - Carrefour,3523680401266,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges vertes']",,,,,,,,,,,,,,,,,,,,,,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,['Carrefour'],,['Carrefour'],['Emballage individuel et sachet plastique à jeter'],,,,,,,,,,
1230,Creme De Framboise Bio Cherry Rocher,3032230100264,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Mini chorizo pur porc,2229721020205,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Chipolata Persillé x4,2204318020011,['France'],[],[],?,267,1117 kj(267 kcal),23,"8,5","0,5","0,5",15,"['Viande Française', 'Viande Porcine Française']","2,1","0,84",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",23 g,en quantité élevée,8.5 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,+12%,+12%,+22%,+18%,-57%,-21%,-3%,+17%,+17%,20,+20%,E,+20%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
1233,Baguette Froment Grise,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Hachés malins - Isla Délice - 640g,3512690005007,['France'],"['Viande bovine halal 70%', 'eau', 'protéines de SOJA déshydratées 6,1%', 'sel', 'fibre de pois', 'arômes naturels', 'poudre de jus de betterave']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,229,958 kj(229 kcal),"17,4",8,"2,5","0,4","15,7",['Halal'],"0,9","0,36",,"['Sandwichs', 'Hamburgers']",17.4 g,en quantité modérée,8 g,en quantité élevée,0.4 g,en faible quantité,0.9 g,en quantité modérée,,-8%,-9%,+39%,+70%,-88%,-87%,+20%,-23%,-23%,12,+20%,D,+20%,,,,,,,,['Isla Délice'],640 g,,,,,Id hache rondx8 congele 640g,,,['Soja'],4,,,
1235,Metasleep,5400433223826,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,6 mini poussins - Thiriet - 79g,3292590898694,['France'],[],[],?,369,1544 kj(369 kcal),22,12,37,21,"5,8",,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],79 g,['Thiriet'],,,,,,,,,,,
1237,Rillettes saveur Tex Mex - Auchan,3596710482184,['France'],[],[],?,379,1586 kj(379 kcal),35,13,"1,7","0,5",14,"['Nutriscore', 'Nutriscore D']",1,"0,4",,"['Produits à tartiner', 'Produits à tartiner salés', 'Rillettes']",35 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,,+29%,+30%,+41%,+47%,+15%,-25%,-5%,-16%,-16%,18,+27%,D,+27%,,,,,,,,['Auchan'],,['Auchan'],,,,,,,,,,,
1238,Tomme Catalane AOP,2488023011414,['France'],[],[],?,349,1460 kj(349 kcal),29,20,3,1,22,,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,
1239,Amanida Xina Gourmet,8413080084822,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Crevettes roses cuites 40/60 1kg barquette,3250391021642,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Santo Domingo 100% Pure café Moulu,0748325000540,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Tomme des pyrenees IGP - Auchan,2092825016142,['France'],[],[],?,376,1573 kj(376 kcal),30,21,"1,5","0,5",25,,2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,+8%,+8%,+6%,+6%,+17%,+54%,+16%,+12%,+12%,17,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Auchan'],,['Auchan'],,,,,,,,,,,
1243,Veritable andouillette de troyes dressee main,2850777042905,['France'],[],[],?,220,920 kj(220 kcal),16,"7,8",0,,19,,2,"0,8",E,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",16 g,en quantité modérée,7.8 g,en quantité élevée,,,2 g,en quantité élevée,,-7%,-6%,-9%,-5%,-100%,,+3%,+11%,+11%,,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,,,,,
1244,Coffret Découverte Moutardes D'orléans,3165355301077,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Confiture de Fraise - 200g,3760281270178,['France'],[],[],?,189,791 kj(189 kcal),0,0,45,43,"0,6",,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0 g,en faible quantité,0 g,en faible quantité,43 g,en quantité élevée,,,,-13%,-13%,-100%,-100%,-15%,-15%,+35%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,200 g,,,,,,,,,,,,
1246,Chipolatas aux herbes surgelées recette fermière,3466145025754,['France'],[],[],?,252,1054 kj(252 kcal),"20,5","7,31","2,3","0,3","14,5",,18,"7,2",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",20.5 g,en quantité élevée,7.31 g,en quantité élevée,0.3 g,en faible quantité,18 g,en quantité élevée,,+1%,+1%,+2%,-5%,+81%,-52%,-3%,+917%,+917%,20,+16%,E,+16%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
1247,Rôti de filet de porc,2209822006346,['France'],[],[],?,124,519 kj(124 kcal),"3,5","1,3",0,0,23,,"0,15","0,06",E,"['Viandes', 'Porc', 'Rôtis de porc']",3.5 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-14%,-13%,-30%,-38%,-100%,-100%,+3%,-91%,-91%,-3,-142%,A,-142%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
1248,Domaine P.Brocourt 2006 cuvée vielles vignes,3362722030190,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Dosettes Café 100% arabica pur moka d'Ethiopie,3280191300333,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,-98%,-98%,-100%,-100%,-96%,-100%,-90%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Mini quiches lorraines,3760011179108,['France'],[],[],?,315,1318 kj(315 kcal),21,12,20,"2,4",11,,"1,2","0,48",D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",21 g,en quantité élevée,12 g,en quantité élevée,2.4 g,en faible quantité,1.2 g,en quantité modérée,,+19%,+20%,+29%,+38%,+4%,+4%,+19%,+15%,+15%,18,+27%,D,+27%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,,,
1251,Puree de pomme,3760296641529,['France'],[],[],?,54,226 kj(54 kcal),"0,14",0,"12,9","10,6","0,2","['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-006', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",0.14 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité modérée,,,,-17%,-17%,-57%,-100%,-10%,-18%,-47%,,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,,,,
1252,Cheese burgers - Côté Croc - 2x 145g,3564706623910,['France'],[],[],?,264,1105 kj(264 kcal),13,"5,3",22,4,14,"['Nutriscore', 'Nutriscore D']",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Côté Croc', 'Marque Repère']",2 x 145 g,['Leclerc'],,,,,,,,,,,
1253,Farine de Khorasan biologique bise - Moulins Waast - 2kg,3286450004325,['France'],['Farine de khorasan biologique bise'],[],1395,330,1395 kj(330 kcal),"2,2","0,5","59,3","2,6","12,3","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']","< 0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de blé khorasan']",2.2 g,en faible quantité,0.5 g,en faible quantité,2.6 g,en faible quantité,0.01 g,en faible quantité,-4%,-4%,-3%,+64%,+114%,-15%,+70%,+13%,-58%,-58%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,['Moulins Waast'],2 kg,,"['Sachet', 'Plastique', 'Papier']","['EMB 59411', 'Mons-en-Pévèle (Nord, France)']",,,,,,,,,
