,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
1252,Kraft Macaroni Cheese Stove Top 206G - Heinz Food Uk,5000157078506,['France'],"['Macaroni ', '81 % ', 'Durum Wheat Semolina', 'Potato Starch', 'Maltodextrin', 'Wheat Flour', 'Whey Powder ', 'Milk', 'Cheese Powder ', '2 % ', 'Milk', 'contains Emulsifying Salt - Disodium Phosphate', 'Palm Oil', 'Salt', 'Yoghurt Powder ', 'Milk', 'Glucose Syrup', 'Mustard Flour', 'Flavourings ', 'Milk', 'Garlic', 'Yeast Extract ', 'from Barley', 'Mineral Salt - Potassium Chloride', 'Emulsifier - Tetrasodium Diphosphate', 'Modified Starch', 'Spices', 'Paprika Extract', ' May contain: Egg', 'Soy', 'Celery']","['Huile de palme', 'Non végétalien']",?,185,774 kj(185 kcal),"6,1","3,6","27,4","3,2","0,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz Food Uk'],['Sans colorants artificiels'],,,"['E339ii - Phosphate disodique', 'E450iii - Diphosphate tétrasodique', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",4,MACARONI IN CHEESE SAUCE,,"['Gluten', 'Lait']",,,,
1253,Planters travel pack,5000157078698,['France'],[],[],?,613,2565 kj(613 kcal),"49,9","6,3","12,7","6,6","24,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1254,Planters,5000157078711,['France'],[],[],?,613,2565 kj(613 kcal),"49,8","8,6","11,9","5,2","27,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1255,Planters travel pack,5000157078742,['France'],[],[],?,613,2565 kj(613 kcal),"49,8","8,6","11,9","5,2","27,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1256,Heinz Classic BBQ Sauce,5000157078841,['France'],"['Tornato Puree', 'Spirit Vinegar', 'Sugar', 'Molasses', 'Water', 'Salt', 'Spices', 'Thickener ', 'Xanthan Gum', 'Garlic', 'Smoke Flavouring', 'Natural Flavouring,']",[],?,138,577 kj(138 kcal),0,0,32,29,"0,9","1,2","0,48",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0 g,en faible quantité,0 g,en faible quantité,29 g,en quantité élevée,1.2 g,en quantité modérée,,-12%,-12%,-100%,-100%,+3%,+11%,+0%,-41%,-41%,12,-17%,D,-17%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,['Heinz'],,,,['E415 - Gomme xanthane'],4,,,,,,,
1257,Yellow Mustard - HEINZ,5000157078865,['France'],"['Eau', 'graines de moutarde ', '16%', 'ftnatgre de malt ', 'orge', 'sucre', 'sel', 'miel', 'épices', 'arôme', 'épaississant ', 'gon-i xanthane', 'de paprika,']",['Non végétalien'],?,118,494 kj(118 kcal),5,"0,3","9,3","5,3","5,4","2,4","0,96",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes jaunes']",5 g,en quantité modérée,0.3 g,en faible quantité,5.3 g,en quantité modérée,2.4 g,en quantité élevée,,+18%,+17%,+46%,+22%,+65%,+86%,+32%,0%,0%,12,+22%,D,+22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,['HEINZ'],,,,,4,,,"['Gluten', 'Moutarde']",,,,
1258,Planters,5000157078964,['France'],[],[],?,613,2565 kj(613 kcal),"49,9","6,3","12,7","6,6","24,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1259,Honey roasted peanuts - Planters,5000157078971,['France'],[],[],?,562,2351 kj(562 kcal),"40,1","4,8","24,8","22,4",22,"1,2","0,48",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",40.1 g,en quantité élevée,4.8 g,en quantité modérée,22.4 g,en quantité élevée,1.2 g,en quantité modérée,,-8%,-7%,-18%,-33%,+105%,+327%,-15%,+21%,+21%,10,+67%,C,+67%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,['Planters'],,,,,,,,,,,,
1260,Nut ritious,5000157078988,['France'],[],[],?,613,2565 kj(613 kcal),"49,8","8,6","11,9","5,8","27,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Heinz Soup of the Day Green Garden Vegetable Soup,5000157079411,['France'],"['Water', ' Onion ', '9%', ' Celeriac', ' Peas ', '7%', ' Carrots ', '6%', 'Parsnip', 'Leek ', '5%', ' Cornflour', ' Butter ', 'Milk', ' Spinach ', '1%', 'Roasted Garlic ', '0', '5%', 'Basil Paste ', 'Basil', 'Sunflower Oil', ' Salt', 'Natural Flavouring', ' Salt', ' Black Pepper', 'Thyme']",['Non végétalien'],?,41,172 kj(41 kcal),"1,8",1,"4,8","1,4","1,1","0,5","0,2",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",1.8 g,en faible quantité,1 g,en faible quantité,1.4 g,en faible quantité,0.5 g,en quantité modérée,,0%,0%,+4%,+78%,+5%,-28%,+18%,-23%,-23%,1,-30%,B,-30%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['card-box'],['Heinz'],,,,,4,,,"['Céleri', 'Lait']",,,,
1262,Soupe du jour - Heinz - 400g,5000157079428,"['France', 'Allemagne']","['water', 'parsnip ', '22%', 'celeriac', 'onion', 'leek', 'celery', 'chicken ', '3%', 'cornflour', 'chicken stock ', 'cooked chicken', 'natural flavouring', 'water', 'salt', 'onion powder', ' sunflower oil', 'salt', 'nutmeg', 'ginger', 'black pepper', 'rosemary', 'turmeric']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,45,188 kj(45 kcal),"1,6","0,2","5,2","1,8","1,8","0,5","0,2",,"['Plats préparés', 'Soupes']",1.6 g,en faible quantité,0.2 g,en faible quantité,1.8 g,en faible quantité,0.5 g,en quantité modérée,,-21%,-21%,-18%,-67%,-10%,+4%,-18%,-42%,-42%,1,-39%,B,-39%,,,,,,,,400g,,['Heinz'],,,,,4,,,['Céleri'],,,,
1263,Haricots blancs - Heinz,5000157079442,['France'],[],[],?,97,406 kj(97 kcal),"0,4",0,16,"0,7","5,5",1,"0,4",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",0.4 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,1 g,en quantité modérée,,-33%,-31%,-61%,-100%,-8%,-41%,-39%,+66%,+66%,2,,B,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1264,Sauce curry Mango,5000157103963,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Salad Dressing Caesar - Heinz - 100 * 25ml,5000157105202,['France'],"['Huile de soja 45 %', 'eau', ""vinaigre d'alcool"", 'sucre', 'sel', ""jaune d'œuf"", 'arômes ', 'contiennent du lait', 'fromage en poudre 1 % ', 'lait', 'graines de moutarde', 'épaississant ', 'gomme xanthane', 'ail', 'mélasse', 'épices', ""vinaigre d'orge"", 'antioxydants ', 'extrait riche en tocophérols', 'calcium disodium EDTA', 'anchois ', 'poisson', 'oignons', 'tamarin']","['Non végétalien', 'Non végétarien']",1901,?,1901 kj(454 kcal),46,"7,7",10,"9,1","1,2",2,"0,8",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Sauces caesar']",46 g,en quantité élevée,7.7 g,en quantité élevée,9.1 g,en quantité modérée,2 g,en quantité élevée,+39%,,+20%,+19%,+93%,+74%,+145%,-39%,+19%,+19%,22,+50%,E,+50%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,100 * 25 ml,"['Plastique', 'Carton']",['Heinz'],,,,"['E415 - Gomme xanthane', 'E306 - Extrait riche en tocophérols', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",4,,['Apriba'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Soja']",,,,
1266,Planters,5000157140838,['France'],[],[],?,609,2548 kj(609 kcal),"47,9","10,1",21,"16,6",20,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1267,Soup of day - Heinz,5000157141071,['France'],[],[],?,158,661 kj(158 kcal),"1,5","0,9","5,5","0,5","0,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1268,m&m's,5000159009874,['France'],"['sucre', 'cacahuètes', 'pâte de cacao', 'lait écrémé en poudre', 'lactose et protéines de lait', 'beurre de cacao', 'matière grasse de palme', 'matière grasse du lait', 'amidon', 'sirop de glucose', 'lactose', 'matière grasse de karité', 'stabilisant ', 'gomme arabique', 'émulsifiant ', 'lécithine de soja', 'colorants ', 'E100', 'E120', 'E133', 'E160a', 'E160e', 'E171', 'dextrine', ""agent d'enrobage "", 'cire de camauba', 'huile de noix de coco', 'sel', 'arômes', ' ', 'Peut contenir : noisette', 'amande', ' \rTM/®/designs/©Mars']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,511,2138 kj(511 kcal),"25,3","10,3","59,2","53,8","9,7","0,09","0,036",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",25.3 g,en quantité élevée,10.3 g,en quantité élevée,53.8 g,en quantité élevée,0.09 g,en faible quantité,,+0%,+0%,-0%,-6%,+1%,+1%,+10%,-34%,-34%,26,+3%,E,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,"[""m&m's""]",,,,"[""E414 - Gomme d'acacia"", 'E322i - Lécithine', 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E171 - Oxyde de titane', 'E1400 - Dextrines']",4,,,"['Lait', 'Arachides', 'Soja']",,,,['Huile de palme']
1269,Skittles,5000159024471,['France'],[],[],?,941,3937 kj(941 kcal),"2,3","0,8","49,9","49,4",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Skittles'],,,,,,,,,,,,
1270,"Balisto Active 8X20 GR, 3 Paquets - 160g",5000159025539,"['France', 'Suisse']","['Sirop de glucose', 'céréales complètes 22% ', ""flocons d'avoine"", ""farine d'avoine"", 'maïs de gruau 12%', 'raisins de Corinthe 8,4%', 'huilevégétale', 'farine de riz 6,2%', 'farine de blé 5,5%', 'fructose 5,4%', 'beurre concentré', 'sucre', 'sel', 'amidon de blé', ""extrait de malt d'orge"", 'lait écrémé en poudre', 'sucre caramélisé', 'dextrose', 'vitamines ', 'B1,B2', 'niacine', 'acide folique', 'émulsifiant ', 'lécithine de soja']",['Non végétalien'],402,?,402 kj(96 kcal),"10,2","4,8","70,8","29,1","4,8","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 g,,['Balisto'],,,,['E322i - Lécithine'],4,,,"['Gluten', 'Lait', 'Avoine', 'Soja']",,,,
1271,Maltesers Mega Zylinder - Mars,5000159030151,['France'],[],[],?,45,188 kj(45 kcal),"24,8","15,2","61,7","51,9","8,1","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Mars', 'Maltesers']",,,,,,,,,,,,
1272,m&m's Peanut - 270g - 6sachets de 45g,5000159303514,['France'],"['sucre', 'cacahuètes', 'pâte de cacao', 'lait écrémé en poudre', 'lactose et protéine de lait', 'beurre de cacao', 'matière grasse de palme', 'beurre concentré ', 'lait', 'amidon', 'sirop de glucose', 'matière grasse de karité', 'émulsifiant ', 'lécithine de soja', 'stabilisant ', 'gomme arabique', ',colorants ', 'E100', 'E120', 'E133', 'E160a', 'E160e', 'E171', 'dextrine', ""agent d'enrobage "", 'cire de carnauba', 'sel', 'arômes', 'huile de noix de coco', 'peu contenir noisette,amande']","['Huile de palme', 'Non végétalien', 'Non végétarien']",2139,?,2139 kj(511 kcal),"25,3","10,2","59,1","53,6","9,8","0,09","0,036",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",25.3 g,en quantité élevée,10.2 g,en quantité élevée,53.6 g,en quantité élevée,0.0899 g,en faible quantité,+2%,,+0%,-0%,-6%,+0%,+0%,+11%,-34%,-34%,26,+3%,E,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,270 g - 6 sachets de 45g,['chapelet de 6 sachets'],"[""M&M's"", ""M&M's peanut""]",,,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E171 - Oxyde de titane', 'E1400 - Dextrines', 'E903 - Cire de carnauba']",4,Cacahuètes enrobées de chocolat au lait et dragéifiées,['Dia'],"['Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,['Huile de palme']
1273,Maltesers Chapelet 140G,5000159365307,['France'],"['sucre', 'lait écrémé en poudre', 'beurre de cacao', 'sirop de glucose', ""extrait de malt d'-orge_"", 'pâte de cacao', 'beurre concentré ', 'lait', 'lactose', 'petit-lait en poudre', 'matière grasse de palme', 'farine de blé', 'émulsifiants ', 'lécithine de _soja_E492', 'poudres à lever ', 'E341 ', 'E500,E501', 'gluten de blé', 'sel', ""agent d'enrobage "", 'pectine', 'extrait naturel de vanille']","['Huile de palme', 'Non végétalien']",?,500,2092 kj(500 kcal),"24,3","15,2","61,5","51,9","8,3","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maltesers'],,,,"['E322i - Lécithine', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E501 - Carbonates de potassium', 'E440 - Pectines']",4,,,"['Gluten', 'Lait', 'Soja']",,,,['Huile de palme']
1274,Celebrations - Mars - 72g,5000159378215,['France'],[],[],?,136,569 kj(136 kcal),"6,8",4,"16,8","14,9","1,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72g,,['Mars'],,,,,,,,,,,,
1275,M &M Peanut Dispenser,5000159386722,['France'],[],[],?,512,2142 kj(512 kcal),"25,6","10,4","58,8","53,3","9,7","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Célébrations - Mars Chocolat France,5000159387057,['France'],"['sucre', 'sirop de glucose7beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'matière grasse du lait', 'lactose', 'matière grasse de palme', 'cacahuètes', 'noix de coco séchée', 'farine de blé', 'petit-lait en poudre', 'huile de tournesol', 'lait entier en poudre', 'émulsifiants ', 'lécithine de soja', 'E471', 'extrait de malt d’orge', 'cacao maigre', 'sel', 'humectant ', 'glycérol', ""blanc d'oeuf en poudre"", 'extrait 1 ', 'E500', 'E501 protéine de lait', 'gluten de blé', ' ', 'Peut naturel de vanille', 'poudres à lever 0 25% minimum']","['Huile de palme', 'Non végétalien']",?,494,2067 kj(494 kcal),"24,4","14,5","63,5","55,2","5,5","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mars Chocolat France'],,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E501 - Carbonates de potassium']",4,,,"['Gluten', 'Lait', 'Arachides', 'Soja']",,,,['Huile de palme']
1277,Mars Coeur Fondant - 3 * 42g (126g),5000159390828,['France'],"['Chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactose', 'petit-lait en poudre', 'émulsifiant', 'lécithine de sojaà', 'beurre concentré', 'extrait naturel de vanille', 'sirop de glucose', 'sucre', 'huile de tournesol', 'lait écrémé en poudre', 'lactose', 'beurre concentré', ""extrait de malt d'orge"", 'sel', 'peit-lait en poudre', 'matière grasse végétale', ""blanc d'oeuf en poudre "", '0,1%', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'protéine de lait hydrolysée', 'extrait naturel de vanille', 'émulsifiant ', 'lécithine de soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1898,?,1898 kj(454 kcal),"17,2","8,3","70,2","64,3","3,6","0,42","0,168",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées au caramel']",17.2 g,en quantité modérée,8.3 g,en quantité élevée,64.3 g,en quantité élevée,0.42 g,en quantité modérée,-1%,,+1%,-2%,-7%,+7%,+18%,-19%,-2%,-2%,24,+2%,E,+2%,,,,,,,,3 * 42 g (126 g),"['Sachet', 'Plastique']",['Mars'],['Sans conservateurs'],['France'],,['E322i - Lécithine'],4,,,"['Gluten', 'Lait', 'Soja']",,,,
1278,Popchips Barbeque,5000159394499,['France'],[],[],?,529,2213 kj(529 kcal),29,17,59,58,"7,1","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['mixed plastic-packet'],['Popchips'],,,,,,,,,,,,
1279,M&M's Mix Pouch - 400g,5000159397896,['France'],"['sucre', 'pâte de cacao', 'lait écrémé en poudre', 'beurre de cacao', 'lactose', 'matière grasse du lait', 'matière grasse de palme', 'sirop de glucose', 'amidon', 'matière grasse de karité', 'colorants ', 'E100', 'E120', 'E133', 'E160a', 'E160e', 'E171', 'dextrine', 'émulsifiant ', 'lécithine de soja', ""agent d'enrobage "", 'cire de carnauba', 'sel', 'arômes', 'huile de palme']",[],?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",,,,,,,,,,,,,,,,,,,,,,,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,400 g,,"[""M&M's""]",,,,,,,,,,,,
1280,Mars - 51g,5000159403436,['France'],"['sucre', 'sirop de glucose', 'beurre de cacao', 'lait écrémé en poudre', 'lactose', 'petit-lait en poudre', 'cacao maigre', 'matière grasse du lait', ""extrait de malte d'orge"", 'émulsifiant ', 'lécithine de soja', 'sel', ""blanc d'oeuf en poudre"", 'matière grasse de palme', 'protéine de lait', 'extrait naturel de vanille', ' ', 'Peut contenir: cacahuète', 'noisette']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1885,?,1885 kj(451 kcal),"16,6","8,3","70,1","61,7",4,"0,42","0,168",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées au caramel']",16.6 g,en quantité modérée,8.3 g,en quantité élevée,61.7 g,en quantité élevée,0.42 g,en quantité modérée,-1%,,+0%,-6%,-7%,+7%,+13%,-10%,-2%,-2%,24,+2%,E,+2%,,,,,,,,51 g,"['Sachet', 'Plastique']",['Mars'],,,,['E322i - Lécithine'],4,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,,['Huile de palme']
1281,Barres Glacées - Mars,5000159405881,['France'],[],[],?,275,1151 kj(275 kcal),15,10,"31,2","24,3","3,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mars'],,,,,,,,,,,,
1282,Twix Funsize Barritas Individuales,5000159406734,['France'],[],[],?,493,2063 kj(493 kcal),"23,7","13,7","64,9","49,1","4,4","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Twix'],,,,,,,,,,,,
1283,M&M's,5000159408431,['France'],[],[],?,511,2138 kj(511 kcal),"25,3","10,3","59,2","53,8","0,09","0,09","0,036",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",25.3 g,en quantité élevée,10.3 g,en quantité élevée,53.8 g,en quantité élevée,0.09 g,en faible quantité,,+0%,+0%,-0%,-6%,+1%,+1%,-99%,-34%,-34%,26,+3%,E,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,"[""M&M's""]",,,,,,,,,,,,
1284,"M&M's, Crispy",5000159417600,['France'],[],[],?,475,1987 kj(475 kcal),19,12,72,59,"4,3","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""M&M's""]",,,,,,,,,,,,
1285,"Balisto au bon chocolat fruits des bois - 166,5g",50001594180003,['France'],"['Biscuit 36% : sucre', 'céréales complètes ', '19%', ' ', ""flocons d'avoine complet"", 'farine de blé complète', ""farine d'orge complète"", 'matière grasse végétale', 'farine de blé', 'beurre de cacao', 'huile de tournesol', 'poudre de yaourt maigre ', '5,1%', 'pâte de cacao', 'lait écrémé en poudre ', '3,9%', 'lactose', 'fruits des bois ', '2,6%', ' ', 'mûre', 'framboise', 'cassis', 'beurre concentré', 'petit-lait en poudre', 'émulsifiants ', 'lécithine de soja', ""mono- et diglycérides d'acides gras"", 'Stéaroyl-2-lactylate de sodium', 'sirop de fructose', 'sel', 'poudre à lever ', 'carbonate de sodium', ""correcteur d'acidité "", 'acide citrique', 'gélifiant ', 'pectine', 'arômes naturels', '\rEnrobage ', '39%', ' chocolat au lait : sucre', 'beurre de cacao ', '38%', 'pâte de cacao', 'lait écrémé en poudre', 'lactose', 'beurre concentré', 'petit-lait en poudre', 'lécithine de soja', 'extrait naturel de vanille']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2105,?,2105 kj(503 kcal),"24,9",11,61,"44,6",7,"0,66","0,264",B,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Biscuits et gâteaux', 'Confiseries chocolatées', 'Biscuits', 'Barres chocolatées']",24.9 g,en quantité élevée,11 g,en quantité élevée,44.6 g,en quantité élevée,0.66 g,en quantité modérée,-3%,,-0%,-9%,-27%,+10%,-1%,+3%,+104%,+104%,24,-2%,E,-2%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"166,5 g",['Plastique'],['Balisto'],,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium', 'E330 - Acide citrique', 'E440 - Pectines']",4,"Biscuit aux céréales complètes, crème aux fruits des bois et enrobage avec du chocolat au lait",['Spar'],"['Gluten', 'Lait', 'Soja']",,"['Allemagne', 'Viersen']",,
1286,Celebrations - 300g,5000159419420,['France'],"['Sirop de glucose', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'beurre concentré ', 'lait', 'lactose', 'matière grasse de palme', 'cacahuètes', 'noix de coco séchées', 'farine de blé', 'petit-lait en poudre', 'huile de tournesol', 'lait entier en poudre', 'lait écrémé concentré', 'émulsifiants ', 'lécithine de soja', 'E471', ""extrait de malt d'orge"", 'cacao maigre', 'sel', 'humectant ', 'glycérol', ""blanc d'œuf en poudre"", 'extrait naturel de vanille', 'poudres à lever ', 'E341', 'E500', 'E501', 'protéine de lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2069,?,2069 kj(495 kcal),"24,4","14,5","62,3","55,2","5,5","0,4","0,16",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",24.4 g,en quantité élevée,14.5 g,en quantité élevée,55.2 g,en quantité élevée,0.4 g,en quantité modérée,-8%,,-8%,-27%,-18%,+21%,+18%,-9%,+178%,+178%,27,+8%,E,+8%,,,,,,,,300 g,"['Boîte', 'Plastique']","['Celebrations', 'Mars']",,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E501 - Carbonates de potassium']",4,Assortiment de chocolats au lait fourrés et de biscuits enrobés de chocolat au lait,['Carrefour Market'],"['Œufs', 'Gluten', 'Lait', 'Arachides', 'Soja']",,,,['Huile de palme']
1287,Fruit skittles,5000159421416,['France'],[],[],?,404,1690 kj(404 kcal),"4,2","1,5","90,7","89,8",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Skittles'],,,,,,,,,,,,
1288,M&m's,5000159428514,['France'],[],[],?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",,,,,,,,,,,,,,,,,,,,,,,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,"[""M&M's""]",,,,,,,,,,,,
1289,"Cornet Friture Lait 240G, - Mars",5000159440974,['France'],"['sucre', 'cacahuètes', 'de écrémé en poudre', 'lactose et protéines de lait', 'végétale', 'beurre de cacao', 'beurre concentré', 'amidon', 'glucose', 'émulsifiant ', 'lécithine de soja', 'gé\\itm col?ants ', 'El 00', 'El 20', 'El 32', 'El 33', 'cire de carnauba', 'arômes', 'sel', 'huile végétale', ' ', 'Traces', ' amande', ' WM', 'mars', 'com IMP: Mars BP 10036 - 67 501 Haguenau Cedex - Service Consommaws NOCRISTAL@ 0969 320 680 ', 'appel non surtaxé', 'www', 'marschocolatfrance', 'fr Le chocolat au lait contient des matières grasses végétales en plus du beurre de cacao', ' 235 geeÒ 1203682']",['Non végétalien'],?,506,2117 kj(506 kcal),"25,4","25,4","59,9","59,9","9,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mars'],['100% végétal'],,,"['E322i - Lécithine', 'E903 - Cire de carnauba']",4,,,"['Lait', 'Arachides', 'Soja']",,,,
