,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
828,Express Reis mexikanische Art - Primana - 250g,4061458005234,,,250g,,['Primana'],,,,"['France', 'Allemagne']",[],,[],,?,,154,,"2,6",,29,,3,,,,,,,,,,644 kj(154 kcal),"0,3","2,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,
829,Bûche pâtissière arôme praliné - Forchy - 350g,3262350411890,D,,350 g,['Film en plastique'],['Forchy'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Gâteaux', 'Pâtisseries', 'Bûches de Noël', 'Bûches pâtissières']",,,['France'],"['Gěnoise et garniture : margarine [huiles et graisses vegoes palme', 'colza', 'émulsifiant ', ""mono et diglycérides d'acides gras"", ""correcteur d'acidité "", 'acide citrique', '] - fondant ', 'sucre', 'sirop de glucose', 'eau', "" - œuts frais - sirop d'imbibage "", 'sucre', 'sirop de glucose', 'kirsch', ' - Sucre - farine de blé - amidon de blé - equ - stabilisants ', 'alycérol', 'sorbitol', ' - émulsifiants ', 'E472b', 'E477', 'E471', '- sirop de glucose - lait écrémé en poudre - poudres à lever ', 'diphosphates', 'carbonates de sodium', ' - arôme - sel - épaississants ', 'gomme de caroube', 'gonmme de xanthane', ' Arômes : arôme café 1 % ', 'café', 'eau', ' ou arôme cacao 1,6 % ', 'cac0O en poudre', ' ou arôme praliné 2,9 % [pâte de noisette', 'huile et matière grasse végétales partiellement ou totalement hydrogénées ', 'colza', 'palme', '] ou arôme vonille 0,2 %', ' Décors : chocolat en flocons ', 'sucre', 'pâte de cacao', 'beurre de cacoo', 'poudre de lait entier', 'matière grasse laitière anhydre', 'arôme naturel de vanille', ' - crème ', 'margarine ', 'huiles et graises végétales ', 'palme', 'colza', 'émulsifiant ', ""mono et diglycérides d'acides gras"", ""correcteur d'acidité "", 'acide citrique', 'fondant ', 'sucre', ' sirop de glucose', 'eau', 'colorant ', 'E141', '] - décor azyme [amidon de mais', 'fécule de pomme de terre', 'poudre de lait', 'sucre', 'sirop de glucose', 'épaississamts ', 'gomme arabique', 'pectine', 'arôme', 'émulsífiant ', 'lécithine de tournesol', 'colorants ', 'E120', 'E133', 'E171', 'E172', 'acidifiant ', 'acide citrique', '] - champignon rouge [Sucre', 'amidon de mais', 'protéines de lait', 'épaississant ', 'gomme arabique', 'conservateur ', 'E200', 'acidifiant ', 'acide citrique', 'colorant ', 'E163', ']-meringue ', 'sucre', ""blanc d'eufs"", 'arôme vanille', 'cacao en poudre', ' Traces de fruits à coque et soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E420 - Sorbitol', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E410 - Gomme de caroube', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', ""E414 - Gomme d'acacia"", 'E440 - Pectines', 'E322i - Lécithine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1830,+18%,437,+21%,23,+21%,54,+26%,4,+4%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,"['Gluten', 'Lait']",1830 kj(437 kcal),12,38,"0,25","0,1",23 g,en quantité élevée,12 g,en quantité élevée,38 g,en quantité élevée,0.25 g,en faible quantité,+20%,+8%,+24%,+16%,+16%,24,+24%,E,+24%,,,['Huile de palme'],,,,,
830,Ecrasé de pommes de terre vitelote,20058210,,,,,,,,,['France'],[],,[],,?,,109,,"4,8",,14,,"1,7",,,,,,,,,,456 kj(109 kcal),"2,4","1,4","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,
831,Alnatura Dinkel Löffel kekse - 125g,4104420202962,C,,125 g,['Beutel'],['Alnatura'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'de:Bio 7 Initiative', 'de:deutsches-bio-siegel', 'en:Bioland', 'DE-ÖKO-001']",,"['France', 'Suisse']",[],,[],,?,,427,-10%,"14,1",-32%,67,+5%,"6,5",0%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,1787 kj(427 kcal),"6,4","15,9","0,53","0,212",14.1 g,en quantité modérée,6.4 g,en quantité élevée,15.9 g,en quantité élevée,0.53 g,en quantité modérée,-10%,-37%,-46%,-10%,-10%,14,-29%,D,-29%,,,,,,,,
832,Ketchup à la tomate de Marmande - Lucien Georgelin,3330720538000,,,,"['Pot en verre', 'Couvercle en fer']",['Lucien Georgelin'],,,,['France'],[],,[],,?,,141,,"0,8",,31,,"1,1",,,,,,,,,,590 kj(141 kcal),"0,1",30,"0,833","0,333",,,,,,,,,,,,,,,,,,,,,,,,,
833,"Purée de spécialités de fruits - Belle France - 1,8kg (12x 90g)",3258561202075,,,"1,8 kg (12 x 90 g)",['Bouchon en plastique'],['Belle France'],,,,['France'],[],,[],,?,,56,,0,,13,,0,,,,,,,,,,234 kj(56 kcal),0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
834,Steinofenpizza Thunfisch - Mondo Italiano - 355g,4316268540643,C,,355 g,['Karton'],['Mondo Italiano'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas au thon']",['Fabriqué en Allemagne'],,"['France', 'Allemagne']","['Pizzateig ', 'Weizenmehl', 'Wasser', 'Rapsöl', 'Zucker', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumjodat', 'Backhefe', 'Tomatensauce ', 'zerkleinerte Tomaten', 'Weizenquellmehl', 'Zucker', 'Kapernpaste ', 'Kapern', 'Speisesalz', 'Wasser', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumjodat', 'Gewürze', 'Kräuter', '12,6% Thunfisch ', 'Thunfisch', 'Sonnenblumenöl', 'Speisesalz', '7% Edamer', '7% schnittfester Mozzarella', '5,8% Zwiebeln', '3,8% Tomatenwürfel', 'Petersilie']",,"['Non végétalien', 'Non végétarien']",3,782,-18%,188,-19%,"5,2",-46%,"24,4",-1%,10,-2%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,"['Poisson', 'Gluten']",782 kj(188 kcal),"2,6","2,9",1,"0,4",5.2 g,en quantité modérée,2.6 g,en quantité modérée,2.9 g,en faible quantité,1 g,en quantité modérée,-19%,-12%,-6%,-12%,-12%,3,-39%,C,-39%,,,,,,,,
835,Fenchel Anis Kümmel Tee - Alnatura,4104420179493,,,,,['Alnatura'],,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Burger vegetale alle melanzane - kioene - 200,8027890009151,,,200,,['Kioene'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]","['Végétarien', 'Végétalien']",,"['France', 'Italie']",[],,"['Végétalien', 'Végétarien']",,?,,230,-21%,15,+38%,12,-64%,11,+95%,,,,,,,,,962 kj(230 kcal),"1,7","1,4","1,3","0,52",15 g,en quantité modérée,1.7 g,en quantité modérée,1.4 g,en faible quantité,1.3 g,en quantité modérée,-19%,-12%,-86%,+186%,+186%,-2,-159%,A,-159%,,,,,,,,
837,Infusion Bio Anti-stress - Biorigine - 20sachets,3286010048080,,,20 sachets,"['Etui en carton', 'Etui en carton']",['Biorigine'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'PEFC']",,['France'],[],,[],,?,,0,,0,,0,,0,,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
838,Goût Emmental - 27g,3168930000433,,,27 g,,,"['Snacks', 'Snacks salés', 'Apéritif']",,,['France'],"['Semoule de maïs', 'poudre de pomme de terre ', '28%', ' ', 'dont sulfites', 'huile de colza', 'base aromatisante emmental ', 'poudre de fromage ', 'lait', 'poudre de petit-lait', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'arômes ', 'dont lait', 'colorant ', 'annato', ']', 'sel']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",['Non végétalien'],4,?,,450,-4%,16,-34%,68,+32%,"8,2",+7%,,,,,,,,['Lait'],1883 kj(450 kcal),"2,4","2,5","1,9","0,76",16 g,en quantité modérée,2.4 g,en quantité modérée,2.5 g,en faible quantité,1.9 g,en quantité élevée,-4%,-41%,-20%,+22%,+22%,13,+2%,D,+2%,,,,,,,,
839,Lavazza Caffe Crema Classico Ganze Bohne 1 KG - 1000g,8000070027411,,,1000g,"['boîte', 'boîte']",['Lavazza'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['Fabriqué en Italie'],,"['France', 'Allemagne']",[],,[],,?,,1,-96%,0,-100%,"0,3",-80%,"0,2",-76%,,,,,,,,,4 kj(1 kcal),0,0,0,0,,,,,,,,,-96%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
840,Pomelo chinois - filière qualité Carrefour - 1,3276557490879,,,1,['Plastique'],['filière qualité Carrefour'],,,,['France'],[],,[],,?,,0,,?,,?,,?,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
841,PLUMCAKE DI FARRO - Conad,8003170059443,,,,,['Conad'],,,,"['France', 'Italie']",[],,[],,?,,383,,14,,58,,"5,7",,,,,,,,,,1602 kj(383 kcal),"1,7",34,"0,65","0,26",,,,,,,,,,,,,,,,,,,['Conad'],,,,,,
842,Donburi Poulet Katsu,3760275624505,,,,,,,,,['France'],[],,[],,?,,128,,"1,9",,20,,"7,5",,,,,,,,,,536 kj(128 kcal),"0,3","3,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,
843,Saumon fondue de poireaux,3250392725167,,,,,,,,,['France'],[],,[],,?,,145,,"10,1",,"2,6",,"10,4",,,,,,,,,,607 kj(145 kcal),"5,2","1,1","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,
844,Amandes en poudre - Produits Blancs,3560071175405,,,,['Sachet'],['Produits Blancs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,['France'],[],,[],,?,,637,+2%,54,+1%,"5,9",-32%,26,+12%,,,,,,,,,2665 kj(637 kcal),"4,4","4,1",0,0,54 g,en quantité élevée,4.4 g,en quantité modérée,4.1 g,en faible quantité,0 g,en faible quantité,+2%,+4%,-3%,-100%,-100%,11,+97%,D,+97%,,,,,"['EMB 14614', ""Sainte-Marguerite-d'Elle (Calvados, France)""]",,,
845,Leibniz Barre De Biscuits 'Pick Up! Black & White' - 28.0g,4017100213045,C,,28.0 g,['Stück(e)'],['Leibniz'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['France', 'Allemagne']",[],,[],,?,,522,+10%,27,+30%,62,-3%,"6,5",0%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,2184 kj(522 kcal),16,37,"0,64","0,256",27 g,en quantité élevée,16 g,en quantité élevée,37 g,en quantité élevée,0.64 g,en quantité modérée,+10%,+58%,+25%,+9%,+9%,26,+31%,E,+31%,,,,,,,,
846,Helle Sojasauce Supreme - Lee Kum Kee - 150ml,4316734091655,A,,150 ml,['Flasche'],['Lee Kum Kee'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,"['France', 'Allemagne']",[],,[],,362,-21%,86,-22%,"0,5",+307%,"8,8",-51%,"9,6",+50%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,362 kj(86 kcal),"0,1","2,3","17,7","7,08",0.5 g,en faible quantité,0.1 g,en faible quantité,2.3 g,en faible quantité,17.7 g,en quantité élevée,-21%,+327%,-82%,+48%,+48%,11,-2%,D,-2%,,,,,,,,
847,Le bar à fruits secs -  - 150g,3481010098404,,,150g,,,,,,['France'],[],,[],,?,,370,,"5,2",,"72,7",,7,,,,,,,,,,1548 kj(370 kcal),"0,8",11,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,
848,Queues de gambas sauvages - Carrefour - 300g,3560071015404,D,Queues de salicoque rouge d´Argentine décortiquées crues congelées,300 g,,['Carrefour'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas', 'Queues de crevettes', 'Queues-de-gambas', 'Queues-de-gambas-sauvages']",,,['France'],"['Queue de crevette ', ""salicoque rouge d'Argentine"", ' 99', '5% ', 'Pleoticus muelleri', 'sel', 'antioxydant: disulfite de sodium', ""correcteur d'acidité: citrates de sodium"", ' Peut contenir des traces de poisson et mollusque']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']","['Non végétalien', 'Non végétarien']",3,308,-15%,73,-17%,"1,3",+71%,0,-100%,15,-25%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,"['Crustacés', 'Anhydride sulfureux et sulfites']",308 kj(73 kcal),1,0,"0,5","0,2",1.3 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,-17%,+272%,-100%,-39%,-39%,-3,,A,,,['Carrefour'],,,"['ES 12.12530/PO CE', 'CE']",Conditionné par CABOMAR CONGELADOS - Puerto de Marín s/n Marín - 36900 Pontevedra - Espagne pour Interdis.,Salicoque rouge d´Argentine (Pleoticus muelleri) pêchée aux chaluts en océan Atlantique Sud-ouest.,
849,Coral Elephant - 10CM - Kirkland Signature,0096619482016,,,,['pet-bottle'],['Kirkland Signature'],,,,['France'],"['typical analysis mg/l: 38 | bicarbonates 135 calcium magnesium 12 sodium 14 • 12 •8 chlorides ,5 potassium 2,5 nitrates dry extract at 180°c: 219 mg/ may pose a choking']",,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Sfogliatissima all'olio extravergine di oliva -,8003840001093,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Piadina']",['Sans conservateurs'],,['France'],[],,[],,?,,350,+13%,14,+144%,47,-8%,"7,8",-16%,,,,,,,,,1464 kj(350 kcal),"1,7","1,5","1,4","0,56",14 g,en quantité modérée,1.7 g,en quantité modérée,1.5 g,en faible quantité,1.4 g,en quantité modérée,+13%,+42%,-33%,-5%,-5%,11,+90%,D,+90%,,,,,,,,
851,Yaourt à la grecque à la fraise - Casino - 450g,3222477026322,C,"Yaourt brassé au lait entier et à la crème, sucré, à la fraise",450 g,,['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la grecque', 'Yaourts à la fraise']",['en:lait-francais-french-milk'],,['France'],"['lait entier 67,6% - fraise ', 'morceaux et purée', ' 10% - crème 8,9% - sucre 8,5% - amidon de maïs - arôme naturel de fraise - épaississant : pectines - jus concentré de carotte noire - jus concentré de citron - ferments lactiques ', 'contient lait', ' - poudre de lait écrémé', ' lait et crème origine : france']",['E440 - Pectines'],['Non végétalien'],4,485,+22%,116,+18%,"6,5",+117%,12,-9%,"2,4",-35%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],485 kj(116 kcal),"4,3",12,"0,1","0,04",6.5 g,en quantité modérée,4.3 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,+19%,+126%,-3%,-7%,-7%,6,+123%,C,+123%,,['Casino'],,,,,,
852,Queues de Langouste caraïbe 2 pièces - Carrefour - 500g,3560070275793,,Queues de langouste caraïbe crues non décortiquées congelées,500 g,,['Carrefour'],,,,['France'],"['Queue de langouste caraïbe 99% ', 'Panulirus argus', 'conservateur : disulfite de sodium', 'stabilisants : diphosphates et triphosphates', ' Peut contenir des traces de poissons et de mollusques']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,352,,83,,"0,8",,0,,19,,,,,,,,,"['Anhydride sulfureux et sulfites', 'Langouste caraïbe', 'Langouste caraïbe']",352 kj(83 kcal),"0,2",0,"0,89","0,356",,,,,,,,,,,,,,,,,,,['Carrefour'],,,"['FR 62.894.101 CE', 'Wimille (Pas-de-Calais, France)', 'EMB 62894C', 'Wimille (Pas-de-Calais, France)']",Importé par SOMEGEL et conditionné en France par EMB 62894 C pour Interdis,"Langouste caraïbe (Panulirus argus) pêchée aux casiers et pièges en Océan Atlantique Centre-Ouest. Origine Bahamas (B) ou Nicaragua (N) : Pour connaître l'origine du produit, se référer au pavé de marquage.",
853,DatVita,6133256002369,,,,,,,,,['France'],[],,[],,?,,300,,"0,2",,"20,4",,0,,,,,,,,,,1255 kj(300 kcal),0,"20,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
854,Corny Free Haselnuss,4011800572617,,,,,['Corny'],,,,['France'],[],,[],,?,,355,,"11,5",,"66,5",,"7,3",,,,,,,,,,1485 kj(355 kcal),"3,8","1,5","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,
855,Le haché race Normandie pur boeuf - Carrefour - 250g,3245415693288,,,250g,['barquette plastique'],['Carrefour'],"['Viandes', 'Bœuf', 'Viandes fraîches']","['Point Vert', 'Filiere qualité Carrefour']",,['France'],['100% viande bovine origine France'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,?,,0,-100%,15,+40%,?,,?,,,,,,,,,,0 kj(0 kcal),,,,,15 g,en quantité modérée,,,,,,,-100%,,,,,,,,,['France'],"['Carrefour Market', 'Carrefour']",,['France'],"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,
856,Lardons fumés - Naturalia,3700036902916,D,,,,['Naturalia'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",,,['France'],[],,[],,?,,253,-5%,"20,5",-6%,"1,9",+131%,16,-2%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,1059 kj(253 kcal),"7,63","1,9","3,63","1,452",20.5 g,en quantité élevée,7.63 g,en quantité élevée,1.9 g,en faible quantité,3.63 g,en quantité élevée,-4%,-8%,+197%,+37%,+37%,20,0%,E,0%,,,,,,,,
857,Fleurettes de brocolis surgelées - Picard - 600g,3270160877348,B,Brocoli en fleurettes en conversion vers l'agriculture biologique.,600 g,"['surgelé', 'Plastique', 'Sachet en plastique']",['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Brocolis', 'Brocolis en fleurettes surgelés', 'Brocoli surgelé', 'Brocoli surgelé cuit']","['Fruits et Légumes de France', 'Cultivé en France', 'Récolté en France', 'Transformé en France', ""En conversion vers l'agriculture biologique"", 'FR-BIO-017']",,['France'],"[""Brocoli en conversion vers l'agriculture biologique""]",,[],,?,,29,-3%,"0,8",+60%,"1,1",-45%,"3,1",+17%,33.4%,0.2%,12.9%,10.4%,32.2%,10.9%,90,,121 kj(29 kcal),"0,2","0,9","0,03","0,012",0.8 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.03 g,en faible quantité,-2%,+75%,-26%,-23%,-23%,-8,,A,,['France'],['Picard'],,['France'],"['EMB 56066C', 'Gourin (Morbihan, France)']",,,
858,CHOC N' MINI MIX - Carrefour,3560071154004,,,,,['Carrefour'],,,,['France'],[],,[],,?,,479,,22,,64,,"5,5",,,,,,,,,,2004 kj(479 kcal),12,53,"0,46","0,184",,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
859,Salami de dinde - Delhaize - 100g,5400112723555,D,,100g,['Frais'],['Delhaize'],"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de dinde']",,,"['Belgique', 'France']",[],,[],,?,,226,-29%,17,-32%,"0,1",-96%,18,-10%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,946 kj(226 kcal),"5,1","0,1","3,4","1,36",17 g,en quantité modérée,5.1 g,en quantité élevée,0.1 g,en faible quantité,3.4 g,en quantité élevée,-28%,-49%,-89%,-1%,-1%,17,-20%,D,-20%,,['Delhaize'],,,,,,
860,La saucisse sèche - Cochonou - 0.275kg,3449865293962,,Saucisse sèche pur porc qualité supérieure,0.275 kg,,['Cochonou'],,"['Viande Française', 'Viande Porcine Française']",,['France'],"['Viande de porc origine France', 'sel', 'LACTOSE', 'dextrose', 'épices', 'sucre', 'conservateur : nitrate de potassium', 'ferments', ' Présence possible de fruits à coques', '155 g de viande utilisés pour la préparation de 100 g de produit fini']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1908,,460,,38,,"3,5",,26,,,,,,,,,['Lait'],1908 kj(460 kcal),15,3,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,
861,Flan - 9000000000000000000g,6111180003843,,,9000000000000000000g,['Papier'],['Flan'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour flans']",,,"['France', 'Maroc']","['Poudre de cacao', 'agent gélifiant:carraghenane ', 'E407', 'sucre', 'arôme chocolat', 'amidon de maïs', 'colorants: ', 'E110', 'E132', 'E129', ""sel'""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E110 - Jaune orangé S', ""E132 - Indigotine carmin d'indigo"", 'E129 - Rouge allura AC']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,BonRoll - aia - 750g,8008110260071,,"preparazione gastronomica a base carne, Polpettone",750g,,['Aia'],"['Viandes', 'it:Carne-macinata', 'it:Polpettone', 'it:Preparati-a-base-di-carne', 'it:Secondi']",,https://www.aiafood.com/it/prodotti/gamma-bonroll/classici/bonroll-spinaci,"['France', 'Italie']","['carne di pollo e tacchino 48%', 'Lardello di suino 14%', 'spinaci 10%', 'uova 8%', ' acqua', 'farina di frumento ', 'glutine', ' formaggio 2,5% ', 'Latte', 'insaccato cotto avicolo 2,5% ', 'carne di pollo', ' carne di tacchino', 'acqua', ""albume d'uovo"", 'amido di patata', 'sale', 'correttori di acidità: citrato trisodico', 'Latte scremato in polvere reidratato', 'destrosio', 'fruttosio', 'antiossidanti: ascorbato di sodio', 'erbe aromatiche', 'spezie', ' aromi', 'conservanti: nitrito d sodio', 'coloranti: caramello', ' granuli di patata burro ', 'Latte', ' sale', 'proteine del Latte', ' antiossidanti: acido ascorbico', 'rosmarino', ' prezzemolo', 'correttori di acidità: acido citrico aromi']","['E331iii - Citrate trisodique', 'E301 - Ascorbate de sodium', 'E150 - Caramel', 'E300 - Acide ascorbique']","['Non végétalien', 'Non végétarien']",4,?,,220,-2%,16,+10%,5,+205%,14,-27%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",920 kj(220 kcal),"6,5","0,8","1,6","0,64",16 g,en quantité modérée,6.5 g,en quantité élevée,0.8 g,en faible quantité,1.6 g,en quantité élevée,-1%,+22%,+13%,-12%,-12%,15,+32%,D,+32%,,,,,['IT 04-M CE'],,,
863,Duo de poivrons rouge et jaune - Carrefour,3560071176259,,,,['Sachet'],['Carrefour'],,"['Nutriscore', 'Nutriscore A']",,['France'],"['Poivron rouge 39%', 'eau', 'poivron jaune 26%', 'vinaigre', 'sucre', 'sel', 'acidifiant: acide citrique', 'affermissant : chlorure de calcium']","['E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,30,,0,,"5,8",,"0,7",,,,,,,,,,126 kj(30 kcal),0,"5,3","1,1","0,44",,,,,,,,,,,,,,,,,,,['Carrefour'],,,"['EMB 40028A', 'Bastennes (Landes, France)']",,,
864,Lot de Terrine de Lapin - Terrine de campagne - Pâté Hénaff - 3x180g,3537580705539,D,,3x180g,"['Verres', 'Verrines', 'Carton']",['Hénaff'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']","['Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],[],,[],,?,,265,-4%,22,-3%,"0,7",-57%,15,-3%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,1109 kj(265 kcal),8,"0,6","1,4","0,56",22 g,en quantité élevée,8 g,en quantité élevée,0.6 g,en faible quantité,1.4 g,en quantité modérée,-4%,-5%,-18%,-7%,-7%,16,-5%,D,-5%,"['Bretagne', 'Pouldreuzic', 'Finistère']",,,,,,,
