,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
407,Chocolat noir café - La plantation victoria - Bonne,3501940511009,E,['La plantation victoria'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs au café', 'Chocolats au café']",['France'],"['chocolat noir ', 'masse cacao', 'sucre', 'beurre de cacao', 'extrait de vanille', 'café moulu 2%', ' Cacao 73% min', ' dans le chocolat', ' Peut contenir des traces de fruits à coque', 'de lait et de soja']",[],?,,550,-1%,41,+5%,30,-23%,"8,8",+23%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2301 kj(550 kcal),25,25,"0,03","0,012",Bonne,41 g,en quantité élevée,25 g,en quantité élevée,25 g,en quantité élevée,0.03 g,en faible quantité,-1%,+7%,-23%,-51%,-51%,21,-4%,E,-4%,,,3,,,,,,,,,,,
408,Yaourt au lait entier de la Ferme - Schubnel,2099379147353,,['Schubnel'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de vache', 'Yaourts entiers']",['France'],"['Yaourt Nature : lait entier pasteurisé', 'ferments lactiques', '\rYaourt aux Fruits ', ""nom du fruit précisé sur l'opercule"", ': lait entier pasteurisé', 'sucre', '10 % de fruits', 'conservateur : sorbate de potassium3', ' gélifiants : carraghénanes', 'pectine', ' arômes', 'colorant', 'concentré de sureau ', 'uniquement pour la fraise', 'ferments lactiques']",['Non végétalien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']",,,,,,,,
409,bauerntopf mit hackfleisch - knorr - maxi pack 5portionen,8714100880586,,['Knorr'],,['France'],"['Zw Zutaten: Stärke', '20 % Zwiebeln', '14 % Paprika Speisesalz', 'Palmol', 'Zucker', 'Würze', 'Aromen Knoblauch', 'jodiertes Meersalz', ""Tomatenpulver Kochsalzersatz'"", 'Kräuter', 'Majoran', 'Thymian', ' Hefeextrakt,Zwiebelsaftkonzentrat', 'Kümmel', ' Sonnenbiumenöl', 'Petersilienwurzel gewonnen aus natürlichen Kaliummineralien Kann Spuren won Gluten', 'Milch,EL', ' Sellerie und Senfenthalten']",['Non végétalien'],?,,83,,?,,?,,?,,,,,,,,,347 kj(83 kcal),,,,,maxi pack 5portionen,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
410,Carré frais,8414341000636,,,,['France'],[],[],?,,193,,15,,"2,5",,12,,,,,,,,,808 kj(193 kcal),11,"2,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Comté Bio Village,2860350025126,D,['Bio Village'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],?,,410,+3%,34,+4%,"0,5",+8%,26,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1715 kj(410 kcal),22,"0,5","0,8","0,32",,34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,+4%,+1%,+80%,-18%,-18%,13,-3%,D,-3%,,,,"['Bio', 'AOP']",['Leclerc'],,,,,,,,,
412,Shoyu - Vajra,5425006849043,B,['Vajra'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['France'],[],[],?,,62,-44%,"0,1",-19%,"6,2",-65%,"8,8",+37%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,259 kj(62 kcal),0,0,12,"4,8",,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,-43%,-100%,-100%,0%,0%,5,-55%,C,-55%,,,,,,,,,,,,,,
413,Bisque de langoustine aux algues,3501890004637,,,"['Produits de la mer', 'Bisques de Langoustines']",['France'],[],[],?,,63,+29%,"0,6",-73%,1,-44%,"1,4",-57%,,,,,,,,264 kj(63 kcal),"0,1","0,1","1,1","0,44",,0.6 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en quantité modérée,+29%,-86%,-86%,+25%,+25%,4,+120%,C,+120%,,,,,,,,,,,,,,
414,Haricot verts extra-fins - Champlat,3493832100388,B,['Champlat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",['France'],[],[],?,,?,,?,,?,,?,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Maquereaux - Imperial,5410363000268,C,['Imperial'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],[],[],?,,271,+22%,"21,5",+31%,"0,6",-44%,"18,7",+14%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,1134 kj(271 kcal),"4,8","0,5","0,7","0,28",,21.5 g,en quantité élevée,4.8 g,en quantité modérée,0.5 g,en faible quantité,0.7 g,en quantité modérée,+23%,+30%,-6%,-37%,-37%,5,-20%,C,-20%,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,['MSC-C-51090'],,,,,
416,"Laguiole portions - Sas Charrade 15170 Neussargues - 0,282",2485627032210,,['Sas Charrade 15170 Neussargues'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,"0,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Jalapenos - Melis - 300g,8699073290269,A,['Melis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Poivrons', 'Poivrons au vinaigre', 'Jalapeño']",['France'],[],['Végétarien'],?,,27,-51%,"0,31",-77%,"5,12",+51%,"0,85",-41%,67.3%,0.0%,0.0%,14.4%,14.9%,3.3%,96,113 kj(27 kcal),"0,08","0,47","4,9","1,96",300g,0.31 g,en faible quantité,0.08 g,en faible quantité,0.47 g,en faible quantité,4.9 g,en quantité élevée,-57%,-82%,-57%,+166%,+166%,5,+433%,C,+433%,"['Glass', 'Jar', 'Metal', 'Lid', 'Paper', 'Label']",,,"['Végétarien', 'Halal', 'en:hot']",,,,['Turkey'],['TR-35-K-015278'],,,,,
418,Chocolat noir Vietnam - Le Comptoir de Mathilde,3700961302034,E,['Le Comptoir de Mathilde'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],?,,546,-2%,43,+9%,32,-17%,"7,9",+3%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2284 kj(546 kcal),26,27,"0,01","0,004",,43 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.01 g,en faible quantité,-2%,+13%,-15%,-79%,-79%,21,-1%,E,-1%,,,,,,,,,,,,,,
419,Puree de pommes non sucree - leahy - 650ml,0055369902939,B,['Leahy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']","['Canada', 'France']",[],[],?,,70,+8%,0,-100%,19,+33%,"0,4",+6%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,293 kj(70 kcal),0,15,0,0,650ml,0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,+7%,-100%,+15%,-100%,-100%,-2,,A,,,,,['Sans sucre ajouté'],,,,,,,,,,
420,Fromage blanc fraise - Pâturages - 500g,3250392612078,B,['Pâturages'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages blancs', 'Fromages à la crème']",['France'],"['fromage blanc au lait entier ', 'lait écrémé pasteurisé ', 'Origine: France', 'crème* pasteurisée ', 'Origine: France', 'ferments lactiques*', 'sucre 8%', 'fraise 5%', 'amidon de riz', 'arôme naturel', 'épaississant : pectines', 'jus de citron concentré', ' *dont lait']",['Non végétalien'],?,,119,+14%,"5,3",+68%,"12,2",+7%,"5,8",-11%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,498 kj(119 kcal),"3,5","11,7","0,08","0,032",500g,5.3 g,en quantité modérée,3.5 g,en quantité modérée,11.7 g,en quantité modérée,0.08 g,en faible quantité,+16%,+78%,+12%,-31%,-31%,3,+178%,C,+178%,,['Lait'],4,"['Nutriscore', 'Lait Français', 'Nutriscore C']",,['E440 - Pectines'],,,,,,,,
421,Gélules Végétales - Antioxydant Bio - Curcuma Poivre Noir - jardin bio,3456300005950,,['jardin bio'],,['France'],"['ison de ses propriétés antioxydantes', 'le curcu dans de nombreuses fonctions à la bonne santé des articulations', 'du système immunitaire et du syste Jardin BiO a sélectionné à teneur garantie en curcumine et d es tervient de ie', 'ardiovasculaire', ' xtrait action est potentialisée par le poivre', ' NGREDIENTS: oudres de : curcuma* ', 'rhizome', ' 45,5%', 'poi ', 'graine', ' 11,1% - extrait sec de curcum 22% - gélule végétale ', 'hydrox oir* rhizome', "" propylméthylcellulose issu d'arbre"", "" Ingrédient issu d'agriculture biologique Veggie : convient aux végétariens"", ' Certifié par ECOCERT FR-BIO-01 Agriculture UE/non UE']",['Végétarien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
422,Miel,3760157420027,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,0,0,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,,,
423,Pavés de cerg - Thiriet,3292590868192,,['Thiriet'],,['France'],[],[],?,,112,,"1,2",,0,,25,,,,,,,,,469 kj(112 kcal),"0,5",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,
424,Beurre - 250g,3262470053239,,,,['France'],[],[],?,,746,,82,,"0,6",,"0,6",,,,,,,,,3121 kj(746 kcal),54,"0,6","0,02","0,008",250 g,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['DE BY-70655 EG'],,,,,
425,Cheese Supreme Corn Chips - Doritos,9310015241925,B,['Doritos'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']","['Australie', 'France']","['MAÏS', 'HUILES VÉGÉTALES ', 'SOJA', 'FROMAGE EN POUDRE ', 'LAIT', 'SEL', 'BABEURRE EN POUDRE ', 'LAIT', 'FARINE DE BLÉ', 'CONCENTRÉ DE PROTÉINE DE LACTOSÉRUM ', 'LAIT', 'TOMATE EN POUDRE', 'RENFORCATEURS DE GOUT ', '621', '631', '627', 'OIGNON EN POUDRE', 'LACTOSÉRUM EN POUDRE ', 'LAT', ' AIL EN POUDRE', 'DEXTROSE', 'SUCRE', 'ARÔME NATUREL', 'SEL MINÉRAL ', '39', ' ACIDES ALIMENTAIRES ', 'ACIDE LACTIQUE', 'ACIDE CITRIQUE', 'ÉPICE ', 'POIVRE BLANC', 'COLORANTS ', '110', '150D', 'Contient du gluten', 'Contient du lait ou des produits laitiers Contient du soja ou des produits à base de soja']",['Non végétalien'],?,,513.859985,+6%,26,+15%,"59,8",-1%,"8,1",+26%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,2150 kj(513 kcal),"11,9","2,2","0,19","0,076",,26 g,en quantité élevée,11.9 g,en quantité élevée,2.2 g,en faible quantité,0.19 g,en faible quantité,+6%,+306%,+16%,-84%,-84%,16,+65%,D,+65%,,"['Gluten', 'Lait', 'Soja']",4,,['Woolworths'],"['E270 - Acide lactique', 'E330 - Acide citrique']",,,,,,,,
426,Confits de Canard Cuisse x4 - Secret d'Eleveur - 1350g,3277169701308,E,"[""Secret d'Eleveur""]","['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard']",['France'],"['INGRÉDIENTS: Cuisses de canard gras ', '50%', ' graisse de canard', 'sel']",[],1714,+54%,414,+45%,"36,3",+71%,"0,4",-61%,"21,7",-2%,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,1714 kj(414 kcal),"11,81","0,1","0,62","0,248",1350 g,36.3 g,en quantité élevée,11.8 g,en quantité élevée,0.1 g,en faible quantité,0.62 g,en quantité modérée,+45%,+64%,-62%,-59%,-59%,17,+11%,D,+11%,['Canned'],,,,,,,,,,,,,
427,Croquants soufflés aux Amandes - Maison Vital Ainé,3333040007874,D,['Maison Vital Ainé'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",['France'],[],[],?,,434,-5%,"9,2",-48%,80,+31%,"8,6",+2%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,1816 kj(434 kcal),"0,8",60,"0,1","0,04",,9.2 g,en quantité modérée,0.8 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,-5%,-84%,+64%,-66%,-66%,15,-11%,D,-11%,,,,,,,,,,,,,,
428,Coeurcuma - Boîte de 100g,3290040001182,,['Coeurcuma'],,"['France', 'La Réunion']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,Boîte de 100g,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,
429,Süßkirschen - Golden Fruit,29041817,,['Golden Fruit'],,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,coca cola 33 cl,0062200009207,,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,33 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Soupe celeri-rave & poireaux - Delhaize - 600ml,5400119517232,B,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']","['Belgique', 'France']",[],[],?,,41,0%,"3,1",+79%,"1,8",-61%,"0,8",-14%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,172 kj(41 kcal),"1,6","1,1","0,52","0,208",600ml,3.1 g,en quantité modérée,1.6 g,en quantité modérée,1.1 g,en faible quantité,0.52 g,en quantité modérée,0%,+185%,-43%,-20%,-20%,3,+111%,C,+111%,,,,"['Bio', 'Bio européen', 'GB-ORG-05']",['Delhaize'],,,,,,,,,
432,"Beignets Pommes Décongelés, x4 -",3187670102139,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés', 'Beignets', ""Beignets à l'abricot""]",['France'],[],['Sans huile de palme'],?,,282,-2%,9,-8%,41,-2%,6,+7%,,,,,,,,1180 kj(282 kcal),2,12,"0,7","0,28",,9 g,en quantité modérée,2 g,en quantité modérée,12 g,en quantité modérée,0.7 g,en quantité modérée,-2%,+5%,+3%,+9%,+9%,6,-13%,C,-13%,,,,['en:palm-oil-free'],,,,,,Beignets fourrés à la purée de pomme,,,,
433,Scoubidou mix - Lutti,3116740035015,,['Lutti'],,['France'],[],[],?,,363,,3,,79,,3,,,,,,,,,1519 kj(363 kcal),2,52,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Club jambon et gouda - 250g,5425022722566,,,,['France'],[],[],?,,283,,"15,8",,"22,7",,"11,9",,,,,,,,,1184 kj(283 kcal),"5,3","3,5","0,81","0,324",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Mélange Poulet tandoori - Sainte Lucie - 50g,3162050040768,,['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['France'],"['Epices et plantes aromatiques ', 'piment', 'oignon ', 'sulfites', 'ail ', 'sulfites', 'gingembre', 'sulfites', 'cumin', 'curry ', 'épices ', 'curcuma', 'graine de moutarde', 'coriandre', 'fenugrec,piment', 'cumin', 'farine de ble', 'sel', 'fenouil', 'oignon', 'marjolaine', 'fenouil', 'sucre - lactose', 'sel', 'colorants: betterave poudre ', 'e162', ' - extrait de paprika ', 'e160c', 'maltodextrine', 'anti-oxydant: acide citrique ', 'arômes']",['Non végétalien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,,,,,['Flacon verre'],"['Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,,['Super U'],"['E162 - Rouge de betterave', 'E160c - Extrait de paprika', 'E330 - Acide citrique']",,,"['EMB 60282A', 'Gouvieux (Oise, France)']",,,,,
436,Yaourt brassé sur lit de fruits - Les délices de Charlotte - 4,3760050830039,,['Les délices de Charlotte'],['Yaourt fruits exotiques'],['France'],"['Lait entier', 'sucre', 'protéine de lait', 'préparation de fruit 20% ', 'saccharose', 'eau', ""purée d'ananas 15%"", 'mangue 10%', 'papaye 10%', 'jus de fruit de la passion 20%', 'amidon de maiïs', 'pectine', 'acide citrique', 'arôme', 'sorbate de potasse', 'ferments']",['Non végétalien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,['4 X 125grs'],['Lait'],4,,['Super U'],"['E440 - Pectines', 'E330 - Acide citrique']",['Produit fermier'],['19550 Laval-sur-luzège'],"['FR 19.111.002 CE', 'Laval-sur-Luzège (Corrèze, France)']",,,,,
437,Cantaloupe - Delhaize - 200g,5400112250716,,['Delhaize'],,"['Belgique', 'France']",[],[],?,,40,,"0,2",,"8,2",,"0,8",,,,,,,,,167 kj(40 kcal),"0,1","7,9","0,05","0,02",200 g,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
438,Pure Infusion Green Tea Jasmine Lime - Tao - 330mL,44457877,A,['Tao'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['France'],['thee-infusie'],[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,330 mL,,,,,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,
439,Haut de cuisse de poulet jaune - Maitre Coq,3230890757303,D,['Maitre Coq'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,,,,
440,Wrigley's Orbit Spearmint 7 Streifen Packung,40099637,,"[""Wrigley's""]",,['France'],[],[],?,,170,,0,,"70,9",,0,,,,,,,,,711 kj(170 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Tagliatelle - Santiveri,8009915000282,,['Santiveri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de maïs']","['France', 'Espagne']",[],[],?,,355,0%,"0,95",-27%,"79,12",+2%,"6,45",-5%,,,,,,,,1485 kj(355 kcal),"0,14","0,6","0,03","0,012",,0.95 g,en faible quantité,0.14 g,en faible quantité,0.6 g,en faible quantité,0.03 g,en faible quantité,-0%,-46%,-19%,+39%,+39%,0,,B,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,
442,Galettes pur beurre,3663350072478,,,,['France'],[],[],?,,488,,19,,74,,"4,7",,,,,,,,,2042 kj(488 kcal),13,28,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
443,Ulker Rulokat Wafer Rolls With Hazelnut - 230g,8690504019923,,,,['France'],[],[],?,,499,,24,,63,,"6,8",,,,,,,,,2088 kj(499 kcal),12,42,"0,49","0,196",230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,9 kat tat- Rulokat (Ülker) - 230g,8690504085676,,['Ulker'],['Chocolate rolls'],['France'],"['tozu', 'oltler agi', ' Rakao kuru madde 856-07 ULKER RULOKAT 9 KAT KAT CHOC', ' CRE', ' WAFER']",[],120,,514,,26,,66,,4,,,,,,,,,120 kj(514 kcal),19,41,"0,54","0,216",230 g,26 g,en quantité élevée,19 g,en quantité élevée,41 g,en quantité élevée,0.54 g,en quantité modérée,,,,,,21,,E,,['Cane'],,,,,,,,,,,,,
445,Bruno pasta - Ülker - 235g,8690504066828,,['Ülker'],,['France'],[],[],?,,342,,"8,5",,63,,"3,6",,,,,,,,,1431 kj(342 kcal),4,37,"0,74","0,296",235 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Cumin moulu - La Conquête des Saveurs - 50g,3390126000150,,['La Conquête des Saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cumin', 'Cumin en poudre']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Megachef Prem Oyst Sce - 230g,8857118730365,,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,COLLAGEN EXPRESS GUMMIES ANTI-ÂGE,3770008244962,,,,['France'],[],[],?,,245,,"0,5",,50,,31,,,,,,,,,1025 kj(245 kcal),"0,15","0,5","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Apfel schorle,42368861,,,,['France'],[],[],?,,27,,"0,5",,"6,3",,"0,5",,,,,,,,,113 kj(27 kcal),"0,1","6,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Biscuits aux amandes,3760198326159,,,,['France'],[],[],?,,5,,1,,4,,3,,,,,,,,,21 kj(5 kcal),1,2,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,cancoillotte franc-comtoise - maison raguin - 195g,11523002,C,['maison raguin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",['France'],"['lait écrémé caillé', 'eau', 'beurre', 'vin jaune 5%', 'sel', 'sels de fonte: phosphates de sodium', 'diphosphates', 'triphosphates', 'polyphosphates']",['Non végétalien'],?,,160,+5%,12,+19%,0,-100%,13,-10%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,669 kj(160 kcal),8,0,"1,5","0,6",195g,12 g,en quantité modérée,8 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,+6%,+21%,-100%,+8%,+8%,9,+14%,C,+14%,['Verre'],['Lait'],4,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,,,,,,
452,cuisses de poulet blanc en caissette s/at - Le gaulois,3266980108229,D,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],803,-1%,193,+1%,14,+13%,0,-100%,17,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,803 kj(193 kcal),"4,4",0,"0,19","0,076",,14 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,0.19 g,en faible quantité,+0%,+31%,-100%,-75%,-75%,1,-72%,B,-72%,,,,,,,,,,,,,,
453,Patate douce Noix de Coco et Gingembre - Atelier Potpote - 25cl,3770009761369,C,['Atelier Potpote'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Boissons aux légumes']",['France'],[],[],?,,50,+92%,"0,5",+184%,"8,5",+55%,"0,5",-25%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,209 kj(50 kcal),"0,1","6,7","0,01","0,004",25 cl,0.5 g,en faible quantité,0.1 g,en faible quantité,6.7 g,en quantité élevée,0.01 g,en faible quantité,+88%,+206%,+39%,-97%,-97%,12,,E,,,,,['Bio'],,,,,,,,,,
454,Tonfisk i Vatten - Abba,7311171007013,,['Abba'],,['France'],[],[],?,,118,,1,,0,,26,,,,,,,,,494 kj(118 kcal),"0,3",0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Monoprost - 50g,3400893925850,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,,,,,['Doses'],,,,,,,,,,,,,
456,Hafer Cookie - Rossmann,4305615226675,,"['Rossmann', 'Ener Bio']",['de:Knabbersachen'],['France'],"['Hafervollkornflocken 38%', 'Rohrohrzucker', 'ungehärtetes Palmfett', 'Dinkelmehl Type 1050* Hafervollkornmehl 5%', 'Backtriebmittel ', 'Amonium - bicarbonat', 'Natriumhydrogen - carbonat', 'Meersalz', 'Bourbon - Vanille']",[],?,,494,,"23,8",,"59,8",,"7,7",,,,,,,,,2067 kj(494 kcal),"10,2","22,2","0,38","0,152",,23.8 g,en quantité élevée,10.2 g,en quantité élevée,22.2 g,en quantité élevée,0.38 g,en quantité modérée,,,,,,17,,D,,,['Gluten'],,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,,,,,,,,,
457,Roquette bio - Saint Éloi - 100g,3250392615536,B,['Saint Éloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Roquette']",['France'],[],[],?,,?,,?,,?,,?,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,100g,,,,,,,,,,,,,,,,,,['Sachet plastique'],,,['Bio'],['Intermarché'],,,['France'],,,,,,
