,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
981,Papillotes poulet façon paysanne - Maggi,13785567,,['France'],[],[],?,20,84 kj(20 kcal),19,18,13,5,68,3,"1,2",,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Pave nord jeune,2270610017127,,['France'],[],[],?,369,1544 kj(369 kcal),27,19,"1,5",0,"29,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Dos de lieu noir,2888827011540,['Sans colorants'],['France'],[],[],?,139,582 kj(139 kcal),13,"7,6","5,3","1,1","0,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Tournedos,2203879039296,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Automne,3760201801079,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Boudin noir - Maison Prunier,2477874019687,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",['France'],[],[],?,274,1146 kj(274 kcal),25,9,"2,2","0,7",10,"1,5","0,6",,,['Maison Prunier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Cranberries séchées en moitiés,2600298025198,,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1","0,01","0,004",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",0.5 g,en faible quantité,0.5 g,en faible quantité,65 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+5%,-29%,+102%,+5%,-2%,-64%,-56%,-56%,9,+25%,C,+25%,,,,,,,,,,,,,,,,,,,
988,Sel gros iodé,1180010000005,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Banana,2804490008991,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Croquant aux amandes,3488433100790,,['France'],[],[],?,453,1895 kj(453 kcal),"15,1","1,4","66,1","35,3","11,6","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Moka café molido tueste natural - Carioca,8410625000026,,['France'],[],[],?,384,1607 kj(384 kcal),"9,4","4,3",68,"0,9","17,6",0,0,,,['Carioca'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Languly,4901050119963,,['France'],[],[],?,58,243 kj(58 kcal),"3,1",0,"6,7","6,7","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,gouda holland au cumin IGP,2488016012992,,['France'],[],[],?,376,1573 kj(376 kcal),"30,8","21,4",0,0,"23,8","1,7","0,68",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.8 g,en quantité élevée,21.4 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+1%,+1%,0%,+2%,-100%,-100%,+0%,-7%,-7%,16,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
994,Tortilla de patata con cebolla,8437007140866,,['France'],[],[],?,136,569 kj(136 kcal),"8,6","1,3",10,1,"3,2","1,06","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,From. past. brebis etorki 33%MG,0201657039294,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Vin rouge Ventoux,3257981934702,,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 34268C', 'Saint-Jean-de-la-Blaquière (Hérault, France)']",D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,
997,Merlot,3760119560976,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Beemster de chevre,2852657035687,,['France'],[],[],?,398,1665 kj(398 kcal),32,"21,4",0,0,"27,6",2,"0,8","['FR 59.343.030 CE', 'Lesquin (Nord, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,2304901002476,2304901002476,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Ananas entier,2416346033134,,['France'],[],[],?,54,226 kj(54 kcal),"0,24","0,01","11,3","10,1","0,52",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Flaca Merlot,5060593490089,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Gros Sel Ile De Ré En Moulin 75g,3162050049990,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Epicerie', 'Condiments', 'Sels', 'Gros sels', ""Gros Sel de l'Ile de Ré"", ""Sel de l'Ile de Ré""]",,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,
1003,Andouille de Vire,2408393063301,,['France'],[],[],?,259,1084 kj(259 kcal),"17,4","9,06",0,0,"23,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,L'ariegeois croûte noire,0209427012997,,['France'],[],[],?,343,1435 kj(343 kcal),27,19,"3,5",0,22,11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Chou blanc,3413930077016,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Jus d'Orange sans pulpe - Tropicana,3168930155621,,['France'],[],[],?,43,180 kj(43 kcal),0,0,"8,9","8,9",0,0,0,,D,['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sans pulpe""]",0 g,en faible quantité,0 g,en faible quantité,8.9 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-100%,-100%,-6%,-1%,-100%,-100%,-100%,2,-29%,C,-29%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1007,Master Hee ´s roasted laver snack with shrimps,8809270660134,['Halal'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Chinotto,8009139000990,,['France'],[],[],?,37,155 kj(37 kcal),0,0,10,10,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Palmito,59538585,,['France'],[],[],?,547,2289 kj(547 kcal),31,16,59,18,"6,3","1,61","0,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Chouquettes X30,2002001000513,,['France'],[],[],?,270,1130 kj(270 kcal),13,"8,7",32,16,"6,2","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,0255053007548,0255053007548,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Saint Nectaire fermier,0202273028808,,['France'],[],[],?,340,1423 kj(340 kcal),28,20,1,0,22,"1,2","0,48",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire fermier']",28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,+3%,+3%,-2%,+2%,-5%,-100%,+1%,+3%,+3%,14,+4%,D,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1013,Pain complet tranche,0206012007819,,['France'],[],[],?,259,1084 kj(259 kcal),"1,6","0,4",45,1,12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Morgon,3760011908371,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Lomo seche au piment d'espelette,2245777087375,,['France'],[],[],?,211,883 kj(211 kcal),"9,9","4,1",1,"0,4",30,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Corazones De Alcachofa Primera,8421251883662,,['France'],[],[],?,33,138 kj(33 kcal),"0,3",0,"3,5",1,"3,2",1,"0,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",0.3 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-34%,-33%,-83%,-100%,-23%,-18%,+84%,+16%,+16%,-2,,A,,,,,,,,,,,,,,,,,,,,
1017,Rillettes de saumon fumé - La Luzacaise - 90g,3380790001126,['IGP'],['France'],"['Saumon ', 'dont 27 % de saumon fumé', ' ', 'poisson', 'crème ', 'lait', 'chair de poisson', 'lait', 'farine de blé', 'protéines de lait', 'oignon', 'sel de Guérande IGP 0', '5 %', 'gélifiant: carraghénane', 'ail', 'fleur de sel 0', '1 %', 'poivre', ' Peut contenir des traces de crustacé', 'de mollusque', 'de sulfites', ""de céleri et d'œuf""]","['Non végétalien', 'Non végétarien']",?,209,874 kj(209 kcal),16,"8,5","1,2","1,2",14,"1,6","0,64","['FR 44.079.002 CE', 'Landreau (Loire-Atlantique, France)']",E,['La Luzacaise'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",16 g,en quantité modérée,8.5 g,en quantité élevée,1.2 g,en faible quantité,1.6 g,en quantité élevée,,-5%,-5%,-7%,+76%,-46%,+32%,+4%,+40%,+40%,17,+93%,D,+93%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,90 g,,,"['Poisson', 'Gluten', 'Lait']",4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,
1018,Prune - Pfanner,9006900211592,,['France'],[],[],?,53,222 kj(53 kcal),"0,5","0,1",13,12,"0,01","0,1","0,04",,,['Pfanner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Vinaigre estragon,3325840285354,['Fabriqué en France'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Huile d' Olive vierge extra - Bio Village,3564707444460,['Bio'],['France'],[],[],?,819,3427 kj(819 kcal),91,16,0,0,0,0,0,,D,['Bio Village'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",91 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,+17%,,,,,,7,+15%,C,+15%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,['Leclerc'],,,,,,,,,
1021,Kouign Amann,3413900002864,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,456,1908 kj(456 kcal),"27,8","19,5","48,2","18,1","4,3","0,9","0,36",,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",27.8 g,en quantité élevée,19.5 g,en quantité élevée,18.1 g,en quantité élevée,0.9 g,en quantité modérée,,+2%,+1%,+10%,+18%,-8%,-33%,+8%,+12%,+12%,22,-5%,E,-5%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,,,
1022,Topping oréo,3700114523057,,['France'],[],[],?,442,1849 kj(442 kcal),14,"1,6",70,27,"7,3","1,04","0,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Nids Tempura crevettes et de légumes,0061386004815,,['France'],[],[],?,236,987 kj(236 kcal),"13,24","4,28","20,23","9,32","8,09","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,3612645752014,3612645752014,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Poulet roti et avocat,821000720830045000360,,['France'],[],[],?,206,862 kj(206 kcal),"7,1",1,23,"2,3","11,2","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Crepes maison INTERMARCHÉ,0260980014767,,['France'],[],[],?,335,1402 kj(335 kcal),"8,07","4,8","55,3",6,"9,2","7,25","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Saucisson à l'ail superieur bio,2231797034963,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-13', 'Viande Porcine Française', ""Saucisson à l'ail""]",['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,,,,,,,,,,,,,,,,,,,,,,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,,,
1028,Mijoté d'oie aux châtaignes - Vidal,3700233313058,,['France'],[],[],?,161,674 kj(161 kcal),12,"4,1","4,6","2,1","8,7","0,62","0,248",,,['Vidal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Whey Nature,3760222092500,"['Bio', 'en:gluten-free']",['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,L'originel Colomar,3301219441712,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Hemp oil,7968263781490,,['France'],[],[],?,9,38 kj(9 kcal),"0,9",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Sachet caneles - 1kg,14529597,,['France'],[],[],?,291,1218 kj(291 kcal),"2,8",2,63,44,"3,6","0,15","0,06",,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Canelés']",2.8 g,en faible quantité,2 g,en quantité modérée,44 g,en quantité élevée,0.15 g,en faible quantité,,+2%,+2%,-1%,+57%,+6%,+5%,-18%,+20%,+20%,13,+3%,D,+3%,70.8%,15.1%,6.9%,3.5%,3.7%,0.0%,81,1 kg,,,,,,,,,,,
1033,Sopa De Ave Con Fideos Deshidratada,8480000080141,,"['France', 'Espagne']",[],[],?,335,1402 kj(335 kcal),"6,6","3,7",52,"4,8","15,4",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Producto'],,,,,,,,,,
1034,Torsades complètes - Greenweez - 500g,3701269700270,"['Bio', 'Agriculture UE', 'Point Vert']",['France'],[],[],?,350,1464 kj(350 kcal),"2,5","0,5",66,"3,7","12,5","0,01","0,004",,C,['Greenweez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']",2.5 g,en faible quantité,0.5 g,en faible quantité,3.7 g,en faible quantité,0.01 g,en faible quantité,,-1%,-1%,+28%,+20%,-3%,+33%,+2%,-62%,-62%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,,,,,,,,,,,
1035,Saint-Nectaire,2444531049981,,['France'],[],[],?,332,1389 kj(332 kcal),27,18,"1,1",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Le xivs - Nestlé,3661075113896,,['France'],[],[],?,?,,?,,?,,?,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Jambon sec de pays - 4 tranches épaisses -  - 200g,3346380007060,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,222,929 kj(222 kcal),"11,3","4,4","0,4","0,1",30,"2,4","0,96",,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",11.3 g,en quantité modérée,4.4 g,en quantité modérée,0.1 g,en faible quantité,2.4 g,en quantité élevée,,-8%,-7%,-16%,-15%,-38%,-77%,+4%,-51%,-51%,16,-6%,D,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,200 g,,,,,,,,,,,
1038,Poulet valee d'auge - Saveur d'Auge - 350g,3454740006070,,['France'],[],[],449,107,449 kj(107 kcal),"5,7","2,8",3,"1,2",11,"0,77","0,308",,D,"[""Saveur d'Auge""]","['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet', 'Poulet valee']",5.7 g,en quantité modérée,2.8 g,en quantité modérée,1.2 g,en faible quantité,0.77 g,en quantité modérée,-43%,-40%,-40%,-39%,+8%,+114%,+82%,-43%,-15%,-15%,1,-70%,B,-70%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,350 g,['Glass'],,,,,,,,,,
1039,Filet mignon de porc - Lidl,2277680007393,,['France'],[],[],?,493,2063 kj(493 kcal),"3,6","1,4","0,5","0,5",21,"0,16","0,064","['FR 42.305.004 CE', 'Talaudière (Loire, France)']",,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Vida Organica,7791728002324,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Pain chapatta,40106533,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Escalopes à la milanaise,2860241021718,,['France'],[],[],?,122,510 kj(122 kcal),"0,7","0,2","6,3","2,3","22,7","0,78","0,312",,D,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",0.7 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,0.78 g,en quantité modérée,,-8%,-7%,-55%,-62%,-8%,+25%,+7%,-14%,-14%,-1,-246%,A,-246%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,,,
1043,Tarta infantil 8R,8480000875143,,['France'],[],[],?,301,1259 kj(301 kcal),10,"6,3",47,27,"3,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Escalope Extra-Fine de dinde,2614156031092,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,108,452 kj(108 kcal),"1,3","0,4",0,0,24,"0,15","0,06",,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-11%,-10%,-2%,-1%,-100%,-100%,+5%,-73%,-73%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
1045,Farine Borsa T55,3398240206557,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Smoothie aux fruits - Ulti,3331935000184,,['France'],[],[],?,64,268 kj(64 kcal),"0,2",0,"14,2","12,6","0,8","0,005","0,002",,,['Ulti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Poitrine sales fumee,0242321019747,,['France'],[],[],?,325,1360 kj(325 kcal),29,13,1,1,14,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Grillhaxe - 1400g,4059699072429,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 g,,,,,,,,,,,
1049,Chicken Tandoori - Eismann - 250g,4059699070401,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,['Eismann'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,['Portion'],,,,,,,,,,
1050,Duo de Riz de Camargue IGP - Franprix Bio,3263859645816,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,346,1448 kj(346 kcal),"1,7","0,3",74,"0,5","7,5",0,0,,B,"['Franprix Bio', 'Franprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue', 'Mélanges de riz']",1.7 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+5%,+3%,+14%,-8%,+7%,-13%,-1%,-100%,-100%,-3,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,['Franprix'],,,,,,,,,
1051,Kopenhagen-Eis - 1565g,4059699003508,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,,,,,,,,,,,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,1565 g,['Produkt'],,,,,,,,,,
1052,Original Bayerischer Mini-Leberkäse - 750g,4059699000989,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,,,
1053,Marvel,5026418091572,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Banane,2184435001530,"['Commerce équitable', 'Max Havelaar']",['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
1055,Sonnenblumenkern - 280g,4059699002686,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 g,,,,,,,,,,,
1056,Comfiture extra Mirabelles de Lorraine,3760118052953,,['France'],[],[],?,191,799 kj(191 kcal),0,0,47,47,0,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Pommes de terre Charlotte,5410884300021,,['France'],[],[],?,85,356 kj(85 kcal),"0,1",0,19,0,2,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Tarte framboise façon crumble,2685217014996,,['France'],[],[],?,451,1887 kj(451 kcal),"28,2","16,9","34,3","13,8","5,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Auguillettes poulet fermier - Monoprix Bio,0200310027814,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,['Monoprix Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,
1060,Elisen,4003160030494,,['France'],[],[],?,465,1946 kj(465 kcal),"23,3",6,"53,1","35,3","9,8","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Mini beignets chocolat noisette,0202901021973,,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Pruneaux Secs - 500g,3760219062516,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
1063,Pâtés lorrains,3477525330450,,['France'],[],[],?,229,958 kj(229 kcal),"11,44","6,82","20,72","1,04","10,48","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Bande flan coco,2836697019029,,['France'],[],[],?,201,841 kj(201 kcal),"8,5","5,9",27,16,"3,7","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Riesling,3198129282739,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Espárragos cojonudos pa'ti,8436019810231,,['France'],[],[],?,27,113 kj(27 kcal),"0,6",0,"2,5","1,1","2,1","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Limsa Hierbas Mezcladas Mix Von Limsa Merken,8412397001188,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,ESCALOPE EXTRA FINE DE POULET FERMIER BIO,0227645041339,"['Bio', 'Bio européen']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
