,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
1934,Pringles texas BBQ sauce,5050083943683,['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['France'],"['DRIED POTATOES,\rVEGETABLE OIL ', 'CORN', 'COTTONSEED', 'HIGH OLEIC SOYBEAN', 'AND/OR SUNFLOWER OIL', ',\rDEGERMINATED YELLOW CORN FLOUR,\rCORNSTARCH,\rRICE FLOUR,\rMALTODEXTRIN,\rSUGAR,\rMONO - AND DIGLYCERIDES,\rCONTAINS 2% OR LESS OF SALT', '\rTOMATO POWDER', '\rMONOSODIUM GLUTAMATE,\rCITRIC ACID', '\rONION POWDER,\rSPICE,\rGARLIC POWDER', '\rYEAST EXTRACT', '\rHYDROLYZED CORN PROTEIN', '\rMALTED BARLEY FLOUR', '\rMALIC ACID,\rDISODIUM INOSINATE', '\rDISODIUM GUANYLATE,\rPAPRIKA EXTRACT COLOR \rNATURAL FLAVORS\rWHEY', '\rWHEAT STARCH']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']",,['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,31 g,en quantité élevée,3.4 g,en quantité modérée,4.6 g,en faible quantité,1.7 g,en quantité élevée,?,,503,-1%,2105 kj(503 kcal),-1%,31,+5%,"3,4",+1%,52,-6%,"4,6",+33%,"4,2",-5%,"1,7",+13%,"0,68",+13%,17,+27%,D,+27%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['en:Verified'],,,,,,,,,,
1935,Piselli - Panettone Con Frutti Rossi - 100G,8005505009727,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],,,,[],,15.5 g,en quantité modérée,9.1 g,en quantité élevée,23.9 g,en quantité élevée,0.36 g,en quantité modérée,?,,386,+3%,1615 kj(386 kcal),+4%,"15,5",+3%,"9,1",+1%,"53,9",+5%,"23,9",-8%,"6,9",+1%,"0,36",-18%,"0,144",-18%,19,+2%,E,+2%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
1936,Vegan protein blend - MyProtein,5055534368039,['MyProtein'],,['France'],[],,,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,320,,1339 kj(320 kcal),,"0,9",,0,,"3,3",,"0,1",,73,,"2,2",,"0,88",,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
1937,Extra Virgin olive oil houmous - Co Op,5000128583954,['Co Op'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],,,,"['Végétalien', 'Végétarien']",,28 g,en quantité élevée,3.2 g,en quantité modérée,1.1 g,en faible quantité,0.94 g,en quantité modérée,?,,321,+22%,1343 kj(321 kcal),+22%,28,+39%,"3,2",+30%,"7,4",-30%,"1,1",-18%,"6,3",-3%,"0,94",-10%,"0,376",-10%,11,+120%,D,+120%,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,"['Végétarien', 'Végétalien']",,,,,,,,,,
1938,2 garlic baguettes - Tesco,5054402358509,['Tesco'],,['France'],"['wheat flour [wheat flour', 'calcium carbonate', ""i'on"", 'niacin', 'thiamin]', 'garlic and parsley filling ', '22%', ' [butter ', 'milk', 'margarine [rapeseed oil', 'palm oil', 'water', 'emulsfier ', 'mono - and di-giycerides of fatty acids', 'vitamin a', 'vitamin d', 'flavouring', 'colour ', 'beta-carotene', ']', 'garlic', 'garlic purée', 'parsley', 'salt', 'concentrated lemon juicel', 'water', 'rye flour', 'salt', 'yeast', 'wheat fibre', 'flour treatment agent ', 'ascorbic acid', ',']","['E570 - Acide stéarique', 'E160ai - Bêta-carotène', 'E300 - Acide ascorbique']",,"['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,361,,1510 kj(361 kcal),,"16,4",,"9,3",,"43,9",,"3,8",,8,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1939,Escalope de Dinde extra fine,0209278021452,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,,
1940,Lança's port,5601292171352,,,['France'],[],,,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1941,Huile Vierge de Coco - Jardin Bio,3760020818425,"['Jardin Bio', 'Léa Nature']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",['France'],[],,,,"['Végétalien', 'Végétarien']",,99.8 g,en quantité élevée,90.4 g,en quantité élevée,0.01 g,en faible quantité,0.01 g,en faible quantité,?,,898,+4%,3757 kj(898 kcal),+4%,"99,8",+2%,"90,4",+6%,"0,01",-30%,"0,01",+545%,"0,01",-30%,"0,01",+541%,"0,004",+541%,20,+2%,E,+2%,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,"['Bocal', 'Verre']",,,,,,,,
1942,Poivre noir - Delhaize - 50g,5400113548652,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs']","['Belgique', 'France']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,50 g,,['Delhaize'],,,,,,,,,
1943,Haché de Veau - Carrefour Bio,3245415701891,"['Carrefour Bio', 'Carrefour']",,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],['Carrefour'],,,,,,,,,
1944,Studenten Haver - Albert Heijn,8718265775473,['Albert Heijn'],,['France'],[],,,,[],,,,,,,,,,?,,540,,2259 kj(540 kcal),,39,,6,,34,,25,,11,,0,,0,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
1945,Crotin de chèvre - grand frais - 2,3589110392153,['grand frais'],,['France'],[],,,,[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,25,,18,,"2,5",,1,,18,,"1,5",,"0,6",,,,,,,,,,,,,,2,,,,,,,,,,,
1946,Gratin de polenta savoyard - Tipiak,3282740223810,['Tipiak'],,['France'],[],,,,[],,,,,,,,,,?,,160,,669 kj(160 kcal),,8,,"4,4",,"17,3",,1,,"4,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
1947,Mini Junior 800GR,3182550792929,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,Domaine des coccinelles,3393823310010,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,MAHONAY assorted mini,7616500665194,,,['France'],[],,,,[],,,,,,,,,,?,,545,,2280 kj(545 kcal),,33,,19,,54,,53,,"6,2",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
1950,le plaisir et la cuisine - leader price - 500ml,18187793,['leader price'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500ml,,['Leader Price'],,,,,,,,,
1951,Huile de noix - Moulin Méjane - 25cl,3760048700436,['Moulin Méjane'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",['France'],[],,,,[],,100 g,en quantité élevée,9.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+2%,3766 kj(900 kcal),+3%,100,+2%,"9,1",-3%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,5,-7%,C,-7%,D,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,25 cl,,,,,,,,,,,
1952,Pilons de poulet - La Nouvelle Agriculture,0213328020012,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['France'],[],,,,[],,6.9 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.25 g,en faible quantité,?,,134,-25%,561 kj(134 kcal),-25%,"6,9",-26%,"1,8",-31%,0,-100%,0,-100%,18,-7%,"0,25",-72%,"0,1",-72%,-2,-159%,A,-159%,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
