,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
1045,Filets de poulet rôti - Le Gaulois,2431628033459,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['FILES DE POULET AVEC PEAU CUITS TRAITÉS EN SALAISON', "" Ingrédients'"", ' Filets de poulet avec peau origine France', 'eau', 'sel', 'huile tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pll', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 gde filets de poulet mis en œuvre pour 100 sde ocodult']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,5",+4%,"0,5",+106%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1046,Filet de poulet Roti - Le Gaulois,2431628033527,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1047,Filets de poulet Roti - Le Gaulois,2431628033657,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1048,"Filets de poulet roti - Le Gaulois - 0,278kg",2431628033725,"0,278 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1049,Filets de poulet rôti - Le Gaulois,2431628033787,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1050,Filets de poulet roti - Le Gaulois,2431628033916,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,1.4 g,en faible quantité,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"1,4",-51%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1051,Filets de poulet rôti - Le Gaulois,2431628034111,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],"['Filets de poulet avec peau origine eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de bl\\protéines de pois', 'fibres de carotte', 'épaississant : de 109 g de filets de poulet mis en ?uvre pour 100 9']",,,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1052,Filets de Poulet Rôti - Le Gaulois,2431628034241,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],['/uou Flnod op'],,,[],,6.1 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,0.54 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"6,1",+112%,"1,6",+114%,"0,6",+25%,"0,5",+106%,23,+1%,"0,54",-28%,"0,216",-28%,-1,,A,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1053,Filets de Poulet Rôti - Le Gaulois,2431628034371,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1054,Filet de poulet rôti - Le Gaulois,2431628034708,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1055,Filets de Poulet - Le Gaulois,2431628034838,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huilede tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pots', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 9 de filets de poulet mis en ?uvre pour 100 g de produit fini', ' dont']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,8",+67%,"0,6",+147%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1056,Filets de poulet rôti - Le Gaulois,2431628034968,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1057,Filets de poulet rôti - Le Gaulois,2431628035033,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1058,Filets de Poulet Rotis - Le Gaulois,2431628035095,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,152,+16%,636 kj(152 kcal),+17%,"5,8",+101%,"1,4",+88%,"0,5",+4%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1059,Filets de poulet roti - Le Gaulois,2431628035163,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois ', 'fibre de carotte', 'épaississant : carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1060,Filet de poulet - Le Gaulois,2431628035293,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1061,Filet de poulet roti - Le Gaulois,2431628035491,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1062,Poulet - Le Gaulois,2431628035552,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,0%,632 kj(151 kcal),+0%,"5,8",-0%,"1,4",-7%,0,-100%,0,-100%,24,+18%,"1,4",+63%,"0,56",+63%,3,+113%,C,+113%,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1063,Filet de poulet roti - Le Gaulois,2431628035682,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,1,+109%,1,+312%,24,+5%,"1,4",+87%,"0,56",+87%,2,,B,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1064,Filets de poulet roti - Le Gaulois,2431628035828,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1065,"Filet de pouket roti - Le Gaulois - 0,316kg",2431628035880,"0,316 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1066,Filets de Poulet Rôti - Le Gaulois,2431628035958,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.12 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,44",-8%,"0,12",-51%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1067,Filets de poulet rôti - Le Gaulois,2431628036146,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1068,Filets de poulet rôti - Le Gaulois - 0.304kg,2431628036214,0.304 kg,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1069,"Filets poulet rôti - Le Gaulois - 0,299kg",2431628036276,"0,299 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1070,Filets de poulet roti - Le Gaulois,2431628036412,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1071,Filets de poulet rôti - Le Gaulois,2431628036672,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 g filets de poulet mis en œuvre pour 100 g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1072,Filets de poulet roti - Le Gaulois,2431628036863,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1073,Filet de poulet rôti - Le Gaulois,2431628036931,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé,protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 g de filets de poulet mis en oeuvre pour 100 g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1074,"Filet de poulet roti - Le Gaulois - 0,260kg",2431628037136,"0,260 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.44 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,44",+92%,"0,576",+92%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1075,"Filets de poulet rôti - Le Gaulois - 0,294kg",2431628038379,"0,294 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1076,Filets de poulet rôti - Le Gaulois - 0.306kg,2431628038447,0.306 kg,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1077,"Filet de poulet le Gaulois - 0,270kg",2431628038508,"0,270 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,1,+109%,1,+312%,27,+18%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1078,Filets de poulet roti - Le Gaulois,2431628038577,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1079,Filet de poulet rôti - Le Gaulois,2431628039109,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"[""' Filets de poulet avec peau origine France"", 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghenanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1080,Filets de poulet rôti - Le Gaulois,2431628039291,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,1,+109%,1,+312%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1081,Filets de poulet rôti - Le Gaulois,2431628041522,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1082,Filets de poulet rôti - Le Gaulois,2431628041652,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1083,"Filet de poulet roti - Le Gaulois - 0,280kg",2431628041980,"0,280 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.44 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,44",+92%,"0,576",+92%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1084,"Filet de poulet rôti - Le Gaulois - 0,290kg",2431628043427,"0,290 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,5",+4%,"0,5",+106%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1085,Escalope de dinde extra tendre - Le Gaulois,2431638016336,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,['France'],"['Escalopes de dinde 92%', 'eau', 'sel', ""extraits d'épices"", 'dextrose de blé', 'extrait de levure', 'arômes naturels', 'acidifiant ', 'acétate de sodium', 'antioxydant ', 'ascorbate de sodium']","['E262i - Acétate de sodium', 'E301 - Ascorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,97,-20%,406 kj(97 kcal),-19%,"0,5",-62%,"0,5",+24%,1,-67%,"0,5",-35%,23,+0%,"1,1",+99%,"0,44",+99%,0,,B,,,,,D,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,
1086,Escalope de dinde - Le gaulois,2431638017197,,,['Le gaulois'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,['France'],"['Escalopes de dinde matinées', ' Ingrédients ', 'à la mise en œuvre', ' : Escalopes de dinde origine France : 92%', 'eau', 'sel', ""extraits d'épices"", 'dextrose de blé', 'extrait de levure', 'arômes naturels', 'acidifiant : acétate de sodium', 'antioxydant : ascorbate de sodium']","['E262i - Acétate de sodium', 'E301 - Ascorbate de sodium']",,[],4,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,?,,197,+63%,824 kj(197 kcal),+63%,1,-24%,1,+148%,1,-67%,1,+31%,23,+0%,"1,1",+99%,"0,44",+99%,1,,B,,,,,D,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,
