,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
693,Madeleine choco pepites - Bijou,03850565,B,,['Bijou'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],[],[],,6.3 g,en quantité modérée,1.3 g,en faible quantité,8 g,en quantité modérée,0.16 g,en faible quantité,?,,119,-73%,498 kj(119 kcal),-73%,"6,3",-72%,"1,3",-81%,"13,8",-74%,8,-71%,"1,5",-74%,"0,16",-80%,"0,064",-80%,3,-84%,C,-84%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,
694,Jambon Emmental,3496100004289,,,,,,['France'],[],[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,"12,2",,4,,"24,4",,2,,"13,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
695,Rituals the Ritual of Anahata Indian Chai Tea,8719134001822,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Cheez it,0024100794829,B,,,"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits apéritifs']",,"['France', 'États-Unis']","['Whole wheat flour', 'enriched flour ', 'wheat flour', 'niacin', 'reduced iron', 'vitamin b1 [thiamin mononitrate]', 'vitamin b2 [riboflavin]', 'folic acid', 'white cheddar cheese ', 'milk', 'cheese cultures', 'salt', 'enzymes', 'soybean oil with tbhq for freshness', 'contains two percent or less of salt', 'calcium carbonate', 'paprika', 'yeast', 'paprika oleoresin for color', 'turmeric extract for color', 'annatto extract for color', 'bht for freshness', 'vitamin a palmitate', 'soy lecithin']",['Non végétalien'],3,16.7 g,en quantité modérée,4.76 g,en quantité modérée,0 g,en faible quantité,1.79 g,en quantité élevée,?,,476,+3%,1992 kj(476 kcal),+2%,"16,67",-16%,"4,76",-12%,"66,67",+12%,0,-100%,"9,52",-4%,"1,795",-10%,"0,718",-10%,11,-29%,D,-29%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']","Sunshine Biscuits, Inc.",,,,,,,
697,Coffr Sardines Marinées Au Muscadet Et Aux Aromates - La belle-iloise,3660088138209,,,['La belle-iloise'],,,['France'],[],[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"8,4",,"2,64",,"0,2",,"0,2",,"17,5",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
698,Wudy light  saucisse,8008110559397,,,,,,['France'],[],[],,,,,,,,,,?,,168,,703 kj(168 kcal),,"9,4",,"2,9",,"3,9",,"1,6",,15,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,
699,Yaourt arôme vanille - Fromagerie Maurice - 500g (4x125g),3760207003095,,500 g (4x125g),['Fromagerie Maurice'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",,['France'],"['Lait entier pasteurisé', 'sucre 7 %', 'poudre de lait 2 %', 'arômes naturels de vanille', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,,,,
700,Algues DULSE,3359626203027,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,113,,473 kj(113 kcal),,"0,16",,0,,"2,7",,0,,"2,1",,"0,198",,"0,079",,,,,,,,,,,,,,,"['EMB 29239E', 'Roscoff (Finistère, France)']",,,,,,,,,,
701,tchaé gunpowder green tea lipton,3228881034731,B,,"['Lipton', 'Unilever']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
702,chocolat a la banane - Jaques,5410059756226,E,,['Jaques'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']",['Pur beurre de cacao'],"['Belgique', 'France']","['Sucre', 'pâte de cacao', 'beurre de cacao', 'sirop de glucose', 'inverti en sirop', 'dextrose', 'bananes déshydratées 0,7 %', 'émulsifiant: lécithines de soja', 'arôme', 'colorant: extrait de curcumine', ' sucre']",[],4,18.4 g,en quantité modérée,11.5 g,en quantité élevée,63 g,en quantité élevée,0.01 g,en faible quantité,?,,445,-16%,1862 kj(445 kcal),-15%,"18,4",-44%,"11,5",-37%,"64,5",+31%,63,+44%,"2,8",-50%,"0,01",-83%,"0,004",-83%,25,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,['E322i - Lécithine'],['Soja'],,,['Delhaize'],Chocolat noir fondant avec 46% de fourrage à la banane. - Chocolat Noir Banane,,,,
703,Tierno de Vaca - Entrepinares,2350171002050,D,,['Entrepinares'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache']","['en:gluten-free', 'Sans colorants']","['France', 'Espagne']",[],[],,29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,349,+3%,1460 kj(349 kcal),+4%,29,+7%,20,+8%,1,+29%,"0,5",+16%,21,-5%,"1,4",0%,"0,56",0%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
704,Madeleinettes coquilles - Auchan,3596710458790,,,['Auchan'],,['Fabriqué en France'],['France'],[],[],,,,,,,,,,?,,442,,1849 kj(442 kcal),,22,,2,,55,,29,,"5,7",,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
705,Creme dessert vanille - Auchan Bio - 380g (4x95g),3596710457847,B,380 g (4x95g),"['Auchan Bio', 'Auchan']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Nutriscore', 'Nutriscore C', 'en:Lait-francais-french-milk']",['France'],"['Lait entier* 72,6%', 'crème* ', 'lait', ' 11,5% ', 'sucre de canne*', 'amidon de riz', 'poudre de lait écrémé', 'arôme naturel de vanille', 'concentré de carotte', 'concentré de pomme* épaississant carraghénanes ', "" correcteur d'acidité: citrates de sodium"", '* biologiques']",['Non végétalien'],4,6 g,en quantité modérée,3.9 g,en quantité modérée,15 g,en quantité élevée,0.1 g,en faible quantité,?,,139,+22%,582 kj(139 kcal),+21%,6,+69%,"3,9",+77%,18,+3%,15,+6%,"3,2",+11%,"0,1",-31%,"0,04",-31%,6,+44%,C,+44%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,,,"['FR 76.329.001 CE', 'Gruchet-le-Valasse (Seine-Maritime, France)']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],,,['Auchan'],,,,,
706,Navet,3700542800157,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Fabbri Baba In Rhum,80672265,,,,,,['France'],[],[],,,,,,,,,,?,,284,,1188 kj(284 kcal),,"1,5",,"0,9",,55,,40,,1,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,
708,Superstix,4800092110542,,,,,,['France'],[],[],,,,,,,,,,?,,150,,628 kj(150 kcal),,16,,"5,5",,"76,5",,"43,7",,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
709,Véritable saucisson sec savoir,3375220502007,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,['France'],[],[],,29.5 g,en quantité élevée,11 g,en quantité élevée,2 g,en faible quantité,5 g,en quantité élevée,?,,408,+1%,1707 kj(408 kcal),+1%,"29,5",-7%,11,-11%,4,+79%,2,+46%,26,-6%,5,+7%,2,+7%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,
710,Activia Espelta Coco Cacao x4 - Danone - 480g (120g x 4),5601050034950,,480 g (120 g x 4),['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']",,"['France', 'Espagne']",[],[],,4 g,en quantité modérée,2.4 g,en quantité modérée,10.6 g,en quantité modérée,0.13 g,en faible quantité,?,,106,+29%,444 kj(106 kcal),+28%,4,+40%,"2,4",+30%,"11,9",+14%,"10,6",+5%,"3,9",+5%,"0,13",+6%,"0,052",+6%,2,+31%,B,+31%,,,,,,,,,,,,,,,,,,,,
711,Thé vert organique avec du matcha,4903011200208,,,,,['Agriculture non UE'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,4 Muffins au chocolat - 0.300kg,2644797019616,,0.300 kg,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Ail blanc -,3061431103941,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,
714,Galetta tostada - gourmet,8413080004240,,,['Gourmet'],['es:Galletas-tostadas'],,"['France', 'Espagne']",[],[],,8.3 g,en quantité modérée,0.9 g,en faible quantité,21 g,en quantité élevée,0.95 g,en quantité modérée,?,,424,,1774 kj(424 kcal),,"8,3",,"0,9",,79,,21,,"7,1",,"0,95",,"0,38",,13,,D,,,,,,,,,,,,,,,,,,,,,
715,Infusettes Flex harmonie - Le Dauphin - 30g,3760013112448,B,30 g,['Le Dauphin'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']","['Bio', 'Biopartenaire']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
716,Dos de cabillaud,3701918667039,E,,,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,['France'],[],[],,0.2 g,en faible quantité,0.03 g,en faible quantité,0 g,en faible quantité,0.28 g,en faible quantité,?,,77,-68%,322 kj(77 kcal),-66%,"0,2",-99%,"0,03",-99%,0,-100%,0,-100%,"17,6",+44%,"0,28",-67%,"0,112",-67%,-4,-182%,A,-182%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,
717,Pains au chocolat - Biscoteria - 360g,4316268596299,D,360 g,['Biscoteria'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat', 'en:Chocolate buns']","['Agriculture durable', 'en:UTZ Certified']","['France', 'Allemagne']","['Wasser', 'pflanzliche Fette ', 'Palm', 'Raps', 'Kokos', 'Schokolade']","['Huile de palme', 'Non végétalien']",4,20.8 g,en quantité élevée,10.6 g,en quantité élevée,10.6 g,en quantité modérée,1.1 g,en quantité modérée,?,,407,+3%,1703 kj(407 kcal),+3%,"20,8",-5%,"10,6",-20%,47,+11%,"10,6",-12%,"6,5",-9%,"1,1",+22%,"0,44",+22%,21,+7%,E,+7%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,"['Plastik', 'Tüte']",,,"['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",['Gluten'],,,,,,,,
718,Sandwich poulet fumé Emmental - Leader price - 145,3263856858318,C,145,['Leader price'],"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",,['France'],[],[],,16 g,en quantité modérée,2.7 g,en quantité modérée,2.6 g,en faible quantité,1.6 g,en quantité élevée,?,,302,+35%,1264 kj(302 kcal),+35%,16,+91%,"2,7",+86%,28,+9%,"2,6",-21%,12,+19%,"1,6",+32%,"0,64",+32%,12,+344%,D,+344%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,['Plastique'],,"['EMB 71520E', 'Sevrey (Saône-et-Loire, France)', 'EMB 22272D', ""Saint-Agathon (Côtes-d'Armor, France)""]",,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,"['Franprix', 'Leader Price']",,,,,
719,Thé coup de soleil,3700286546090,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Cerelac - Nestlé,6033000086174,,,['Nestlé'],,,['France'],[],[],,,,,,,,,,?,,211,,883 kj(211 kcal),,5,,0,,0,,0,,"7,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
721,Kalamon - Delhaize,5400112372227,,,['Delhaize'],,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,249,,1042 kj(249 kcal),,"25,7",,"3,8",,"1,7",,"0,5",,"1,9",,4,,"1,6",,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
722,Wild strawberry,5060384261089,,,,,,['France'],[],[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,0,,0,,81,,58,,"0,8",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,
723,Lasagnes vegetariennes -,3250392727604,,,,,"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'Nutriscore']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,112,,469 kj(112 kcal),,"3,3",,"1,3",,"11,8",,"3,4",,"7,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,
724,Baby cereals - Nestlé - 500g,7613035006072,,500 g,['Nestlé'],,['en:gluten-free'],['France'],[],[],,,,,,,,,,?,,389,,1628 kj(389 kcal),,3,,"0,5",,83,,4,,7,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
725,Fougasse Fromages Fourme d'Ambert Noix,3429711501465,B,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses au fromage']",,['France'],[],[],,15 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,328,+13%,1372 kj(328 kcal),+13%,15,+85%,"2,3",-41%,32,-11%,"0,5",-53%,15,+24%,"1,3",-13%,"0,52",-13%,11,-13%,D,-13%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,,
726,Knöpfli | Pâtes aux œufs - Migros Bio - 500.0g,7613269874218,,500.0 g,['Migros Bio'],,['Bio'],"['France', 'Suisse']","['eau', 'farine fleur*', 'semoule de blé dur*', 'aeuf entier en poudre*', 'bouillon de légumes*/**', 'sel de cuisine', 'huile de tournesol*', ' **De production biologique suisse De production biologique étrangère']",[],,,,,,,,,,?,,131,,548 kj(131 kcal),,"1,9",,"0,5",,22,,"0,5",,"5,7",,"0,88",,"0,352",,,,,,,,,,,,,['Produkt'],,,,,,,,,,,,
727,Bolachas milho,5604321025695,,,,,,['France'],[],[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,"0,9",,"0,1",,86,,"0,5",,"7,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
728,Café moulu pur Arabica,3760159102655,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Spiruline Format Eco - Flamant vert - 500g,3476500410002,E,500 g,['Flamant vert'],"['Compléments alimentaires', 'Spiruline']",,['France'],[],[],,0.001 g,en faible quantité,0.001 g,en faible quantité,0.001 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,001",-100%,"0,001",-100%,"0,001",-100%,"0,001",-100%,66,+33%,0,-100%,0,-100%,-5,-202%,A,-202%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,
730,Chocolat cru Rose de Damas - Cru Sauvage - 20-24g,3770008811058,,20-24 g,['Cru Sauvage'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats crus']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],"['beurre et poudre de cacao cru* ', '80%', 'miel*', 'rose*', 'sel']",['Non végétalien'],3,43.4 g,en quantité élevée,27.9 g,en quantité élevée,17.1 g,en quantité élevée,0.1 g,en faible quantité,?,,537,-9%,2247 kj(537 kcal),-9%,"43,44",-8%,"27,92",-3%,"28,12",-7%,"17,12",+4%,"11,44",+33%,"0,1",+63%,"0,04",+63%,19,-1%,E,-1%,,,,,,,,"['Carton', 'Sous-vide']","['SAS Cru Sauvage', ""6 viol de l'hôpital"", '26410', 'Châtillon en Diois']",,,['Lait'],,,,Douceur végétale aux fèves de cacao semi-sauvage parfumée de rose,https://crusauvage.com/produit/chocolat-cru-rose-de-damas/,,,
731,Vitamine D3 20 µG - 100 Comprimés,3700195660207,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Guimauve tutti frutti,3760107840394,,,,,,['France'],[],[],,,,,,,,,,?,,349,,1460 kj(349 kcal),,"0,1",,0,,"82,5",,0,,"4,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
733,Joue de bœuf façon carbonade - Bigard,2222708048872,,,['Bigard'],,,['France'],"['Joue de bovin 69% ', 'Origine France', 'eau', 'bière 2,7% ', 'eau', ""malt d'ORGE malt de BLÉ"", ""flocon d'AVOINE"", 'houblon', 'levures', 'sucre', 'oignon', 'huile de tournesol', 'extrait de boeuf', 'fécule de pomme de terre', 'cassonade', 'dextrose', 'sel', 'ail', 'poivre', 'thym', ' Fabriqué dans un atelier qui utilise: céréales contenant du gluten', 'crustacés', 'oeufs', 'poissons', 'soja', 'lait', 'fruits à coques', 'céleri', 'moutarde', 'graine de sésame', 'sulfites et mollusques']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,116,,485 kj(116 kcal),,"2,6",,"1,1",,"0,8",,"0,8",,22,,"0,91",,"0,364",,,,,,,,,,,,,,,,,"['Gluten', 'Avoine']",,,,,,,,
734,Frisches sauerkraut,4003907000018,,,,,,['France'],[],[],,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,5",,"0,1",,"2,5",,"0,5",,"1,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
735,Mixy,6111242102866,,,,,,['France'],[],[],,,,,,,,,,?,,78,,326 kj(78 kcal),,"1,4",,"1,4",,"14,3",,"14,3",,"2,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
736,le duo mâche roquette - picvert - 125g,3760114468116,B,125g,['Picvert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,['Auchan'],,http://www.picvert.com,,,
737,Brie de Meaux,3259780000190,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,['France'],[],[],,22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,286,+3%,1197 kj(286 kcal),+2%,22,+1%,15,-2%,"0,5",+5%,"0,5",+98%,22,+6%,"1,8",+1%,"0,72",+1%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 56.051.001 CE', 'Cruguel (Morbihan, France)']",,,,,,,,,,
738,"Cup a Soup Grüne Nudel Suppe, Mit Käse - Knorr",8710908959967,,,['Knorr'],,,['France'],[],[],,,,,,,,,,?,,78,,326 kj(78 kcal),,"1,9",,"1,1",,12,,"1,5",,"2,6",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,
739,tropicana bio - 750ml,11579719,,750 ml,['Tropicana'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'Sans sucre ajouté', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,217,,908 kj(217 kcal),,0,,0,,"12,8",,11,,0,,0,,0,,,,,,,,,,,,,,['Landbouw'],,,,,['Non Union Européenne'],,,,,,
740,pain au chocolat,2030507931147,D,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,
741,Parmigiano reggiano - Granarolo - 500g,8002670839951,D,500 g,['Granarolo'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['AOP'],['France'],[],[],,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",0%,"0,64",0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['IT 08-621 CE'],,,,,,,,,,
742,Cornichons en rondelles - Carrefour - 670g,5400101177291,,670 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en faible quantité,0.89 g,en quantité modérée,?,,26,+30%,109 kj(26 kcal),+38%,0,-100%,0,-100%,"4,8",+145%,"4,5",+266%,1,-8%,"0,89",-51%,"0,356",-51%,-2,-198%,A,-198%,,,,,,,,"['Bocal', 'Verre']",,,,,,,['Carrefour'],,,,,
743,Farine De Lentille Verte Du Puy 750g. -  - 750g,3111950170303,,750 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Farines', 'Farines de légumineuses', 'Farines de lentilles']",,['France'],[],[],,1.3 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,?,,326,-6%,1364 kj(326 kcal),-6%,"1,3",-78%,"0,2",-77%,45,+10%,1,-78%,"26,5",+10%,"0,01",-85%,"0,004",-85%,-1,,A,,,,,,,,,,,,,,,,,,,,,
744,Gressini gourmet olives vertes,8030966008033,,,,,,['France'],[],[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,21,,"8,3",,56,,"1,6",,"2,4",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,
745,Fromagerie Mortafond 17510 Néré,3760247390094,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Taboulé à l'orientale,2280759017254,B,,,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",,['France'],[],[],,7.6 g,en quantité modérée,0.6 g,en faible quantité,2.6 g,en faible quantité,1.3 g,en quantité modérée,?,,165,-7%,690 kj(165 kcal),-7%,"7,6",+12%,"0,6",-15%,20,-15%,"2,6",-36%,"3,4",-21%,"1,3",+37%,"0,52",+37%,5,+87%,C,+87%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,
747,Duodélisse,3802150001824,,,,,,['France'],[],[],,,,,,,,,,?,,142,,594 kj(142 kcal),,10,,"6,8",,"3,7",,"3,7",,"6,7",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
748,Huile d'olive & ail,3155700006207,,,,,,['France'],[],[],,,,,,,,,,?,,828,,3464 kj(828 kcal),,92,,13,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
749,Salade et aperitif - Rians,3184670027721,,,['Rians'],,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,337,,1410 kj(337 kcal),,32,,22,,"4,8",,"2,3",,"7,5",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
750,Roc la gravière,3251091808038,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Pâtisserie ly-heng coco,5999884913054,,,,,,['France'],[],[],,,,,,,,,,?,,398,,1665 kj(398 kcal),,"4,9",,"1,7",,"9,3",,"8,3",,"8,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,
752,Macedonia halva,5201049113378,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Baies de goji,3111952023232,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",,['France'],[],[],,1.22 g,en faible quantité,0.26 g,en faible quantité,49 g,en quantité élevée,0.6 g,en quantité modérée,?,,328,-1%,1372 kj(328 kcal),-1%,"1,22",-59%,"0,26",-41%,"66,3",+12%,49,+9%,"13,3",+6%,"0,6",-4%,"0,24",-4%,6,+104%,C,+104%,,,,,,,,,,,,,,,,,,,,
