,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
1904,Fraise tagada - Haribo,4001686405611,,,['France'],[],[],?,,361,,1510 kj(361 kcal),,"0,5",,"0,1",,87,,74,,"2,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,,
1905,Kitkat glace - Nestlé - 90ml,3274664099398,,,['France'],[],[],?,,338,,1414 kj(338 kcal),,20,,15,,34,,27,,"3,8",,"0,3",,"0,12",,,,,,,,,,,,,90 ml,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,
1906,Aa Drink Iso Lemon 33CL - 33cL,87222258,,,['France'],[],[],?,,33,,138 kj(33 kcal),,0,,0,,"7,9",,"7,9",,0,,"0,05",,"0,02",,,,,,,,,,,,,33 cL,,,,,,,,,,,,,,,,,,,,,,,,
1907,Chocolat Noir à la noisette - AH,8718906117204,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']",['France'],"['pâte de cacao*', 'sucre de canne*', '15% noisette grillée*', 'beurre de cacao*', 'émulsifiant ', 'lécithine de soja', 'vanille Bourbon* *Agriculture biologique,Cacao: 55% minimum', 'Ingrédients conformes aux standards du commerce équitable Fairtrade: pâte de cacao', 'sucre de canne', 'beurre de cacao', 'vanille Bourbon ', '85% du poids total', ',']",[],?,,590,+4%,2469 kj(590 kcal),+4%,41,0%,20,+8%,46,+19%,43,+28%,8,-0%,"0,2",+513%,"0,08",+513%,26,+23%,E,+23%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,"['Bio', 'Bio européen', 'Commerce équitable', 'Fairtrade International']",41 g,en quantité élevée,20 g,en quantité élevée,43 g,en quantité élevée,0.2 g,en faible quantité,['AH'],,,,,,['Soja'],4,['E322i - Lécithine'],,,,,
1908,Lipton 25PCS Green Classic Tea,8712566385614,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],[],?,,4,-67%,17 kj(4 kcal),-65%,0,-100%,0,-100%,0,-100%,0,-100%,"0,5",+138%,0,-100%,0,-100%,1,-76%,B,-76%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,['Lipton'],,,,,,,,,,,,,
1909,Pearls salé au chocolat noir - 100g,7610216380662,,,['France'],[],[],?,,484,,2025 kj(484 kcal),,23,,14,,58,,35,,"7,3",,"0,3",,"0,12",,,,,,,,,,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,
1910,Schwanger-schaftstee,4058172065408,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,,
1911,oeufs de mouettes -  - 200g,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Caramels', 'Bonbons au caramel']",['France'],"['Chocolat au lait ', 'sucre', ' beurre de cacao', 'lait entier en poudre pâte de cacao lactose', 'lactoserum', 'lecithine de soja', ' sucre noisettes', ' amandes', 'graisses végétales', 'beurre concentré', 'sirop de glucose', 'colorants: E120', 'E101aii,E153', 'E141', 'gomme arabique', 'amidon de mais', 'farine de blé', ' farine de malt', 'poudre à lever carbonate de sodium', 'huile de colza antioxydant E306', ""agent d'enrobage: shellac glycerine"", 'caramel aromatique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 g,['Plastique'],,,,,,,,,,,,oeuf caramel bonbon chocolat,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Graisses végétales']",4,"['E322i - Lécithine', 'E120 - Acide carminique', 'E153 - Charbon végétal médicinal', ""E414 - Gomme d'acacia"", 'E500i - Carbonate de sodium', 'E904 - Gomme-laque']",,,,,
1912,Gauffre au sucre,5425003150029,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,Crevettes entières cuites réfrigérées sauvages,3306080034728,D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes entières', 'Crevettes entières cuites', 'Crevettes entières cuites réfrigérées']",['France'],[],[],?,,89,-30%,372 kj(89 kcal),-30%,"0,7",+8%,"0,5",+14%,"0,5",+16%,"0,5",+155%,"22,3",+1%,"1,8",-7%,"0,72",-7%,3,-40%,C,-40%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,,,,,,,,,,,,,,
1914,Le Rosé De Madame De F,26010267,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Leche Entera Bio 1L Purnatur - Pur Natur,5412971107117,,,['France'],[],[],?,,64,,268 kj(64 kcal),,"3,6",,"2,2",,"4,8",,"4,8",,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,['Pur Natur'],,,,,,,,,,,,,
1916,Tortilla chips,4088600067612,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],?,,203,-58%,849 kj(203 kcal),-58%,10,-56%,"0,9",-69%,"1,4",-98%,0,-100%,0,-100%,"0,49",-58%,"0,196",-58%,4,-59%,C,-59%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,10 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,0.49 g,en quantité modérée,,,,,,,,,,,,,,
1917,Delta yaourt grec - 150g,5201037710503,,,['France'],[],[],?,,70,,293 kj(70 kcal),,0,,0,,"8,7",,"7,7",,"7,8",,"0,12",,"0,048",,,,,,,,,,,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,
1918,Framboise bio cuite au chaudron - Jean d'Audignac,3700238317532,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],"['framboises 50%', 'sucre', 'pommes* 11% ', 'gélifiant: pectines', 'jus de citron concentré', "" ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,189,-13%,791 kj(189 kcal),-13%,"0,5",+67%,"0,1",+93%,44,-16%,44,-13%,"0,7",+28%,"0,08",+231%,"0,032",+231%,6,-37%,C,-37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,"['Bio', 'Sans conservateurs']",0.5 g,en faible quantité,0.1 g,en faible quantité,44 g,en quantité élevée,0.08 g,en faible quantité,"[""Jean d'Audignac""]",,Confiture de framboise (50%) et pomme (11%),,,,,4,['E440 - Pectines'],,,,,
1919,Verveine menthe,3760200980287,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Verveine menthe']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,
1920,Emmental rapé fondant,3560070842414,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,
1921,Do gazal tea,4796015721929,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,Petit déjeuner céréale et chocolat - 200g,3478920009125,,,['France'],[],[],?,,466,,1950 kj(466 kcal),,17,,"9,1",,73,,23,,"4,6",,"0,14",,"0,056",,,,,,,,,,,,,200 g,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,
1923,"Les minis oignons, piment d'Espelette et aux herbes - Madrange - 300g (12mini saucisses)",3273625827223,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Viandes fraîches', 'Chipolatas', 'Chipolatas aux herbes']",['France'],"[""CHIPOLATAS AUX OIGNONS : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 82%"", 'oignon 13%', 'sel', 'persil', 'arômes naturels*', 'épice', ' Boyau naturel de mouton', "" *contient naturellement de l'acide ascorbique"", ""de l'acide acétique et des polyphénols"", ""\r CHIPOLATAS AU PIMENT D'ESPELETTE : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 91%"", 'eau', 'sel', 'arômes naturels', ""piment d'Espelette 0,68%"", 'poivron rouge', ' Boyau naturel de mouton', ""\r CHIPOLATAS AUX HERBES : Viande de porc issue d'animaux élevés sans antibiotique dès la fin du sevrage 94%"", 'sel', 'arômes naturels', 'herbes aromatiques 0,4% ', 'thym', 'persil', 'romarin', 'poivre', ' Boyau naturel de mouton']","['Non végétalien', 'Non végétarien']",1037,-0%,250,0%,1037 kj(250 kcal),-0%,21,+4%,"7,2",-6%,"1,3",+2%,"< 0,5",-19%,14,-7%,2,+13%,"0,8",+13%,18,+5%,D,+5%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,300 g (12 mini saucisses),"['Barquette', 'Opercule', 'Plastique']","['Sans antibiotique', 'Viande Française', 'Sans antibiotique après sevrage', 'Viande Porcine Française', 'Sans conservateurs', 'Porcs élevés sans antibiotique', 'Porcs élevés sans antibiotique après sevrage', 'Qualité supérieure', 'en:Sans additif ajouté']",21 g,en quantité élevée,7.2 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,['Madrange'],,"Les minis oignons, piment d'Espelette et aux herbes",,,,,4,,,['France'],https://www.madrange.fr/nos-produits/les-minis-oignons-piment-despelette-et-aux-herbes/,,
1924,Profil Syrah grenache - le petit béret - 75cl,3760251400154,,"['Boissons', 'Boissons sans alcool']",['France'],"['Infusion de pépins de raisin biologique jus de raisin biologique ', '196', 'stabilisants: gomme arabique glycérine végétale', 'arôme naturel', 'acidifiants:acide citrique', 'acide malique,acide lactique arôme', 'anthocyane naturelle', 'antioxydant acide ascorbique', 'dioxyde de carbone', ' Produit pasteurisé']",[],?,,23,-39%,96 kj(23 kcal),-43%,0,-100%,0,-100%,"5,8",-33%,"1,6",-78%,0,-100%,0,-100%,0,-100%,6,-15%,D,-15%,,,,,,,,75 cl,['Bouteille'],['Produit pasteurisé'],0 g,en faible quantité,0 g,en faible quantité,1.6 g,en faible quantité,0 g,en faible quantité,['le petit béret'],,,,,,,4,"[""E414 - Gomme d'acacia"", 'E330 - Acide citrique', 'E296 - Acide malique', 'E270 - Acide lactique', 'E163 - Anthocyanes', 'E300 - Acide ascorbique', 'E290 - Dioxyde de carbone']",,,,,
1925,Le cake citron vert - Monoprix,3350033635524,,,['France'],[],[],?,,369,,1544 kj(369 kcal),,20,,"9,1",,40,,27,,6,,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],,,,,,,,,,,,
1926,Pêche cassis thé blanc - Lov Organic - 70g,3700616459731,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés blancs']",['France'],"['Thé blanc ', '95%', 'arômes ', 'pêche', 'cassis', 'abricot', 'fleurs de bleuet', 'fleurs de tournesol']",[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,70g,['boîte en métal'],"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique']",,,,,,,,,['Lov Organic'],['kusmy tea'],,,,,,4,,,,https://www.lov-organic.com/peche-cassis.html?packaging=94,,
1927,Faisselle Brebis Bio - Baskalia - 110g,3578840003552,,,['France'],[],[],?,,103,,431 kj(103 kcal),,7,,"4,8",,"4,5",,"4,5",,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,110 g,,['Bio'],,,,,,,,,['Baskalia'],,,,,,,,,,,,,
1928,Moules sauce au curry - Marie - 300g,3248830000174,C,"['Produits de la mer', 'Mollusques', 'Moules']",['France'],"['riz cuit 34,9%', 'moules décoquillées 30%', 'crème fraiche légère 12,3%', 'eau', 'vin blanc', 'échalotes', 'poivrons rouges', 'farine de blé', 'huile de colza', ""huile d'olive vierge"", 'ail', 'sel', 'coriandre', 'épices curry 0,2%', 'graines de pavot 0,2%', 'curcuma', 'purée de piments ', 'piments', 'sel', 'gingembre', ' Traces possibles de : poisson crustacés', 'soja', 'oeuf', 'céleri', 'moutarde']","['Non végétalien', 'Non végétarien']",?,,137,-9%,573 kj(137 kcal),-9%,5,-40%,"1,7",+9%,16,+318%,"0,9",+169%,"7,1",-51%,"0,67",-44%,"0,268",-44%,0,-100%,B,-100%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,300 g,,"['Sans conservateurs', 'Nutriscore', 'Nutriscore B']",5 g,en quantité modérée,1.7 g,en quantité modérée,0.9 g,en faible quantité,0.67 g,en quantité modérée,['Marie'],,,,,,"['Gluten', 'Mollusques']",3,,,,,,
1929,"Impact Whey Protein, Banane - MyProtein - 250g",5055534319758,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",['France'],"['Concentré de Protéine de Whey ', 'Lait', ' ', '96 %', 'Émulsifiant ', 'Lécithine de Soja', 'Arôme', 'Colorant ', 'Curcumin', 'Édulcorant ', 'Sucralose']","['Non végétalien', 'Végétarien']",?,,409,+10%,1711 kj(409 kcal),+10%,"7,4",+71%,5,+187%,"5,2",-26%,"5,2",+68%,80,+13%,"0,25",-67%,"0,1",-67%,11,+149%,D,+149%,,,,,,,,250 g,"['Sachet', 'Plastique']",['Végétarien'],7.4 g,en quantité modérée,5 g,en quantité modérée,5.2 g,en quantité modérée,0.25 g,en faible quantité,['MyProtein'],,,,,,"['Lait', 'Soja']",4,"['E322i - Lécithine', 'E100 - Curcumine', 'E955 - Sucralose']",,,,,
1930,Filets de Poulet -,2447181037261,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],"['filets de poulet 89%', 'eau', 'conservateurs: lactate de potassium et acétate de sodium', 'dextrose', 'sel', 'arôme naturel de poivre', 'traces de blé', 'lait', 'oeuf']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,111,-15%,464 kj(111 kcal),-15%,"2,4",-17%,"0,7",-6%,"0,9",+88%,"0,9",+270%,21,-8%,1,+33%,"0,4",+33%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['Nutriscore', 'Nutriscore B']",2.4 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,,,,,,,,4,"['E326 - Lactate de potassium', 'E262i - Acétate de sodium']",,,,,
1931,Pruneaux d'Agen - 1kg,3551771033447,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['France'],[],[],?,,234,-3%,979 kj(234 kcal),-3%,"0,3",-17%,"0,08",-30%,54,+1%,35,-4%,2,+7%,"0,001",-93%,0,-93%,3,+37%,C,+37%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,1 kg,,,0.3 g,en faible quantité,0.08 g,en faible quantité,35 g,en quantité élevée,0.001 g,en faible quantité,,,,,"['EMB 47099', 'Fongrave (Lot-et-Garonne, France)']",,,,,,,,,
1932,Cheetos Pizza Flavour Corn Snacks 85 G,5900259028945,,"['Snacks', 'en:Apéritif', 'en:Snacks salés']",['France'],[],[],?,,489,-1%,2046 kj(489 kcal),-1%,23,-16%,2,-61%,63,+20%,"4,6",+78%,"1,9",-71%,"1,6",+4%,"0,64",+4%,15,+6%,D,+6%,,,,,,,,,,,23 g,en quantité élevée,2 g,en quantité modérée,4.6 g,en faible quantité,1.6 g,en quantité élevée,['Cheetos'],,,,,,,,,,,,,
1933,Sauce Casimir,7613269299073,,,['France'],[],[],?,,420,,1757 kj(420 kcal),,"2,5",,"1,5",,16,,11,,"3,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Mélange Chili - Horeca - 650g,4333465835570,,,['France'],[],[],?,,260,,1088 kj(260 kcal),,"5,4",,"0,8",,55,,"13,4",,"8,3",,"21,7",,"8,68",,,,,,,,,,,,,650 g,,,,,,,,,,,['Horeca'],,,,,,,,,,,,,
1935,Gallette Snack Erbe G60 Scotti,8001860258473,,,['France'],[],[],?,,462,,1933 kj(462 kcal),,20,,"4,6",,"64,6",,"0,1",,"5,3",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,['Scotti'],,,,,,,,,,,,,
1936,Bombón helado de nuez de macadamia - Häagen-Dazs,3415587500039,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat']","['France', 'Espagne']",[],[],?,,365,+13%,1527 kj(365 kcal),+11%,"26,2",+27%,"16,2",+17%,"27,5",-9%,"26,4",-3%,"4,3",+17%,"0,12",-30%,"0,048",-30%,19,+1%,E,+1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,26.2 g,en quantité élevée,16.2 g,en quantité élevée,26.4 g,en quantité élevée,0.12 g,en faible quantité,['Häagen-Dazs'],,,,,,,,,,,,,
1937,Fraises Guariguettes,3760078900127,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,Verbena orange infusion special t - Nestlé,7613036972963,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,
1939,Lievre chocolat noir bio - 80g,3274646191027,,,['France'],[],[],?,,573,,2397 kj(573 kcal),,44,,26,,32,,27,,"7,9",,"0,02",,"0,008",,,,,,,,,,,,,80 g,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
1940,Bouillon de volaille - Maggi - 24tablettes,3033710077069,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons de volaille']",['France'],"['sel', 'exhausteurs de goût : glutamate', 'inosinate et guanylate de sodium ', ' sirop de glucose', 'matière grasse végétale hydrogénée', 'graisse de poule ', '4,9%', 'oignon', 'viande de poule ', '2,9%', 'extrait de levure', 'arômes', 'épice', 'colorant : caramel ', 'E150c', ' ', ' plante aromatique', ""blanc d'œuf"", 'anti-oxygènes : BHA', 'gallate de propyle']","['Non végétalien', 'Non végétarien']",740,,150,,,,"4,71",,,,"19,4",,,,"5,69",,,,,,,,,,,,,,,,,24 tablettes,,,,,,,,,,,['Maggi'],,,,,,['Œufs'],4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E320 - Butylhydroxyanisol', 'E310 - Gallate de propyle']",,,,,
1941,Pain au chocolat beurre,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,,,,,,,,,,
1942,Mini Palet Pur Beurre Gavotte,3535800893608,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Yaourt au lait du jour Noisette,3384075000156,,,['France'],[],[],?,,147,,615 kj(147 kcal),,"5,6",,"2,8",,19,,19,,"4,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,Blondies -,8411037892308,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies', 'Blondies']",['France'],[],[],?,,457,-2%,1912 kj(457 kcal),+0%,25,-4%,"2,5",-62%,52,+7%,36,+16%,"5,7",-4%,"0,42",+38%,"0,168",+38%,15,-18%,D,-18%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,25 g,en quantité élevée,2.5 g,en quantité modérée,36 g,en quantité élevée,0.42 g,en quantité modérée,,,,,,,,,,,,,,
1945,3234783103468,3234783103468,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,Carottes & lait de coco,7613269737735,,,['France'],[],[],?,,69,,289 kj(69 kcal),,6,,3,,2,,2,,"0,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Cornichons aux 2 vinaigres,3701037402061,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],?,,17,-37%,71 kj(17 kcal),-34%,"0,5",+69%,"0,5",+632%,2,-42%,2,-23%,"1,2",+19%,"1,6",-7%,"0,64",-7%,2,-8%,B,-8%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",0.5 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,1.6 g,en quantité élevée,,,,,,,,,,,,,,
1948,Crème fraîche épaisse de Normandie - Graindorge,3252950007487,,,['France'],[],[],?,,359,,1502 kj(359 kcal),,38,,27,,"2,2",,"2,2",,2,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,['Graindorge'],,,,,,,,,,,,,
1949,Confiture mûres - Ferme Dache Dise - 250g,3770008268142,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Produits artisanaux', 'Confitures', 'Confitures artisanales']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,250 g,,,,,,,,,,,['Ferme Dache Dise'],,,,,,,,,,,,,
1950,"Ananas, Im Eigenen Saft - Alnatura",4104420033900,,,['France'],[],[],?,,49,,205 kj(49 kcal),,"0,5",,"0,1",,11,,10,,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,['Bio'],,,,,,,,,['Alnatura'],,,,,,,,,,,,,
1951,Cacahouètes sucrées,3760140260029,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,
1952,Ma Baker Giant Coconut Bar 90G X,5034444101233,,,['France'],[],"['Végétalien', 'Végétarien']",?,,463,,1937 kj(463 kcal),,21,,"10,9",,"61,7",,"28,1",,"6,4",,"0,12",,"0,048",,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,
1953,Préparation Facile Tajine,3269714112622,,,['France'],[],"['Végétalien', 'Végétarien']",?,,377,,1577 kj(377 kcal),,32,,"3,7",,15,,"4,8",,4,,"5,2",,"2,08",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,
1954,Play Mouse,4000512016120,,,['France'],[],[],?,,337,,1410 kj(337 kcal),,"0,1",,"0,1",,77,,48,,"5,5",,"0,2",,"0,08",,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,
1955,Frambozen,8718906210554,,,"['France', 'Pays-Bas']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,CHEMIN DE MOSCOU 2014 DOMAINE GAYDA,3760143270377,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,Cerveja Belga Brugse Zot Dubbel - 330ml,5425017240075,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Lou Pitchoun,3760042911159,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Les oeufs de dinosaures,3120470200773,,,['France'],[],[],?,,545,,2280 kj(545 kcal),,32,,20,,57,,56,,"6,1",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,3700027698996,3700027698996,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,Le dessert perle de chia pomme mangue passion - Monoprix,3350033638457,,,['France'],[],[],?,,103,,431 kj(103 kcal),,"4,7",,"2,6",,12,,11,,"2,1",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],,,,,,,,,,,,
1962,Sweet potatoe sticks,5060379650157,,,['France'],[],[],?,,509,,2130 kj(509 kcal),,"27,4",,"11,9",,"58,6",,"37,8",,"3,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,Joghurt bio frucht pfirsich-maracuja - Milbona,4056489028475,,,['France'],[],[],?,,94,,393 kj(94 kcal),,"2,8",,"1,7",,"13,1",,"11,9",,"3,6",,"0,1",,"0,04",,,,,,,,,,,,,,,['Bio'],,,,,,,,,['Milbona'],,,,,,,,,,,,,
1964,Albert Heijn Rijstwafels Zeezout,8710400629641,,,['France'],[],[],?,,380,,1590 kj(380 kcal),,"0,7",,"0,7",,79,,1,,"7,5",,"0,8",,"0,32",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,['Albert Heijn'],['Albert Heijn'],,,,,,,,,,,,
