,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
1524,Free Alternative To Soft Cream Cheese,5060100601205,,['France'],[],,[],,?,199,833 kj(199 kcal),"18,7","16,6","7,6","0,9","0,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,"['pp-tub', 'pp-lid', 'foil-lid']",,,,,,,,,,,,,,,,,,,
1525,Tetley green tea,5000208092949,['Tetley'],['France'],['Green tea'],,"['Végétalien', 'Végétarien']",,?,1,4 kj(1 kcal),0,0,0,0,0,0,0,"['Végétarien', 'Végétalien']",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,-92%,-92%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,1,-76%,B,-76%,,,,,,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
1526,Steakhouse frites - McCain - 650kg,8710438105117,['McCain'],"['France', 'Allemagne']",[],,[],,679,162,679 kj(162 kcal),"5,5","2,2",24,"0,5",3,"0,4","0,16",,650 kg,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",5.5 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,0.4 g,en quantité modérée,+9%,+7%,+6%,+11%,+236%,+5%,+1%,+20%,+39%,+39%,4,,C,,['Packung(en)'],,,,,B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,,
1527,Saumon fumé 200g,5413428052004,,['France'],[],,[],,?,227,950 kj(227 kcal),"14,9","2,8","0,5","0,5","22,8","1,2","0,48",['Sans colorants'],,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",14.9 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+23%,+23%,+42%,+36%,+1%,+50%,+3%,-57%,-57%,4,-69%,C,-69%,,,,,,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
1528,Bunalun organic balsamic vinegar,5391500918359,,['France'],[],,[],,?,114,477 kj(114 kcal),0,0,"23,4","21,8","0,6","0,02","0,008","['Bio', 'Bio européen', 'Sans gluten', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Moussaka - Chef Select - 400g,4056489035145,"['Chef Select', 'Lidl']","['Belgique', 'France']","['19% pommes de terre frites ', 'pommes de terre', 'huile de tournesol', 'eau', '12% viande de porc', '9% aubergines', '9% aubergines frites ', 'aubergines', 'huile de tournesol', '8% tomates', '6% viande de boœuf', 'fromage ', 'contient du lait', 'double concentré de tomates', 'lait écrémé', 'huile de colza', 'lait en poudre écrémé', 'amidon modifié ', 'maïs', 'oignon', 'sel', 'farine de blé', 'arômes ', 'contient du lait', 'crème ', 'lait', '0,3% plantes aromatiques', 'épices', 'ail', 'lait en poudre entier', 'amidon de pomme de terre', 'dextrose', 'protéines de lait']",['E14XX - Amidons modifiés'],"['Non végétalien', 'Non végétarien']",4,?,159,665 kj(159 kcal),"9,9","2,7","9,9","2,5","6,9","0,87","0,348",,400 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Moussaka', 'Moussaka à la viande', 'Moussaka à la viande de porc et de bœuf']",9.9 g,en quantité modérée,2.7 g,en quantité modérée,2.5 g,en faible quantité,0.87 g,en quantité modérée,,+20%,+23%,+10%,+3%,+79%,-12%,+24%,+15%,+15%,2,+222%,B,+222%,"['Plastique', 'Barquette', 'Aluminium']",,,"['Gluten', 'Lait']",,E,97.0%,1.4%,0.6%,0.6%,0.3%,0.2%,2,,['BE B198 EC'],,['Lidl'],,,
1530,Craquelin de riz gluant sucré,8719497390489,,['France'],[],,[],,?,491,2054 kj(491 kcal),18,16,72,9,"7,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Yaourt nature,3902200000019,,['France'],[],,[],,?,65,272 kj(65 kcal),"3,94",2,"2,63",0,"4,04",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Pizzocheri di Poschiavo - 500g,7640101880076,,"['France', 'Suisse']",[],,[],,?,357,1494 kj(357 kcal),"2,9","0,5",67,"6,5",13,"0,02","0,008",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Baikal,4038745602452,,['France'],[],,[],,?,40,167 kj(40 kcal),0,0,10,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Tiburón - Combino,40889320,['Combino'],"['France', 'Espagne']","['top quality food pasta ingredients: durum wheat semolina', 'may contain egg traces', 'preservation: store in a cool and dry place', 'preparation mode: pour the pasta into boiling salt water', 'use 1 l of water per 100 g of pasta', 'leave to simmer for 9-11 minutes', 'stirring occasionally', 'drain and serve', 'produced in spain ,']",,[],,?,354,1481 kj(354 kcal),"1,2","0,3",72,3,12,"0,02","0,008",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,,+0%,+0%,-33%,-21%,+3%,-5%,-3%,-16%,-16%,-1,,A,,,,,,,,,,,,,,,,,,,,,
1535,Cuidate,8435336281038,['Cuidate'],"['France', 'Espagne']",[],,[],,?,?,,?,,?,,?,,,,,['Infusion-de-plantes-aromatiques'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Pate De Sanglier Roger Vidal 125G,3265490000030,['Roger Vidal'],['France'],[],,[],,?,399,1669 kj(399 kcal),38,12,"1,2","0,4",13,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Canton - Bouillon pour fondue,0055266222901,,"['Canada', 'France']",[],,[],,?,10,42 kj(10 kcal),"0,2",0,2,1,"0,1","0,238","0,095",['en:gluten-free'],,"['Epicerie', 'Bouillons']",0.2 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.237 g,en faible quantité,,-93%,-93%,-96%,-100%,-88%,-79%,-98%,-99%,-99%,1,-87%,B,-87%,['boîte'],,,,,,,,,,,,,,,,,,,
1538,Filet de pollastre arrebosat - terra i tast,8422410332311,['terra i tast'],"['France', 'Espagne']",[],,[],,?,214,895 kj(214 kcal),"9,1","1,4","9,4","0,8",22,3,"1,2",,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés']",9.1 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en faible quantité,3 g,en quantité élevée,,+15%,+15%,-0%,-37%,+4%,-26%,+41%,+178%,+178%,13,+265%,D,+265%,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1539,Café en grain,8410894003056,,['France'],[],,[],,?,2,8 kj(2 kcal),6,1,5,4,0,8,"3,2",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,-92%,-93%,+290%,+12%,+231%,+316%,-100%,+10889%,+10889%,,,,,,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,
1540,Crackito,5414359503115,,['France'],[],,[],,?,535,2238 kj(535 kcal),"32,7","3,3","52,4","1,5","5,8","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Dries,5425027440113,,['France'],[],,[],,?,227,950 kj(227 kcal),"11,5","2,3","25,5","8,5","4,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,12 french petits fours gourmands - tipiak - 150g,3450350082817,['Tipiak'],['France'],"['2 lin éclairs chocalat', '2 Mini éclairs caramel', '3 Tartelettes fromboise', '2 Operas', '3 Moelleux au Sucre fromboise 10 9% oeuf entier pasteurist lait demi écrémé sterilise beurre entiers', 'sucre', 'forine de ble eau', 'poudre d amonde emusifiont mono et diglycerdes dacid NTS ufs pois', 'poudres à lever:dighosphate disodigue', 'corbonate de sadium', 'fécule de pomme de terre p ondont ', 'sucre', 'eau', 'sirop de glucose', 'émuifiontmone et digiycerides dacides gros', 'paisisonty ne de graines de caroube', 'eou', 'caramel ou beurre et au sel de Guande 49%sirap de glucose lait ', 'lait entier frais sucre lait éémé en poudrel', 'beurre 0 eeu ait entier en erande 0,02%', 'jus de citron', 'chocolet de coverture 3,5% dte de cocs', 'e bourre de lecithine de soja', 'extrait de vanille', 'forn deble pe de cin 31% 28%,rel em 2,5%nappoge ', 'eau', 'sirop de glurese fructese sepellansp ghsaid de que', 'chocalat blanc ', 'scre beurre de cac poudre de lait entier', 'emulfant ltine de seje soja', 'arome naturel de vanllel', 'joune dl p se', 'farine de ble', 'heurre de vanille', 'chocolat noir de couverture 19% ', 'pe de c sH CO moigre n de 08% creme sterilisée ', 'crème de lait sbls hngnes', ' dhacolat de c de cocon', 'poudre de lait entier', 'pite de coe', 'émulsifiamt lécitbine de seje sel rie wa de cbcoo 0,5%', 'zeste de citron semi con4% ', 'airap de glucase fractose', 'zete de ne urre páte ,correcteur dacidine acide ciriontiydant:acide aodie', 'ficole de m cacoo moigre 0,1%', 'caramel 0,1% ', 'ure', 'sirap de gluce de bie', 'enu', 'cacoa', 'colorants:oxydes et bydroxydes de fer', 'dovyde de titane', ' erait di ule de pomme de terre omidon tronslormé de maniar', 'gelifiont pectine', 'fibre de ble sel', 'sirap de sucre inverti', 'blone doeul on poudie pasteurisi', 'huile essentielle de e manes', ""e enes d declaration abligataire sont indiqués en gras dus lo liste d'ingredents des traces de sésome Jusqu'a la date limite de cosommation indiquie sur emballage18 l enir Fion: efrigérateur ou dons wotre congeleteur mer dons les 6 heures qui suivent la decongéltion S RECONGELER UN PRODuIT DECONGELE PRODUT FABRIOUË EN FRANCE RS NUTAITIONNELLES MOYENNES POUR t100 G/ NUTRITONAL INFORMATION FOR 100 e/Energy: GE PENSEZ AU TRI 1426 kJ/341 kal 17 g 10 0 40 9 78 35g res grasses/Fat: s as saturs/of whch saturates AA des / carbohydrate: /f ohich s /Fibre: D""]","['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,?,341,1427 kj(341 kcal),17,,40,28,"5,9","0,2","0,08",,150g,,,,,,,,,,,,,,,,,,,,,,,,['Boite'],,,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,
1543,Bambix lait de croissance 1an+,5410441002955,,"['Belgique', 'France']",[],,[],,?,67,280 kj(67 kcal),3,"0,3","8,5","5,9","1,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Flétan du Groenland - Carrefour,3560071189051,['Carrefour'],['France'],[],,[],,?,164,686 kj(164 kcal),12,"2,4",0,0,14,"0,2","0,08",,,"['Produits de la mer', 'Poissons', 'Flétan du Groënland']",12 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,,-14%,-13%,+6%,+2%,-100%,-100%,-23%,-87%,-87%,-1,-115%,A,-115%,,,,,,E,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,['MSC-C-50920'],,['Carrefour'],,,
1545,Compté 16 mois - 0.249kg,0278532038574,,['France'],[],,[],,?,433,1812 kj(433 kcal),34,22,"0,5",0,27,"0,7","0,28",,0.249 kg,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,,+9%,+10%,+4%,+1%,+8%,-100%,+7%,-28%,-28%,13,-3%,D,-3%,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,
1546,Bonbon bio,22176349,,['France'],[],,"['Végétalien', 'Végétarien']",,?,381,1594 kj(381 kcal),"0,5",0,94,76,0,0,0,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AT-BIO-901']",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.5 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0 g,en faible quantité,,+7%,+6%,-73%,-100%,+13%,+31%,-100%,-100%,-100%,14,-3%,D,-3%,,,,,,D,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1547,Gajo Naranja con chocolate al fondant,8413638000199,,['France'],[],,[],,?,398,1665 kj(398 kcal),"12,9","7,94","68,44","65,6","4,62","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Blanquette - Monoprix Gourmet - 380g,3350033616615,['Monoprix Gourmet'],['France'],"['Eau-viande de veau traitée en salaison 23% [viande de veau ', 'origine:France', ' eau', 'sel]- crème 15% ', 'crème', 'stabilisants : carraghénanes', ' - carotte 8,9% - champignon de Paris 7,8% - oignon grelot 5,2% - vin blanc-amidon transfomé de mais - fond de veau [eau', 'veau ', 'os', 'viande', 'gras', 'sel] - sel - oignon en poudre - ail en poudre - céleri en poudre - thym en poudre - laurier en poutre - poivre', ' Traces de crustacés', 'poissons', 'oeufs', 'fruits à coque', 'soja', 'glute', 'moutarde', 'mollusques', ' Les informations en gras sont destinées aux personmes intolérantes ou allergiques']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,?,120,502 kj(120 kcal),9,5,"3,5","0,8","5,9","0,64","0,256",,380 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats au veau', 'Blanquettes de veau']",9 g,en quantité modérée,5 g,en quantité modérée,0.8 g,en faible quantité,0.64 g,en quantité modérée,,+5%,+5%,+83%,+116%,-53%,-17%,-27%,-15%,-15%,4,+239%,C,+239%,,,,['Lait'],,E,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,,,,['Monoprix'],,,
1549,Pumpkin Chips - Muji,4550002874414,['Muji'],['France'],[],,[],,?,509,2130 kj(509 kcal),21,"9,6",73,30,"3,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Fersan Apfelessig -  - 500,8690816050010,,['France'],"['Apple cider vinegar', 'antioxidant ', 'sodium metabisulphite', ' /Ingrédients: Viņaigre de cidre', 'anfioxygène ', 'métabisulfite de sodium', '/Ingrediënten: Appelazijin', 'antioxidant ', 'natriummetabisulfiet', ' Ingredienser: Appelvinaner', 'Antioxidant ', 'natriummetabisulfit', ' Kükürt içerir', '/Contient du soufre', '/ Contains Sulphur/Beinhaltet Schwefeldioxid', '/Bevat zwavel', '/ Innehallende svaveldioxid', ' Serin yerde saklayınız Conservez au frais Kühl aufbewahren Koel bewaren/Sval plats', "" Asitik/ Acidité Saure/Azijnzuur/Surhet: 5% 8 '"", '690816 050010']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",[],,?,45,190 kj(45 kcal),?,,20,17,?,"0,005","0,002",,500,"['Vinaigres', 'Vinaigres de cidre']",,,,,17 g,en quantité élevée,0.005 g,en faible quantité,,+200%,+217%,,,+1233%,+2164%,,-71%,-71%,,,,,,,,,,B,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,
1551,Haribo Chamallows Soft-kiss,5410358459880,['Haribo'],['France'],"['ND SUIKERWERK MET 35 % CACAOFANTASIE/Ingreden Caranfantacie i bard plantaardilg vet ', 'kokos en palmpit in wisselende veroudie cacaopoeder magere melkpoeder', 'weipoeder', 'melksuiker', 'stabil aantristearaat', 'emulgator sojalecithine', 'aroma', 'glucosestroop', 'Levongsmiddel: sorbitol', 'dextrose', 'gelatine', 'aroma', 'Ten minste hous ,,,', '2 chterzijde wit veld', 'Tegen warmte en vocht beschermen', 'DUNFISERIE GUIMAUVE AVEC 35 % PRÉPARATION FANTAISIE AU CACA Enrobage à base de cacao ', 'sucre', 'graisses végétales totalement hydrogéne et palmiste', 'en proportions variables', 'cacao maigre en poudre', 'lait écre lactosérum en poudre ', 'lait', 'lactose ', 'lait', 'stabilisant: tristéaratede sorbitar lécithine de soja', 'arôme', 'sirop de glucose', 'sucre', 'eau', 'humedant sorbr gélatine', 'arôme,']","['E420 - Sorbitol', 'E428 - Gélatine']","['Non végétalien', 'Non végétarien']",4,?,420,1757 kj(420 kcal),13,12,73,62,"3,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,,,,,,,,,,,,
1552,"Pains au chocolat - Carrefour - 2,1kg",3560071006884,['Carrefour'],['France'],"['Farine de blé', 'eau', 'beurre 21%', 'chocolat 10% ', 'sucre', 'masse de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'sucre', 'levure', 'gluten de blé', 'sel', 'oeuf', 'agent de traitement de la farine : acide ascorbique', 'alpha-amylase', 'cellulase', 'xylanase ', 'contient blé', ' Peut contenir des traces de fruits à coque']","['E322i - Lécithine', 'E300 - Acide ascorbique', 'E1100 - Amylases']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1497,359,1497 kj(359 kcal),20,13,35,"9,6","7,1","0,79","0,316",['Pur beurre'],"2,1 kg","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",20 g,en quantité modérée,13 g,en quantité élevée,9.6 g,en quantité modérée,0.79 g,en quantité modérée,-11%,-9%,-10%,-9%,-2%,-17%,-20%,-1%,-13%,-13%,17,-14%,D,-14%,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,"Pains au chocolat pur beurre, prêts à cuire _ Surgelé","['EMB 94041O', 'Ivry-sur-Seine (Val-de-Marne, France)']",,['Carrefour'],,,Fabriqué en France par EMB 94041O pour Interdis.
1553,Schwarzwurzeln - REWE Beste Wahl - 320g,4388844053700,['REWE Beste Wahl'],"['France', 'Allemagne']",[],,[],,121,29,121 kj(29 kcal),"0,1","< 0,1",2,"1,8","1,7","0,9","0,36",,320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges']",0.1 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.9 g,en quantité modérée,+8%,-19%,-18%,-87%,-19%,-38%,+43%,+6%,+21%,+21%,-3,,A,,['Glas'],,,,,,,,,,,,,,,,,,,
1554,Jus de citron,3250392727581,,['France'],[],,[],,?,19,79 kj(19 kcal),"0,5","0,1","3,9","1,3","0,5","0,01","0,004",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Chorizo fort,3292450000595,,['France'],[],,[],,?,362,1515 kj(362 kcal),26,11,"5,1","1,2",27,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Bio Crème Fraîche,4002970000925,,"['France', 'Allemagne']",[],,[],,?,288,1205 kj(288 kcal),30,"18,2","2,4","2,4","2,5",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,5 croissants + 5 pains chocolat - Leclerc,,['Leclerc'],['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Sushi 11 pieces,3760185931632,,['France'],[],,[],,?,176,736 kj(176 kcal),1,"0,6",29,2,7,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Yellow Mustard 8 Ounce - Heinz,01321100,['Heinz'],"['France', 'États-Unis']","['distilled white vinegar', 'mustard seed', 'water', 'salt', 'turmeric', 'natural flavor and spices,']",,[],4,?,0,0 kj(0 kcal),0,0,0,0,0,"0,6","0,24",,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes jaunes']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,2,-80%,B,-80%,,,,,,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,Life Science Institute,,,,
1560,Paves de saumon,3516459921003,,['France'],[],,[],,?,202,845 kj(202 kcal),14,"1,8","0,1","0,1",19,"0,1","0,04","['Bio', 'Bio européen', 'FR-BIO-07']",,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",14 g,en quantité modérée,1.8 g,en quantité modérée,0.1 g,en faible quantité,0.1 g,en faible quantité,,+6%,+6%,+19%,-11%,-76%,-44%,-6%,-72%,-72%,-2,,A,,,,,,,D,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,
1561,Pâté de Campagne à l’Ancienne,3760061370241,,['France'],[],,[],,?,210,879 kj(210 kcal),15,"5,8","1,8","0,1",17,"1,7","0,68",,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",15 g,en quantité modérée,5.8 g,en quantité élevée,0.1 g,en faible quantité,1.7 g,en quantité élevée,,-32%,-32%,-44%,-43%,-25%,-89%,+20%,+2%,+2%,14,-26%,D,-26%,,,,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
1562,BLANC CITRON MERINGUE - 280g,3700774300166,,['France'],[],,['Sans huile de palme'],,?,547,2289 kj(547 kcal),32,"5,6",58,53,"6,9","0,21","0,084",['en:palm-oil-free'],280 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Piada Sfogliata Supersottile C.R.M.,8007780501040,,['France'],[],,[],,?,306,1280 kj(306 kcal),"9,7","3,5",45,"1,2","7,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Bugnes brioches x15,0201009029522,,['France'],[],,[],,?,110,460 kj(110 kcal),"2,8",1,"0,2","0,05","21,1","2,4","0,96",['Qualité supérieure'],,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",2.8 g,en faible quantité,1 g,en faible quantité,0.05 g,en faible quantité,2.4 g,en quantité élevée,,-17%,-16%,-42%,-46%,-70%,-92%,0%,+28%,+28%,11,+56%,D,+56%,,,,,,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['FR 68.066.003 CE', 'Colmar (Haut-Rhin, France)']",,,,,
1565,Huile Olive / Black Truffle250ml,3155700001721,,['France'],[],,[],,?,828,3464 kj(828 kcal),92,"13,2",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Dés de jambon - 80g,4099200410982,,"['France', 'Suisse']",[],,[],,?,115,481 kj(115 kcal),"3,5","1,3","0,8","0,5",20,"2,2","0,88",,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Cancoillotte au vin jaune -  - 250g,3770012213039,,['France'],[],,[],,?,166,695 kj(166 kcal),15,9,"2,2",0,"7,8","0,5","0,2",,250 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",15 g,en quantité modérée,9 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,,+9%,+10%,+49%,+36%,+217%,-100%,-46%,-64%,-64%,8,+2%,C,+2%,,,,,,D,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,,,,
1568,Oignons rouges - Bouton d'Or,3250391660643,"[""Bouton d'Or""]",['France'],[],,[],,?,75,314 kj(75 kcal),"0,5","0,1","4,4","3,1","0,7","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Salatkräuter,4002874751923,,"['France', 'Allemagne']",[],,[],,?,316,1322 kj(316 kcal),3,"0,1",44,25,18,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,['Dosen'],,,,,,,,,,,,,,,,,,,
1570,Butterscotch Flavoured Drops,5011563210893,,['France'],[],,[],,?,403,1686 kj(403 kcal),0,0,98,98,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Cornichons extra fins - Lidl - 360g,13083304,['Lidl'],['France'],[],,[],,?,16,67 kj(16 kcal),"0,2","0,1","1,2","1,1","0,5","2,65","1,06",,360 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",0.2 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,2.65 g,en quantité élevée,,-41%,-37%,-32%,+46%,-65%,-58%,-50%,+54%,+54%,5,+130%,C,+130%,,,,,,,,,,,,,,,,,,,,
