,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
1735,Steak Hache 15%MG Bigard X 2 - 2x 125g,3273230068516,E,,2 x 125 g,,['Bigard'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']",,['France'],[],,,[],,15 g,en quantité modérée,6.2 g,en quantité élevée,0.5 g,en faible quantité,0.22 g,en faible quantité,?,,207,+25%,866 kj(207 kcal),+24%,15,+47%,"6,2",+47%,"0,5",+179%,"0,5",+279%,"0,18",-99%,"0,22",+8%,"0,088",+8%,8,+545%,C,+545%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Viande Française', 'Nutriscore', 'Nutriscore C', 'Viande-bovine-francaise']","['FR 47.032.001 CE', 'Bon-Encontre (Lot-et-Garonne, France)', 'FR 29.233.001 CE', 'Quimperlé (Finistère, France)', 'EMB 29233B', 'Quimperlé (Finistère, France)']",,,,,,
1736,Coop Naturaplan Bio Pekannüsse - 120g,7613356586529,D,,120 g,,['Coop naturaplan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de pécan']",,"['France', 'Suisse']",['Noix de pécan bio'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,72 g,en quantité élevée,6 g,en quantité élevée,4 g,en faible quantité,0 g,en faible quantité,3000,+0%,?,,3000 kj(717 kcal),+0%,72,+3%,6,-8%,"4,5",-36%,4,+6%,11,+9%,0,-100%,0,-100%,-2,-218%,A,-218%,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,,['Bio'],,,,,,,
1737,Comté Affiné 10 Mois En Cave - Nos régions ont du talent,2860060021715,D,,,,"['Nos régions ont du talent', 'Leclerc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Leclerc'],['France'],[],,,[],,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.92 g,en quantité modérée,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,24,+11%,"0,5",+8%,"0,5",+80%,28,+11%,"0,92",-5%,"0,368",-5%,14,+4%,D,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
1738,Gateau chocolat - Louis Le Goff,3281130009225,D,,,,['Louis Le Goff'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,['France'],[],,,[],,31.8 g,en quantité élevée,3.7 g,en quantité modérée,34.4 g,en quantité élevée,0.5 g,en quantité modérée,?,,491,+12%,2054 kj(491 kcal),+12%,"31,8",+35%,"3,7",-53%,"45,5",-8%,"34,4",+12%,"5,7",-1%,"0,5",-4%,"0,2",-4%,18,-3%,D,-3%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,,,,,,,
1739,Beurre d'arachide croquant,8719153023164,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,590,,2469 kj(590 kcal),,49,,"6,2",,"7,6",,"4,7",,26,,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,
1740,Créatine Monohydrate - MyProtein,5055534302354,,,,,['MyProtein'],,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1741,Porridge pomme au four - MyMuesli - 400g,4260188787599,A,,400g,"['Kunststoff', 'Papier']",['MyMuesli'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",['MyMuesli Laden'],"['France', 'Allemagne']","['feine Haferflocken', 'Rosinen', 'Mandeln ', '7 %', 'getrocknete Apfelstücke ', '7 %', 'Zimt', 'Nelken']",,,[],,9.1 g,en quantité modérée,1.3 g,en faible quantité,14.4 g,en quantité élevée,0.02 g,en faible quantité,?,,377,-5%,1577 kj(377 kcal),-6%,"9,1",-14%,"1,3",-52%,"57,5",-6%,"14,4",-20%,"11,6",+21%,"0,02",-86%,"0,008",-86%,-2,-158%,A,-158%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,
1742,Rôti charolais,3266110098765,,,,"['Barquette', 'Film en plastique']",,,,['France'],[],,,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,"10,5",,"4,3",,"0,7",,"0,1",,20,,"0,1",,"0,04",,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
1743,Erdnüsse Geröstet Und Gesalzen 500G - 500g,4000206038315,,,500 g,,,,,"['France', 'Suisse']",[],,,[],,,,,,,,,,2575,,?,,2575 kj(615 kcal),,"50,3",,"9,1",,"13,5",,"5,4",,25,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1744,75g,3363790101010,,,75 g,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Agriculture non UE', 'en:CN-BIO-154']",,,,,,,
1745,Sauce Soja Superieure Hayin - Haiyin Bridge - 150ml,6901069106334,A,,150ml,['Glas'],['Haiyin Bridge'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,"['France', 'Allemagne']","['Wasser', 'Salz', 'Sojabohnen 13%', 'Weizenmehl', 'Zucker', 'Konservierungsstoff: E202', 'Farbstoff: E105a', 'Geschmacksverstärker: E621', 'E635']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique""]","['Gluten', 'Soja']",[],4,0 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,18 g,en quantité élevée,?,,30,-73%,126 kj(30 kcal),-72%,0,-100%,0,-100%,3,-83%,"1,5",-88%,"4,5",-30%,18,+50%,"7,2",+50%,8,-29%,C,-29%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,"['en:FSC', 'FSC Recyclé']",,http://www.heuschenschrouff.com,['China'],['Chine'],,,
1746,Lajkonik Salted Sticks,5900320002775,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,374,,1565 kj(374 kcal),,"3,6",,"0,2",,71,,"2,7",,12,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,
1747,Saveur des indes,3770010137139,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,329,,1377 kj(329 kcal),,"30,4",,"3,2",,"7,2",,"0,3",,"4,9",,"2,6",,"1,04",,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,
1748,Nouilles instantanées,6111242801479,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],[],,,[],,,,,,,,,,?,,334,+12%,1397 kj(334 kcal),+11%,"1,6",-86%,"1,2",-77%,"73,6",+82%,0,-100%,"10,6",+67%,1,-62%,"0,4",-62%,,,,,,,,,,,,,,,,,,,,
1749,Stoptou,3664346307161,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,385,,1611 kj(385 kcal),,"0,1",,0,,96,,76,,"0,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1750,Nido - Nestlé,6033000085115,,,,,['Nestlé'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Vinaigre de cidre - Vinelem - 75cl,3770005738006,B,,75cl,,['Vinelem'],"['Vinaigres', 'Vinaigres de cidre']",,['France'],"[""Vinaigre de Cidre 5° jus d'ananas"", 'jus de betterave rouge', 'jus de myrtilles', 'infusions de plantes ', 'camomille matricaire', 'framboisier', 'mauve', 'mélisse', 'millepertuis', 'olivier', 'ortie piquante', 'vigne rouge', 'sauge', 'thym', 'vanille gousse']",,,[],,,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",,,,,,,
1752,Pepsi,6091034022308,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Pommes Gala Henry 2kgs - sarl mesfruits - 2kg,3700337500019,B,,2kg,['sac plastique'],['sarl mesfruits'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",,['France'],['pommes gala'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,
1754,Le haché extra tendre - 800g,3436598136352,,,800 g,,,"['Viandes', 'Préparations de viande']",,['France'],[],,,[],,20 g,en quantité modérée,8.8 g,en quantité élevée,0.1 g,en faible quantité,0.6 g,en quantité modérée,?,,239,+17%,1000 kj(239 kcal),+17%,20,+89%,"8,8",+175%,"0,2",-98%,"0,1",-92%,"13,7",-13%,"0,6",-62%,"0,24",-62%,12,+57%,D,+57%,,,,,,,,,['Halal'],,,,,,,
1755,carottes rondelles - Bonduelle,3083681005332,B,,,,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']",,['France'],[],,,[],,0.6 g,en faible quantité,0.1 g,en faible quantité,5.1 g,en quantité modérée,0.43 g,en quantité modérée,?,,36,-3%,151 kj(36 kcal),-1%,"0,6",+55%,"0,1",+18%,"5,8",+3%,"5,1",+55%,"0,6",-52%,"0,43",-25%,"0,172",-25%,-3,,A,,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,,,,,,,,,
1756,Zdrowa paczka,5907623280008,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"0,4",,"0,2",,"76,2",,0,,"8,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1757,"Breakfast Boost Graine de lin, Tournesol, Courge.... - Linwoods",5016887003305,,,,,['Linwoods'],,,['France'],[],,,[],,,,,,,,,,?,,540,,2259 kj(540 kcal),,43,,"6,1",,8,,"6,1",,22,,"0,12",,"0,048",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05']",,,,,,,
1758,Isolat de protéine de riz - 1kg,3770006663932,,,1 kg,,,,,['France'],[],,,[],,,,,,,,,,?,,399,,1669 kj(399 kcal),,"8,54",,"3,59",,"2,63",,"0,4",,"77,6",,"0,184",,"0,074",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AT-BIO-301', 'Agriculture UE']",,,,,,,
1759,feta,9100000055275,,,,,,,,"['Autriche', 'France']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Yaourt fermier,3760262290003,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Spiruline,3373020051503,E,,,,,"['Compléments alimentaires', 'Spiruline']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,
1762,Pommes de terre à la Méditerranéenne - Toupargel,3270120593646,,,,,['Toupargel'],,,['France'],"['Pommes de terre préfrites ', '85%', ' ', 'pommes de terre', 'huile végétale de tournesol', 'dextrose de blé ou de mais', ""huile d'olive vierge extra"", 'eau', 'huile végétale de tournesol', 'ail ', '0,7%', 'basilic ', '0,6%', 'sel', 'sauge ', '0,3%', 'romarin ', '0,2%', 'amidon modifié je riz ou de maïs', 'thym ', '0,06%', 'extrait de poivre', "" Dont: acides gras '"", ""atur Glucides Dont: sucres Fibres alimentain Protéines Sel 3 270120'"", '5936']","['E14XX - Amidons modifiés', 'E570 - Acide stéarique']",,[],4,,,,,,,,,?,,182,,761 kj(182 kcal),,11,,"1,6",,17,,"0,5",,"2,2",,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,
1763,Oignons -,3700696500286,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,
1764,Orecchiette di puglia - Terre d'italia - 500g,8012666504589,,,500 g,,"[""Terre d'italia""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Orecchiette']",,"['France', 'Espagne']",[],,"['Gluten', 'Mollusques', 'Soja']",[],,1.3 g,en faible quantité,0.3 g,en faible quantité,1.6 g,en faible quantité,0.01 g,en faible quantité,1494,,352,+3%,1494 kj(352 kcal),+4%,"1,3",-8%,"0,3",-12%,72,+7%,"1,6",-40%,12,+2%,"0,01",-69%,"0,004",-69%,-4,,A,,,,,,,,,,,,,,,,,
1765,Soupe légumes du potager vermicelles - Knorr - 50cl,8710908954542,,,50 cl,,['Knorr'],"['Plats préparés', 'Soupes']",,['France'],"['eau', ""légumes': 29% "", 'carotte', 'tomate', 'potiron', 'petit pois', 'poireau', 'vermicelle cuit:9,9% ', 'semoule de BLE dur', ""blanc d'CEUF"", 'sucre', 'amidon modifié de mais', 'huile de tournesol', 'sel', 'extrait de levure,lactosérum ', 'LAIT', 'LAIT en poudre écrémé', 'jus de légumes concentrés ', 'CELERI', 'carotte', 'poireau', 'oignon', ' Peut contenir:moutarde', "" 'Légumes issus de l'agriculture durable""]",['E14XX - Amidons modifiés'],"['Céleri', 'Gluten', 'Lait']",['Non végétalien'],4,0.8 g,en faible quantité,0.1 g,en faible quantité,2.7 g,en faible quantité,0.67 g,en quantité modérée,?,,34,-40%,142 kj(34 kcal),-40%,"0,8",-59%,"0,1",-83%,"5,2",-10%,"2,7",+56%,1,-55%,"0,67",-23%,"0,268",-23%,2,+22%,B,+22%,,,,,,,,,,,,,,,,
1766,Cuisse de poulet - La Nouvelle Agriculture,0213402015415,D,,,,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],,,[],,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,?,,198,+4%,828 kj(198 kcal),+3%,14,+13%,"3,5",+4%,0,-100%,0,-100%,18,-2%,"0,2",-74%,"0,08",-74%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
1767,Sainte-Maure - Belle France,3258561430638,E,,,,['Belle France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,['France'],"['lait de chèvre 96% ', 'origine : UE', 'sel', 'présure microbienne', 'ferments lactiques', 'chlorure de calcium']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,28 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,?,,328,+15%,1372 kj(328 kcal),+16%,28,+23%,20,+25%,1,-40%,1,+3%,17,-2%,"1,3",-4%,"0,52",-4%,14,+5%,D,+5%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,['Union européenne'],,,
1768,Nut-bar,20916893,,,,,,"['Snacks', 'Snacks sucrés', 'Barres']",,['France'],"['29,2% amande', '20% chocolat de couverture noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'beurre concentré ', 'lait', 'émulsifiant: lécithines ', 'tournesol', 'arôme naturel de vanille', '19,9% arachide', 'extrait de chicorée', 'miel', '5,8% noix', 'sirop de glucose', 'crispies de riz complet ', 'farine de riz complet', '0,3% sel de mer', 'émulsifiant: lécithines ', 'tournesol', 'Chocolat de couverture noir: cacao: 53,1% minimum', ""Peut contenir des traces d'autres fruits à coque"", 'de soja', ""de graines de sésame et d'anhydride sulfureux"", 'Les valeurs nutritionnelles indiquées sont soumises aux variations biologiques habituelles des ingrédients utilisés,']","['E322i - Lécithine', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,37.1 g,en quantité élevée,7.5 g,en quantité élevée,19.7 g,en quantité élevée,0.27 g,en faible quantité,?,,547,+22%,2289 kj(547 kcal),+21%,"37,1",+81%,"7,5",-16%,"34,3",-38%,"19,7",-42%,"15,5",+85%,"0,27",-22%,"0,108",-22%,17,-1%,D,-1%,,,,,,,,,,,,,,,,
1769,Lait  entier Lilac,5410266104209,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,65,,272 kj(65 kcal),,"3,6",,"2,4",,"4,9",,"4,9",,"3,2",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,
1770,Billes apéritives au Foie Gras de Canard - Madrange - 16billes (75g),3180940085705,B,Purée de mangues enrobée d'une préparation à base de foie gras de canard (41%) et saupoudrée de pépites de graines de courge,16 billes (75 g),"['Barquette', 'Plateau', 'Opercule']",['Madrange'],"['Viandes', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,['France'],"['Foie gras de canard 41%', 'graisse de canard', 'foie maigre de canard 10%', 'eau', 'mangue 7,1%', 'sucre', 'ŒUFS', 'Cognac', 'pépites de courge toastées 1,3%', 'sel', 'protéines de LAIT', 'fécule de manioc', ""vinaigre d'alcool"", 'poivre', 'gélifiant : pectines', 'jus de citron', 'antioxydant : acide ascorbique', 'gingembre', 'conservateur : nitrite de sodium']","['E440 - Pectines', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,38 g,en quantité élevée,15 g,en quantité élevée,8.5 g,en quantité modérée,1.3 g,en quantité modérée,?,,410,-20%,1715 kj(410 kcal),-20%,38,-28%,15,-33%,"9,7",+316%,"8,5",+530%,"7,4",+6%,"1,3",+7%,"0,52",+7%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['FR 16.292.066 CE', 'Ruffec (Charente, France)']",http://www.madrange.fr,['France'],,,,
1771,Chocato Drink - COOP,7613356362932,,,,,['COOP'],,,['France'],[],,,[],,,,,,,,,,?,,69,,289 kj(69 kcal),,"1,5",,1,,10,,10,,"3,5",,"0,2",,"0,08",,,,,,,,,,,,,,"['Commerce équitable', 'Max Havelaar', 'Sans lactose']",,,,,,,
1772,Médaillons Mousse Canard au Monbazillac - Madrange - 120g (4x 30g),3180940082063,D,Mousse pur canard au Monbazillac de qualité supérieure,120 g (4 x 30 g),"['Barquette', 'Opercule', 'Plastique', 'Barquette', 'Film en plastique']",['Madrange'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",,['France'],"['Canard 76% ', 'gras et foie maigre de canard', 'Monbazillac 8% ', 'SULFITES', 'LAIT demi-écrémé', 'crème ', 'LAIT', 'farine de BLÉ', 'ŒUFS', 'sel', 'sucre', 'arôme naturel', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', ' Canard origine UE']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,36 g,en quantité élevée,18 g,en quantité élevée,2.4 g,en faible quantité,1.4 g,en quantité modérée,?,,370,-8%,1548 kj(370 kcal),-7%,36,-7%,18,+28%,"2,7",-15%,"2,4",+24%,"8,9",-4%,"1,4",-5%,"0,56",-5%,20,-2%,E,-2%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,"['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)']",https://www.madrange.fr/nos-produits/medaillons-mousse-pur-canard-au-montbazillac/,['France'],,,,
1773,Coconut yoghurt dairy free,9336243008307,,,,,,,['Woolworths'],"['Australie', 'France']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,135,,565 kj(135 kcal),,"8,4",,"7,5",,"11,4",,"5,5",,"0,8",,"0,014",,"0,006",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
1774,Yaourt Mangue Vanille - Aldi bio - 400g,4061458012775,,,400g,['Plastik'],['Aldi bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['France'],"['Joghurt mild', 'Rübenzucker', '7% Mangopüree', 'Maisstärke', 'Verdickungsmittel: Johannisbrotkernmehl', 'Zitronensaftkonzentrat', 'Bourbon - Vanilleschotenkonzentrat', 'Vanillepulver extrahiert']",,,['Non végétalien'],4,3.1 g,en quantité modérée,2 g,en quantité modérée,14.2 g,en quantité élevée,0.15 g,en faible quantité,?,,103,+12%,431 kj(103 kcal),+12%,"3,1",-5%,2,-2%,"14,5",+32%,"14,2",+41%,"4,1",+9%,"0,15",+30%,"0,06",+30%,3,-2%,C,-2%,,,,,,,,,['Bio'],,,,,,,
1775,Kässpätzle - Settele,4006986051100,,,,,['Settele'],,,['France'],[],,,[],,,,,,,,,,?,,162,,678 kj(162 kcal),,"7,4",,"3,5",,16,,"0,1",,"6,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
1776,Jambon Le Supérieur - Fleury Michon - 330.0g,3302749925024,E,,330.0 g,['Barquette'],['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,['France'],[],,,[],,2.8 g,en faible quantité,1 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,?,,116,-12%,485 kj(116 kcal),-11%,"2,8",-42%,1,-46%,"0,8",+20%,"0,8",+34%,22,+4%,"1,4",-25%,"0,56",-25%,2,-72%,B,-72%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['Nutriscore', 'Nutriscore B', 'Qualité supérieure']",,,,,,,
1777,Pommes,3760198580230,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],"['EMB 84054R', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,,
1778,Winter in Love -  - 100g,3585810071176,,,100 g,,,,,['France'],"['KAKAOSCHALEN*', '30%', 'HAGEBUTTE*', 'INGWER*', 'ZIMT*', 'JOHANNISBROT*', '10%', 'GERÖSTETE ZICHORIENWURZELN*', 'SCHOKOLADENAROMEN ', '6%', 'ROOIBOS*', 'SÜBHOLZ*', 'MANDELAROMA', 'ZIMTAROMA', ' ZUBEREITUNG: TEEÄHNLICHES ERZEUGNIS MIT 90°C HEIBEM WASSER ÜBERGIEBEN UND 4 BIS 5 MINUTEN ZIEHEN LASSEN', ' ', 'IT', ' INFUSO DI UNA MISCELA DI SPEZIE', 'CARRUBA E CACAO GUSTO CIOCCOLATO - INGREDIENTI: GUSCI DI CACAO* ', '30%', 'CINORRODI*', 'ŽENZERO*', 'CANNELLA*', 'CARRUBA* ', '10%', 'RADICI DI CICORIA GRIGLIATA*', 'AROMI CIOCCOLATO ', '6%', 'ROOIBOS*', 'LIQUIRIZIA*', '5', ' AROMA MANDORLA', 'AROMA CANNELLA', ' ORCANIO']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1779,Mountain Herbs -  - 500ml,7640114820526,,,500 ml,['Bouteille'],,"['Boissons', 'Boissons sans alcool']",['Coop to go'],"['France', 'Suisse']","[""Infusiond'herbes "", 'mélisse""', ""menthe poivrée'"", 'alchemille""', 'camomille""', 'ortie', 'verveine odorante""', ' et extrait Mate ', ""dosage de l'extrait sec: 1"", '8g/L', 'jus d\'agave concentré"" 6%', ""concentré de citron' 3%""]",,,[],1,0 g,en faible quantité,,,0 g,en faible quantité,0 g,en faible quantité,"78,8",-56%,?,,"78,8 kj(19 kcal)",-53%,0,-100%,,,"1,8",-79%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,"['Bio', 'Bio Suisse']",,,,,,,
1780,Steak haché bio village - 250g,0215089050055,E,,250 g,,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Bio', 'Viande Française', 'Viande-bovine-francaise']","['FR 56.225.001 CE', 'Saint-Léry (Morbihan, France)']",,,,,,
1781,Fromage frais au lait de chèvre,3591841211023,E,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,
1782,"Chiken, chorizo and rice soup - Marks & Spencer",00564762,,,,,['Marks & Spencer'],,,['France'],[],,,[],,,,,,,,,,?,,54,,226 kj(54 kcal),,"1,9",,"0,3",,"6,3",,1,,"2,7",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,
