,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1572,Steak Bio Sourires de campagne x2,3265980153819,,['Sourires de campagne'],,"['Bio', 'Bio européen', 'Viande Française', 'AB Agriculture Biologique', 'FR-BIO-01', 'Viande-bovine-francaise']",,['France'],"[""Lieu d'abattage FRANCE 61"", '001', '001 Lieu de découpe FRANCE 61', '001', '001 01/04/2020 SOURİRES DE Campagne CONSER Du Goot! Acteurs du bio Seurtres de Campag Ui Al PHION DES LE SOURIRE EGO Des animaux bien ēlevés N sal 260 Nos NENE']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Saucisse de Toulouse Bocaron et puree de pommes de terre - 290g,3266110056093,E,['BOCARON'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']","['Viande Française', 'Viande Porcine Française', 'Sans conservateurs']",,['France'],[],[],,,4.5 g,en quantité modérée,10.6 g,en quantité modérée,0.8 g,en quantité modérée,?,,150,-31%,628 kj(150 kcal),-32%,?,,"4,5",-30%,?,,"10,6",+1621%,"5,2",-65%,"0,8",-53%,"0,32",-53%,,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,290 g,,,,,,"['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",,,,,,,
1574,Pate de tete au jambon - Nos Recettes Privileges - 170g,3266110600098,,['Nos Recettes Privileges'],,"['Viande Française', 'Viande Porcine Française', 'Point Vert']",,['France'],"['Morceaux de tête de porc 30%', 'langue de porc', 'jambon de porc 20%', 'oignons', 'vin blanc', 'gélatine de porc', 'sel', 'arômes', 'épices et plantes aromatiques', 'dextrose', 'Persil', 'conservateur : E250', 'antioxydants : E300-E316', 'colorant : cochenille', ' Gelée de couverture : eau', 'gélatine de porc', 'vinaigre de vin blanc', 'sel', 'colorant : caramel ordinaire', 'arôme naturel', ' Décor : persil', ' Traces de lait', 'gluten et oeuf']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,141,,590 kj(141 kcal),,"8,6",,"3,1",,"2,4",,"0,4",,13,,"1,8",,"0,72",,,,,,,,,,,,,170 g,4,,"['E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique', 'E150a - Caramel E150a']",,,,,,,,,,
1575,"Quenelles Nature x12, - Saint jean - 480g",3266140055929,C,['Saint jean'],"['Plats préparés', 'Quenelles', 'Quenelles nature']",,,['France'],"['Eau', 'œufs frais', 'farine de blé 19%', 'huile de colza', 'lactose et protéines de lait', 'sel', ""extrait d'épices"", ' Peut contenir des traces de : poisson', 'custacé']",['Non végétalien'],15 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,0.94 g,en quantité modérée,?,,216,-4%,904 kj(216 kcal),-3%,15,+4%,"2,3",-46%,14,-12%,"0,5",-40%,"5,8",-14%,"0,94",-10%,"0,376",-10%,5,-36%,C,-36%,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,480 g,4,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,
1576,Gratin de Ravioles aux Noix de St Jacques & Crème safranée - Saint Jean - 290g,3266140058098,C,['Saint Jean'],"['Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Plats préparés à réchauffer au micro-ondes', 'Gratins de pâtes']",,['Carré des Halles'],['France'],"['Ravioles 38 ', 'pâte : farine de blé tendre', 'eau', 'œufs frais', 'huile de tournesol', ' Farce : emmental', 'fromage blanc frais', 'persil', 'sel', 'œufs frais', 'beurre', 'eau', 'eau', 'crème 15,6% ', 'stabilisant : carraghénanes', 'noix de Saint Jacques ', 'mollusque', ' 10,5% {Zygochlamys patagonica ', 'Argentine', ' ou Argopecten purpuratus ', 'Perou', ' ou Chlamys opercularis ', 'Royaume Uni', 'Irlande ou Iles Feroé', '}', 'emmental', 'échalote', 'beurre', 'vermouth', 'amidon transformé de pomme de terre', ""huile d'olive"", 'sel', 'épaississant : gomme xanthane', 'conservateur : sorbate de potassium', 'poivre safran']","['Non végétalien', 'Non végétarien']",11.9 g,en quantité modérée,8.1 g,en quantité élevée,1.5 g,en faible quantité,0.9 g,en quantité modérée,?,,211,+33%,883 kj(211 kcal),+35%,"11,9",+62%,"8,1",+91%,"16,7",+14%,"1,5",-17%,"9,3",+26%,"0,9",+16%,"0,36",+16%,13,+164%,D,+164%,64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,290 g,4,"['Carton', 'Barquette', 'Plastique']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']",,"['FR 26.057.031 CE', 'Bourg-de-Péage (Drôme, France)']","['États-Unis', 'Argentine', 'Chili', 'Pérou']",,,http://www.saint-jean.fr/nos-produits/les-gratins,,,
1577,Pâte à Tartiner Amandes Cacao - La Vie Claire - 220g,3266191000824,,['La Vie Claire'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux amandes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Sucre de canne roux non raffiné*', 'huile de tournesol*', 'amandes* 16%', 'lait en poudre*', 'cacao maigre en poudre* 6,5%', 'beurre de cacao*', 'poudre de vanille*']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",41 g,en quantité élevée,8.4 g,en quantité élevée,44.1 g,en quantité élevée,0.01 g,en faible quantité,2443,,587,+9%,2443 kj(587 kcal),+12%,41,+11%,"8,4",+29%,"44,8",+20%,"44,1",+42%,"7,7",-27%,"0,01",-95%,"0,004",-95%,20,+38%,E,+38%,,,,,,,,220 g,3,"['Bocal', 'Verre']",,"['Lait', 'Fruits à coque']",,,,,,,,,
1578,100% pur jus pomme - La Vie Claire,3266191001180,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Bio', 'Bio européen', 'FR-BIO-01']",['La Vie Claire'],['France'],['Jus de pomme'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0.002 g,en faible quantité,10.5 g,en quantité élevée,0.006 g,en faible quantité,197,+4%,?,,197 kj(47 kcal),+3%,"0,1",-44%,"0,002",-94%,11,0%,"10,5",+1%,"0,1",-54%,"0,006",-52%,"0,002",-52%,4,-4%,C,-4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,1,,,,,,,,,,,,
1579,Jus du Potager 7 légumes - La Vie Claire - 75cl,3266191001289,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes']","['Bio', 'Bio européen', 'Point Vert', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Jus de tomates', 'jus de carottes', 'jus de betteraves rouges', 'jus de concombre', 'jus de céleri', 'jus de choucroute', ""jus d'oignon"", 'sel de mer', 'jus de citron', ""extrait d'épices"", ""jus d'aneth""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.05 g,en faible quantité,0.01 g,en faible quantité,2.4 g,en faible quantité,0.63 g,en quantité modérée,59,-42%,14,-46%,59 kj(14 kcal),-45%,"0,05",-71%,"0,01",-68%,"2,4",-55%,"2,4",-49%,"0,6",-11%,"0,63",+110%,"0,252",+110%,-4,,B,,,,,,,,,75 cl,3,"['Bouteille', 'Verre']",,,,,,,,,,,
1580,Coquillettes Maïs et Riz - La Vie Claire - 500g,3266191007441,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Coquillettes']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Farine de maïs jaune 34%', 'farine de maïs blanc 33%', 'farine de riz 33%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.3 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0.01 g,en faible quantité,1568,+5%,?,,1568 kj(375 kcal),+6%,"1,3",-37%,"0,3",-40%,"82,3",+22%,"1,2",+15%,7,-38%,"0,01",-56%,"0,004",-56%,-1,,A,,,,,,,,,500 g,1,"['Sachet', 'Plastique']",,,,,,Pâtes alimentaires sans gluten,,,,,
1581,Lunettes à la fraise - La Vie Claire - 200g,3266191007649,C,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits à la fraise', 'Lunettes à la fraise']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Biscuit 80% : Farine de blé* ', 'sucre de canne*', 'huile de palme non hydrogénée* ', 'œufs*', 'poudres à lever : phosphates de calcium et carbonates de sodium', ' Fourrage fraise 20% : Sirop de blé* sucre de canne* ', 'purée de fraise* 20%', 'gélifiant : pectines', 'arôme naturel', 'acidifiant : acide citrique', "" *Ingrédients agricoles issus de l'Agriculture Biologique""]","['Huile de palme', 'Non végétalien']",15 g,en quantité modérée,7.3 g,en quantité élevée,36.7 g,en quantité élevée,0.09 g,en faible quantité,1860,+12%,?,,1860 kj(445 kcal),+11%,15,+60%,"7,3",+78%,"69,7",-4%,"36,7",-7%,"5,9",+15%,"0,09",-78%,"0,036",-78%,18,+9%,D,+9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,4,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E330 - Acide citrique']","['Œufs', 'Gluten']",,,,,['Huile de palme'],,,,
1582,Purée noisette cajou cachuetes - La Vie Claire - 300g,3266191007885,,['La Vie Claire'],['Epicerie'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Noisettes toastées* 35%* noix de cajou* 35%', 'arachides* 30%', "" *Ingrédients agricoles issus de l'agriculture Biologique""]",[],53 g,en quantité élevée,7 g,en quantité élevée,5.7 g,en quantité modérée,0.03 g,en faible quantité,?,,625,+196%,2615 kj(625 kcal),+196%,53,+268%,7,+274%,12,+3%,"5,7",-15%,20,+622%,"0,03",-99%,"0,012",-99%,9,-18%,C,-18%,,,,,,,,300 g,1,['Bocal'],,['Arachides'],,,,,,,,,
1583,Palets bretons - La Vie Claire - 130g,3266191008677,C,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Farine de blé T65* 44%', 'beurre doux de baratte* ', '29%', 'sucre de canne blond non raffiné*', 'oeufs frais entiers* 9,3%', ""jaunes d'oeufs*"", 'sel marin gris de Guérande', 'poudres à lever ', 'phosphates de calcium', 'carbonates de sodium', ""carbonates d'ammonium"", "" *Ingrédients agricoles issus de l'Agriculture Biologique"", "" Peut contenir des traces d'amande et de graines de sésame""]",['Non végétalien'],25.8 g,en quantité élevée,16.9 g,en quantité élevée,27.3 g,en quantité élevée,0.76 g,en quantité modérée,?,,506,+13%,2117 kj(506 kcal),+13%,"25,8",+58%,"16,9",+175%,61,-9%,"27,3",-14%,"6,1",-17%,"0,76",+61%,"0,304",+61%,24,+42%,E,+42%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,130 g,3,['Boite de 8'],"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Œufs'],['Bretagne'],,['France pour 85\xa0%'],,,,,,
1584,Préparation de miel pollen gelée royale bio - La Vie Claire - 250g,3266191010120,,['La Vie Claire'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel']",['Bio'],['La Vie Claire'],['France'],"['Miel de fleurs* 90%', 'pollen* 6%', 'gelée royale* 4%', "" *Ingrédients agricoles issus de l'Agriculture Biologique,""]","['Sans huile de palme', 'Non végétalien']",0.6 g,en faible quantité,0.1 g,en faible quantité,73.1 g,en quantité élevée,0 g,en faible quantité,?,,323,+1%,1351 kj(323 kcal),+0%,"0,6",+206%,"0,1",+101%,"76,7",-5%,"73,1",-1%,"2,2",+349%,0,-100%,0,-100%,14,+4%,D,+4%,,,,,,,,250g,3,,,,,,,,,,,,
1585,Huile Vierge De Cameline - La Vie Claire - 25cl,3266191010861,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de cameline']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],['huile de cameline'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+9%,3766 kj(900 kcal),+9%,100,+9%,12,+15%,0,,0,,0,,0,,0,,11,-4%,D,-4%,,,,,,,,25 cl,2,['Bouteille en verre'],,,,,,,,,,,
1586,Miel de lavande - Savoir Faire Artisanal PROVENCE - 250g,3266191011028,B,['Savoir Faire Artisanal PROVENCE'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['Bio'],,['France'],[],[],0.01 g,en faible quantité,0.01 g,en faible quantité,0.01 g,en faible quantité,0.001 g,en faible quantité,?,,1,-100%,4 kj(1 kcal),-100%,"0,01",-93%,"0,01",-88%,"0,01",-100%,"0,01",-100%,"0,01",-97%,"0,001",-97%,0,-97%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,250 g,,,,,,,,,,,,,
1587,Pâtes spirales demi-complètes - La vie Claire - 500g,3266191012247,B,['La vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']","['Bio', 'Bio européen', 'FR-BIO-01']",['La Vie Claire'],['France'],"[""Semoule de blé dur demi-complète* *Ingrédient agricole issu de l'Agriculture Biologique""]",[],1.7 g,en faible quantité,0.45 g,en faible quantité,3.78 g,en faible quantité,0.005 g,en faible quantité,?,,351,-1%,1469 kj(351 kcal),-2%,"1,7",-15%,"0,45",+2%,"70,8",+1%,"3,78",+21%,"11,5",-8%,"0,005",-82%,"0,002",-82%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,,['Sachet plastique à jeter'],,['Gluten'],,,,,,,,,
1588,"Pâtes complètes, Spaghetti Bio - La Vie Claire - 500g",3266191012308,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Spaghetti', 'Pâtes de blé dur complet', 'Spaghettis de blé dur', 'Spaghettis de blé dur complet', 'en:whole-wheat-spaghetti']","['Bio', 'Ecocert', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Riche en fibres', 'IT-BIO-007', 'AB Agriculture Biologique', 'en:Agriculture Italie', 'en:Eco-Emballages', 'en:Fabrication italienne traditionnelle']",['La Vie Claire'],['France'],"['Semoule de blé dur complète*', ' \r *Ingrédient agricole issu de l’Agriculture Biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.7 g,en faible quantité,0.58 g,en faible quantité,5 g,en quantité modérée,0.006 g,en faible quantité,1453,-0%,?,,1453 kj(347 kcal),-0%,"2,7",+26%,"0,58",+40%,"64,5",-1%,5,+44%,"11,2",-11%,"0,006",-58%,"0,002",-58%,-5,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,1,"['Sachet plastique à trier ?', 'sachet plastique à trier ?']",,['Gluten'],['Italie'],,['Agriculture Italie'],Pâtes alimentaires au blé dur complet issu de l'agriculture biologique,,http://www.lavieclaire.com/spaghetti-complets-bio.html,,,
1589,Tortilla - La Vie Claire - 125g,3266191013237,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Pains', 'Pains plats', 'Pains blancs', 'Chips de maïs', 'Pains de blé', 'Tortillas de blé']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Farine de maïs 74,5%', 'huile de tournesol non hydrogénée', 'mélange au chili 4%', 'sel', 'poivron', 'ail', 'oignons', 'sucre', 'coriandre', 'chili', 'fenugrec', 'livèche']",[],21.5 g,en quantité élevée,2.2 g,en quantité modérée,1.5 g,en faible quantité,1.3 g,en quantité modérée,?,,480,+53%,2008 kj(480 kcal),+53%,"21,5",+206%,"2,2",+40%,"62,8",+21%,"1,5",-26%,"6,7",-20%,"1,3",-2%,"0,52",-2%,8,+40%,C,+40%,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,125g,3,['sachet plastique'],,,,,,,,,,,
1590,Gingembre Confit de Chine - Filiere La Vie Claire - 250g,3266191016948,B,"['Filiere La Vie Claire', 'Filiere la vie clair']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre']",['Bio'],['La Vie Claire'],['France'],"['gingembre ', '48%', 'sucre de canne ', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,78.7 g,en quantité élevée,0.025 g,en faible quantité,?,,352,+54%,1473 kj(352 kcal),+55%,"0,3",-39%,"0,1",-28%,"86,2",+68%,"78,7",+100%,"0,5",-51%,"0,025",-93%,"0,01",-93%,,,,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,250g,3,,,,,,,,,,,,
1591,Hibiscus fleurs séchées - La Vie Claire - 100g,3266191017686,,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,100 g,,,,,,,,,,,,,
1592,Sencha Zhejiang - La Vie Claire - 100g,3266191017839,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés verts japonais', 'Thés Sencha', 'Thés verts chinois']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"[""Feuilles de thé vert issu de l'Agriculture Biologique""]",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,100 g,,,,,,,,,,,,,
1593,Curcuma - La Vie Claire - 80g,3266191021485,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma']",['Bio'],['La Vie Claire'],['France'],"[""curcuma* agricole issu de l'Agriculture Biol""]",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-67%,0,-100%,0,-100%,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,80g,,['Pot'],,,['Madagascar'],['P47943'],"[""Ingrédients agricoles issus de l'agriculture biologique""]",,,,,,
1594,Pain azyme au froment - La Vie Claire - 200g,3266191023564,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes', 'Pains azymes à la farine de blé', 'Pains azymes à la farine de froment', 'Pains azymes à la farine de blé T65']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],"['Farine de blé tendre type 65*', "" *Ingrédient agricole issu de l'Agriculture biologique""]",[],1.2 g,en faible quantité,0.3 g,en faible quantité,2.7 g,en faible quantité,0 g,en faible quantité,?,,375,,1569 kj(375 kcal),-1%,"1,2",-15%,"0,3",+5%,"78,2",-2%,"2,7",-4%,11,+3%,0,-100%,0,-100%,-4,,A,,,,,,,,,200 g,,"['Sachet', 'Plastique', 'Etui', 'Carton']",,['Gluten'],,,,,,,,,
1595,Guimauves - Tutti frutti - La Vie Claire - 100g,3266191026114,B,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans colorants']",['La Vie Claire'],['France'],"['Sirop de glucose', 'sucre', 'sirop de glucose fructose', 'amidon de maïs', 'gélatine', 'arômes naturels', 'jus de betterave concentrée', 'curcuma']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,81 g,en quantité élevée,0.02 g,en faible quantité,1462,-3%,344,-2%,1462 kj(344 kcal),-1%,0,-100%,0,-100%,82,+7%,81,+26%,"4,2",+16%,"0,02",-65%,"0,008",-65%,14,-11%,D,-11%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,100 g,4,"['Sachet', 'Plastique']",['E428 - Gélatine'],,['France'],,,,,,,,
1596,Toasts au mais et zu riz - La Vie Claire - 150g,3266191035963,,['La Vie Claire'],,"['Bio', 'en:gluten-free']",['La Vie Claire'],['France'],"['Farine de maïs* 60 %', 'farine de riz blanc* 39%', 'sel marin', "" *Ingrédients agricoles issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,326,,1364 kj(326 kcal),,"0,9",,"0,2",,73,,"0,7",,"5,5",,"0,96",,"0,384",,,,,,,,,,,,,150 g,,,,,,,,,,,,,
1597,Tofu soyeux - La Vie Claire - 400g,3266191053974,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['La Vie Claire'],['France'],[],[],2.9 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en faible quantité,0.1 g,en faible quantité,?,,54,-64%,226 kj(54 kcal),-64%,"2,9",-67%,"0,5",-65%,"1,4",-36%,"0,9",+45%,"5,2",-63%,"0,1",-85%,"0,04",-85%,-3,,A,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,400 g,,,,,,,,,,,,,
