,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
1353,Krabben - Delicias - 100g,,,['Delicias'],,,,['France'],"['97% crevettes de la Mer du Nord ', 'crustacés', 'sel', 'conservateur: acide benzoïque', "" correcteur d'acidité: acide citrique"", ' Conditionné sous atmosphère protectrice', ' Ne peut pas être conge!é', ' Après ouvertdre', 'à consommer sous 1 jour']",[],?,,385,,1,,0,,20,,,,,,,,,100 g,,,,,,,,,,,,,,1611 kj(385 kcal),,"0,3",,0,,"1,93",,"0,772",,,,,,,,,,20078744
1354,Cornichons aigre doux - Silberkranz,,,['Silberkranz'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,['France'],[],[],?,,29,+7%,"0,2",-32%,"4,5",+31%,"1,2",+19%,,,,,,,,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,1.4 g,en quantité modérée,121 kj(29 kcal),+13%,0,-100%,4,+53%,"1,4",-19%,"0,56",-19%,1,-54%,B,-54%,,,,,20078911
1355,Saumon norvégien,,,,,,,['France'],[],[],?,,204,,"14,1",,0,,"19,3",,,,,,,,,,,,,,,,,,,,,,,854 kj(204 kcal),,2,,0,,"0,1",,"0,04",,,,,,,['ASC-C-00026'],,,20079499
1356,Paprika erdnüsse - Pfiff  - 200g,,,['Pfiff'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20080457
1357,Chips saveur paprika - Pfiff - 200g,B,"['Sachet', 'Plastique']",['Pfiff'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips au paprika', ""Chips de pommes de terre à l'huile de tournesol""]",['Fabriqué en France'],['France'],['France'],"['Pommes de terre', 'huile de tournesol ', '35 %', 'assaisonnement saveur paprika ', 'arôme naturel', 'lactose', 'exhausteur de goût : glutamate monosodique', 'dextrose', 'sel', 'chapelure de blé ', 'farine de blé', 'sel', 'protéines de lait', 'huile de tournesol', 'sel']",['Non végétalien'],2280,+5%,?,,35,+9%,"50,2",-1%,"5,4",-10%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,200g,['Norma'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,35 g,en quantité élevée,3.3 g,en quantité modérée,1.4 g,en faible quantité,1.74 g,en quantité élevée,2280 kj(545 kcal),+4%,"3,3",+11%,"1,4",-44%,"1,74",+11%,"0,696",+11%,11,-13%,D,-13%,,,,,20080990
1358,Skagen Salad - Vitakrone - 400g e,,"['Frais', 'Plastique']","['Vitakrone', 'Lidl']","['Plats préparés', 'Salades', 'Salades composées', 'Réfrigérés', 'Plats préparés réfrigérés']",['Point Vert'],['Allemagne'],"['France', 'Allemagne']",[],[],?,,411,+126%,"40,9",+346%,"5,9",-60%,"4,7",-37%,,,,,,,,400 g e,['Lidl'],,"['Fiskprotein', 'Loddarom', 'Nordhavsrâkor', 'Àggula', 'Âggvita']",,,40.9 g,en quantité élevée,3.3 g,en quantité modérée,2.8 g,en faible quantité,1.8 g,en quantité élevée,1720 kj(411 kcal),+128%,"3,3",+17%,"2,8",+29%,"1,8",+75%,"0,72",+75%,15,+203%,D,+203%,"['FAO N°21', 'FAO N°27']",,,,20082192
1359,Frischkäse mit frischem Paprika,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20082505
1360,Brownie -,B,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés']","['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",,['France'],[],[],?,,321,+20%,"15,7",+33%,"39,6",+8%,"4,2",+43%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,15.7 g,en quantité modérée,10.8 g,en quantité élevée,26 g,en quantité élevée,0.3 g,en quantité modérée,1343 kj(321 kcal),+20%,"10,8",+21%,26,-2%,"0,3",+96%,"0,12",+96%,20,+27%,E,+27%,,,,,20082642
1361,Gelatti Schoko & Kaffee - 292g,,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,292 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20082666
1362,Gelatti Klassik Edition - 288g,,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,288 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20082673
1363,Vitalität - Gemüsesaft - 1l,,['Tetra Pack'],,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,1 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20083090
1364,Froot Loops - Lidl - 500g,C,"['Boîte', 'Carton', 'Plastique']",['Lidl'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,['Allemagne'],['France'],"['77 % céréales ', 'farine de blé', ""farine d'avoine complète"", 'semoule de maïs', 'sucre', 'sirop de glucose', 'sel', 'extraits colorants de plantes et de fruits ', 'baie de sureau', 'carotte noire', 'colorants : extrait de paprika', 'caroténoïdes ', ' arôme naturel de citron avec autres arômes naturels']",[],1608,-5%,?,,"0,8",-91%,"80,8",+21%,"9,9",+6%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,500 g,['Lidl'],"['E160c - Extrait de paprika', 'E160 - Caroténoïdes']","['Gluten', 'Avoine']",4,Anneaux de céréales croustillants au goût fruité,0.8 g,en faible quantité,0.3 g,en faible quantité,22.9 g,en quantité élevée,0.65 g,en quantité modérée,1608 kj(384 kcal),-4%,"0,3",-86%,"22,9",+37%,"0,65",+82%,"0,26",+82%,7,+30%,C,+30%,,,,,20083284
1365,Ines confiture - Materne,,,['Materne'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20084141
1366,"4 Côtes De Porc, 700g - Big west",E,,['Big west'],"['Viandes', 'Porc', 'Côtes de porc']",,,['France'],[],[],?,,221,+15%,"16,5",+41%,"0,3",-59%,18,-7%,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,,,,,16.5 g,en quantité modérée,7.3 g,en quantité élevée,0 g,en faible quantité,0.19 g,en faible quantité,925 kj(221 kcal),+15%,"7,3",+53%,0,-100%,"0,19",-80%,"0,076",-80%,4,-41%,C,-41%,,,,,20085667
1367,Miel de Fleurs Liquide - Être Bio - 500g,A,"['Verre', 'Bocal', 'métal']",['Être Bio'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels liquides']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1283,-5%,?,,"< 0,1",+4%,"75,1",-6%,"0,4",+31%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,['Norma'],,,2,Miel de fleurs,0.1 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.0254 g,en faible quantité,1283 kj(307 kcal),-4%,"< 0,1",+413%,75,-1%,"0,025",+75%,"0,01",+75%,,,,,"['Monde', 'Communauté Européenne', 'Hors Communauté Européenne']",,,,20087944
1368,Rübezahl Schokoladen GMBH Choco Star Rice Vollmilch - Excelsior,,,['Excelsior'],,,,['France'],"['sucre', 'graisses végétales ', 'palme', 'karité', 'riz soufflé', 'beurre de cacao', 'poudre de lait entier', 'dextrose', 'lactosérum en poudre', 'pâte de cacao', 'farine de maïs', 'farine de riz', 'cacao maigre en poudre 3 %', 'lactose', ""émulsifiant : lécithines de tournesol extrait de malt d'orge"", 'extrait de vanille', 'sel', ' Peut contenir des traces de noisettes', ""d'amandes"", 'de blé et de soja']","['Huile de palme', 'Non végétalien']",?,,535,,"31,4",,"55,5",,"5,6",,,,,,,,,,,['E322i - Lécithine'],['Lait'],4,,,,,,,,,,2238 kj(535 kcal),,24,,"42,4",,"0,21",,"0,084",,,,,,,,,,20087975
1369,"Choco Star Rice, Zartbitter",,,,,"['Agriculture durable', 'en:UTZ Certified']",,['France'],[],[],?,,549,,"33,7",,"53,1",,"5,3",,,,,,,,,,,,,,,,,,,,,,,2297 kj(549 kcal),,"25,6",,"38,8",,"0,15",,"0,06",,,,,,,,,,20087982
1370,Bateaux myrtille,,,,,,,['France'],[],[],?,,351,,"0,1",,83,,"4,6",,,,,,,,,,,,,,,,,,,,,,,1469 kj(351 kcal),,"0,05",,"55,8",,"0,03",,"0,012",,,,,,,,,,20088873
1371,"Milchreis Schoko , Mit 15 % Schokozubereitung - Landfein",,,['Landfein'],,,,['France'],[],[],?,,129,,"2,9",,"22,3",,"3,1",,,,,,,,,,,,,,,,,,,,,,,540 kj(129 kcal),,"1,9",,"14,3",,"0,28",,"0,112",,,,,,,,,,20090203
1372,Puten Grillies Classic - Lidl - 300g,,,['Lidl'],,,,"['France', 'Allemagne']",[],[],?,,148,,7,,1,,20,,,,,,,,,300 g,,,,,,,,,,,,,,619 kj(148 kcal),,"1,5",,"0,5",,"1,5",,"0,6",,,,,,,,,,20090302
1373,Puten Coppa - Dulano - 70g ℮,,,['Dulano'],,,,"['France', 'Allemagne']",[],[],688,,?,,"5,5",,1,,"27,5",,,,,,,,,70 g ℮,['LIDL'],,,,,,,,,,,,,688 kj(164 kcal),,"1,7",,1,,"4,5",,"1,8",,,,,,,['DE EV 1 EG'],,,20090746
1374,Saucisse de foie,,,,,,,['France'],[],[],?,,302,,26,,3,,14,,,,,,,,,,,,,,,,,,,,,,,1264 kj(302 kcal),,9,,"1,9",,"2,4",,"0,96",,,,,,,,,,20092726
1375,Fromage - Milbona,,,['Milbona'],,,,['France'],[],[],?,,357,,29,,"0,1",,"23,5",,,,,,,,,,,,,,,,,,,,,,,1494 kj(357 kcal),,"18,9",,"0,1",,"0,8",,"0,32",,,,,,,,,,20093204
1376,Ananas pur fruit pressé - Solevita - 1le,D,,['Solevita'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",,,['France'],[],[],?,,?,,?,,?,,?,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1le,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20093873
1377,Chocolats au lait /amaretto - Favorina,,,['Favorina'],,,,['France'],[],[],?,,484,,24,,"55,4",,"4,5",,,,,,,,,,,,,,,,,,,,,,,2025 kj(484 kcal),,"14,5",,55,,"0,14",,"0,056",,,,,,,,,,20094737
1378,Erdnuss Berge - Excelsior,,,['Excelsior'],,,,['France'],[],[],?,,596,,?,,?,,"17,7",,,,,,,,,,,,,,,,,,,,,,,2494 kj(596 kcal),,"13,4",,"30,1",,"0,16",,"0,064",,,,,,,,,,20094867
1379,Leckerrom Schmelzkäse scheiben,,,,,,,['France'],[],[],?,,295,,23,,5,,"17,5",,,,,,,,,,,,,,,,,,,,,,,1234 kj(295 kcal),,"16,8",,5,,"2,25",,"0,9",,,,,,,,,,20097578
1380,Leckerrom Schmelzkäse scheiben Chester,,,,,,,['France'],[],[],?,,295,,23,,5,,17,,,,,,,,,,,,,,,,,,,,,,,1234 kj(295 kcal),,"16,8",,5,,"2,25",,"0,9",,,,,,,,,,20097585
1381,Tvaroh jemný - 250g,,,,,,,['France'],[],[],?,,101,,"1,7",,"4,2",,17,,,,,,,,,250 g,,,,,,,,,,,,,,423 kj(101 kcal),,"1,2",,"4,2",,"0,08",,"0,032",,,,,,,,,,20097653
1382,Tortellini In Käsecreme Sauce Mit Schinken - Lechef,,,['Lechef'],['Boissons'],,,['France'],"['Reconstituted grape and/or Pear concentrate', 'Reconstituted orange concentrate', 'Guava purée', 'Reconstituted granadilla concentrate', 'Vitamin A', 'Vitamin E', 'Ascorbic acid Citric acid', 'Flavouring', 'Antifoaming agent', ' TYPICAL NUTRITIONAL INFORMATION 0', ' ', '13']",[],?,,42,-25%,"0,1",-71%,9,-20%,"0,8",+61%,,,,,,,,,,['E175 - Or'],,4,,0.1 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,5 g,en quantité élevée,176 kj(42 kcal),-27%,0,-100%,9,-5%,5,+11948%,2,+11948%,22,+187%,E,+187%,,,,,20097943
1383,Crêpes Mix'it - Belbake - 200g,,"['Flacon', 'Plastique']",['Belbake'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour crêpes']",,['Allemagne'],['France'],"['Farine de blé', 'sucre', 'oeuf entier en poudre ', '7,5%', 'sirop de glucose', 'arôme', 'sel iodé ', 'sel', 'iodate de potassium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,,,,,,,,200 g,['LIDL'],,"['Œufs', 'Gluten']",4,Préparation pour crêpes Mix'it,,,,,,,,,,,,,,,,,,,,,,,,,,,20098124
1384,Pizza 3 fromages,C,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux trois fromages']",,,['France'],[],[],?,,238,-4%,"11,2",+18%,"21,1",-23%,"12,3",+10%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,,,,,,11.2 g,en quantité modérée,6.2 g,en quantité élevée,1.1 g,en faible quantité,1 g,en quantité modérée,996 kj(238 kcal),-3%,"6,2",+23%,"1,1",-56%,1,-19%,"0,4",-19%,12,+17%,D,+17%,,,,,20098674
1385,Viande Hachée - L etal du boucher - 500g,,,"['L etal du boucher', ""L'étal du boucher""]","['Viandes', 'Bœuf']","['Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,,252,+41%,20,+106%,0,-100%,17,-15%,,,,,,,,500 g,,,,,,20 g,en quantité modérée,8.5 g,en quantité élevée,0 g,en faible quantité,0.17 g,en faible quantité,1054 kj(252 kcal),+40%,"8,5",+114%,0,-100%,"0,17",-85%,"0,068",-85%,11,+110%,D,+110%,['France'],"['FR 43.190.003 CE', 'Saint-Germain-Laprade (Haute-Loire, France)']",,,20099466
1386,20099815,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20099815
1387,Aldi Grissini Rustici - Sondey,,,['Sondey'],,['Fabriqué en Italie'],,['France'],"['farine de blé', ""6,5% huile d'olive} sel iodé "", 'sel', '0,007% iodate de potassium', '/ levure', 'arômes naturels', ' Peut des traces de soja']",[],?,,409,,8,,70,,12,,,,,,,,,,['LIDL'],,['Gluten'],4,,,,,,,,,,1711 kj(409 kcal),,"1,3",,"1,7",,"2,6",,"1,04",,,,,,,,,,20099862
1388,Edelbitter Schokolade 70% - Excelsior,E,,"['Excelsior', 'Norma']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],[],[],?,,560,+1%,42,+7%,"29,8",-23%,"8,6",+12%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,42 g,en quantité élevée,26.1 g,en quantité élevée,24.7 g,en quantité élevée,0.02 g,en faible quantité,2343 kj(560 kcal),+1%,"26,1",+13%,"24,7",-22%,"0,02",-57%,"0,008",-57%,21,-1%,E,-1%,,,,,20099923
1389,Baguette sur sole,,,,,,,['France'],[],[],?,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),,1,,1,,1,,"0,4",,,,,,,,,,2010000003923
1390,Demi Baguette x2,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,['France'],[],[],?,,?,,?,,?,,?,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010000004456
1391,Mini viennoiseries x10,,,,,,,['France'],[],[],?,,1,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),,1,,1,,1,,"0,4",,,,,,,,,,2010000004937
1392,Donuts chocolat -,B,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,['France'],[],[],?,,432,+6%,27,+18%,40,-11%,"6,9",+17%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,27 g,en quantité élevée,13 g,en quantité élevée,13 g,en quantité élevée,1.1 g,en quantité modérée,1807 kj(432 kcal),+6%,13,+23%,13,-23%,"1,1",+16%,"0,44",+16%,21,+8%,E,+8%,,,,,2010000006924
1393,Beignets bretzel -,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Beignets sucrés']",,,['France'],[],[],?,,130,-63%,30,+90%,20,-56%,"0,3",-95%,,,,,,,,,,,,,,30 g,en quantité élevée,30 g,en quantité élevée,20 g,en quantité élevée,0.6 g,en quantité modérée,544 kj(130 kcal),-63%,30,+765%,20,+23%,"0,6",-19%,"0,24",-19%,17,+42%,D,+42%,,,,,2010000008904
1394,Coulant gourmant,,,,,,,['France'],[],[],?,,424,,25,,42,,"6,9",,,,,,,,,,,,,,,,,,,,,,,1774 kj(424 kcal),,15,,35,,"0,12",,"0,048",,,,,,,,,,2010000013359
1395,Jalousie aux pommes,,,,,,,['France'],[],[],?,,268,,10,,38,,"5,1",,,,,,,,,,,,,,,,,,,,,,,1121 kj(268 kcal),,"6,7",,14,,"0,83",,"0,332",,,,,,,,,,2010000014486
1396,Asperges en chocolat,,,,,,,['France'],[],[],?,,516,,"32,42",,"53,14",,"5,42",,,,,,,,,,,,,,,,,,,,,,,2159 kj(516 kcal),,"12,54",,"50,15",,"0,56",,"0,224",,,,,,,,,,2010000040010
1397,Tarte bueno,,,,,,,['France'],[],[],?,,539,,41,,37,,"5,8",,,,,,,,,,,,,,,,,,,,,,,2255 kj(539 kcal),,30,,15,,"0,66",,"0,264",,,,,,,,,,2010000077054
1398,Confiture de lait nature - M. Gosselin - 430g,B,,['M. Gosselin'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,['France'],[],[],?,,288,-3%,"3,5",-37%,57,+3%,"7,4",+14%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,430 g,,,,,,3.5 g,en quantité modérée,1.9 g,en quantité modérée,56 g,en quantité élevée,0.35 g,en quantité modérée,1205 kj(288 kcal),-3%,"1,9",-41%,56,+10%,"0,35",+4%,"0,14",+4%,15,-10%,D,-10%,,,,,2010000278963
1399,Sirop à la pêche de vigne,B,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",,,['France'],[],[],?,,300,+17%,0,-100%,74,+8%,"0,1",-29%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,1255 kj(300 kcal),+13%,0,-100%,73,+12%,"0,01",-71%,"0,004",-71%,,,,,,,,,2010000289822
1400,Miel toutes fleurs du Cotentin,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010000332276
1401,Amandel speculoos,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010000705001
1402,Oeufs tout praliné,,,,,,,['France'],[],[],?,,541,,31,,59,,"5,5",,,,,,,,,,,,,,,,,,,,,,,2264 kj(541 kcal),,15,,57,,"0,01",,"0,004",,,,,,,,,,2010000730010
1403,Chocolat form sirene,,,,,,,['France'],[],[],?,,554,,"36,7",,"42,8",,"10,3",,,,,,,,,,,,,,,,,,,,,,,2318 kj(554 kcal),,22,,41,,"2,4",,"0,96",,,,,,,,,,2010001610014
1404,Boulot long - Leclerc,,,['Leclerc'],,,,['France'],"['BOULOT LONG Ingrédients : farine de blé', 'eau', 'levure', ' sel', 'GLUTEN DE BLÉ', ' farine de blé malté', 'levure desactivee', 'agent de traitement de la farine E300', 'enzymes ', 'alpha-amylase,endoxylanase']",[],?,,215,,"0,7",,45,,"6,8",,,,,,,,,,,"['E300 - Acide ascorbique', 'E1100 - Amylases']",['Gluten'],4,,,,,,,,,,900 kj(215 kcal),,0,,"1,1",,"1,3",,"0,52",,,,,,,,,,2010005000002
1405,Gianduja - Jacques Bockel,,,['Jacques Bockel'],,,,['France'],[],[],?,,567,,"39,94",,"45,15",,"6,47",,,,,,,,,,,,,,,,,,,,,,,2372 kj(567 kcal),,"16,6",,"43,04",,"0,21",,"0,084",,,,,,,,,,2010005360014
1406,Praliné à l'ancienne,,,,,,,['France'],[],[],?,,518,,"32,66",,51,,"7,76",,,,,,,,,,,,,,,,,,,,,,,2167 kj(518 kcal),,"12,63",,"48,54",,"0,5",,"0,2",,,,,,,,,,2010005430014
1407,Pralin Biscuit coco - Jacques bockel,,,['Jacques bockel'],,,,['France'],[],[],?,,557,,"34,9",,"50,2",,"8,9",,,,,,,,,,,,,,,,,,,,,,,2330 kj(557 kcal),,"13,84",,"42,4",,"0,15",,"0,06",,,,,,,,,,2010005480019
1408,Maltitol lait - Jacques Bockel,,,['Jacques Bockel'],,['Adapté aux diabétiques'],,['France'],"['édulcorant Maltitol ', 'E965', 'poudre de LAIT entier', 'beurre de cacao', 'masse de cacao', 'émulsifiant : lécithine de SOJA ', 'E322', 'arôme vanille naturelle']",['Non végétalien'],?,,490,,"35,1",,"51,6",,"7,3",,,,,,,,,,,"['E965 - Maltitol', 'E322i - Lécithine', 'E322 - Lécithines']","['Lait', 'Soja']",4,,,,,,,,,,2050 kj(490 kcal),,"21,6",,"9,2",,"0,087",,"0,035",,,,,,,,,,2010005490018
1409,Chocolat Maltitol Noir - Jacques Bockel,E,,['Jacques Bockel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants']",,,['France'],"['masse de cacao', 'édulcorant Maltitols ', 'E965', 'beurre de cacao', 'émulsifiant : lécithine de SOJA ', 'E322', 'arôme vanille naturelle ', 'peut contenir des traces de LAIT', 'et de FRUITS À COQUES', ',']",[],?,,457,-9%,"35,1",-10%,"47,1",+26%,"5,5",-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,"['E965 - Maltitol', 'E322i - Lécithine', 'E322 - Lécithines']","['Lait', 'Soja']",4,,35.1 g,en quantité élevée,21.4 g,en quantité élevée,0.3 g,en faible quantité,0.0051 g,en faible quantité,1912 kj(457 kcal),-9%,"21,4",-7%,"0,3",-64%,"0,005",-87%,"0,002",-87%,10,-24%,C,-24%,,,,,2010005500014
1410,AIOLI,D,,,"['Epicerie', 'Sauces', 'Aïolis']",,,['France'],[],[],?,,717,+17%,"78,3",+19%,"4,4",+23%,"1,5",+6%,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,,,,,,,78.3 g,en quantité élevée,6.2 g,en quantité élevée,4.2 g,en faible quantité,1.75 g,en quantité élevée,3000 kj(717 kcal),+19%,"6,2",-9%,"4,2",+253%,"1,75",+38%,"0,7",+38%,21,+15%,E,+15%,,,,,2010010699994
1411,Barre de pate d'amandes au chocolat,D,,,"['Massepain', ""Pâtes d'amande""]","['Agriculture durable', 'en:UTZ Certified']",,['France'],[],[],?,,447,+1%,18,+8%,"62,6",-4%,"6,1",-2%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,18 g,en quantité modérée,4.4 g,en quantité modérée,62.1 g,en quantité élevée,0.03 g,en faible quantité,1870 kj(447 kcal),+1%,"4,4",+146%,"62,1",+2%,"0,03",-22%,"0,012",-22%,19,+23%,E,+23%,,,,,2010013099999
1412,Saucisson sec aux noix,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au noix']",,,['France'],[],[],?,,539,+20%,47,+28%,4,+23%,25,-5%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,47 g,en quantité élevée,19 g,en quantité élevée,3 g,en faible quantité,4.2 g,en quantité élevée,2255 kj(539 kcal),+20%,19,+41%,3,+29%,"4,2",-3%,"1,68",-3%,26,+5%,E,+5%,,"['EMB 42129', 'Maclas (Loire, France)']",,,2010016019109
1413,Écureuil - Jacques Bockel,E,"['Sachet', 'Plastique', 'Carton']",['Jacques Bockel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Écureuils en chocolat']",,,['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'poudre de LAIT entier', 'poudre de LAIT écrémé', 'émulsifiant: lécithine de SOJA', 'vanille arômes naturels', 'colorants naturels ', 'selon couleur', ' CEE E160c', 'E 161b', 'E141i', 'E120', 'colorant CEE: E132']","['Non végétalien', 'Non végétarien']",?,,554,+0%,"36,7",+8%,"42,8",-20%,"10,3",+55%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,"['E322i - Lécithine', 'E161b - Lutéine', 'E141i - Complexes cuivriques de chlorophylles', 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo""]","['Lait', 'Soja']",4,Moulage au chocolat au lait,36.7 g,en quantité élevée,22 g,en quantité élevée,41 g,en quantité élevée,0.24 g,en faible quantité,2318 kj(554 kcal),+0%,22,+4%,41,-21%,"0,24",+22%,"0,096",+22%,26,-1%,E,-1%,,,,,2010022290011
1414,Ficelle au lard et fromage,,,,,,,['France'],[],[],?,,423,,25,,37,,10,,,,,,,,,,,,,,,,,,,,,,,1770 kj(423 kcal),,10,,"0,8",,"0,92",,"0,368",,,,,,,,,,2010023000008
