,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
928,Café en grain Arabica,3546183300126,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,POMMES DE TERRE - 2.5kg,3760006490225,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 kg,,,,,,,,,,
930,Cookies bio épeautre et chocolat,3770006927164,,,,"['Bio', 'Sans additifs', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Croissance bio nature 10 mois à 3 ans - Les Tilapins - 6x 1l,3222476917478,,"['Les Tilapins', 'Casino']",,['Bio'],,['France'],"['lait partiellement écrémé* 53', '5% ', 'origine : france', 'eau', 'maltodextrine*', 'huiles végétales* ', 'colza*', 'tournesol*', 'poudre de lait*', 'lactosérum déminéralisé*', 'lécithine de tournesol', 'minéraux ', 'minéraux du lait', 'citrate de sodium', 'hydroxyde de potassium', 'bicarbonate de sodium', 'hydroxyde de calcium', 'sulfate de fer', 'sulfate de zinc', 'sulfate de cuivre', 'iodure de potassium', 'sélénite de sodium', 'vitamines ', 'a', 'd3', 'e', 'k', 'c', 'b1', 'b2', 'b3', 'b5', 'b6', 'b8', 'b9', 'b12', ""* ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",269,,64,,"2,8",,"7,8",,"1,9",,,,,,,,,269 kj(64 kcal),"1,1","3,5","0,08","0,032",['Casino'],,,,,,,,,,,,,,,,,,6 x 1 l,,,['E322i - Lécithine'],['Lait'],4,,,Lait de suite pour nourrissons à partir de 10 mois et aliment lacté liquide destiné aux enfants en bas âge de 1 à 3 ans - issu de l'agriculture biologique - stérilisé UHT longue conservation,,
932,Confiture extra de Mirabelles de Lorraine - Les fous de terroirs,3393190038654,,['Les fous de terroirs'],,,,['France'],[],[],?,,251,,"0,2",,"62,1",,"0,4",,,,,,,,,1050 kj(251 kcal),"0,1","43,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Energize original chocolate - Powerbar,4029679672314,,['Powerbar'],"['Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres énergétiques']",,,"['France', 'Allemagne', 'Espagne']",[],[],1539,-4%,364,-6%,"4,3",-67%,66,+30%,13,-3%,,,,,,,,1539 kj(364 kcal),"1,3",38,"1,1","0,44",,4.3 g,en quantité modérée,1.3 g,en faible quantité,38 g,en quantité élevée,1.1 g,en quantité modérée,-6%,-69%,+23%,+172%,+172%,13,+6%,D,+6%,,,,,"['Gluten', 'Lait']",,,,,,
934,Miel de thym - Famille Perronneau,3263620432560,B,"['Famille Perronneau', 'Apidis']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de thym']",,,['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Haribo tropifrutti,8691216022515,,['Haribo'],,['Halal'],,['France'],[],[],?,,338,,"0,1",,"77,9",,"5,2",,,,,,,,,1414 kj(338 kcal),"0,1","59,7","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Putenbrust Gegrillt - Ökoland,4031829236215,,['Ökoland'],,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['DE NI-10840 EG'],['France'],[],[],?,,108,,"0,9",,1,,24,,,,,,,,,452 kj(108 kcal),"0,3","0,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Potato chips,41780000118,,,,,,['France'],[],[],?,,576,,36,,54,,"7,2",,,,,,,,,2410 kj(576 kcal),9,0,"0,342","0,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Pecorino Romano Grattugiato - Trentin,8000407021631,D,['Trentin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages de brebis', 'Fromages râpés', 'Pecorino', 'Pecorino Romano']",,,"['France', 'Allemagne']",[],[],?,,384,-3%,32,-1%,1,+1490%,26,0%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,1607 kj(384 kcal),18,1,5,2,,32 g,en quantité élevée,18 g,en quantité élevée,1 g,en faible quantité,5 g,en quantité élevée,-3%,-6%,+1060%,+6%,+6%,19,-1%,E,-1%,,['Frais'],,,,,,,,,
939,5 merguez de volailles bio,2444014032806,,,,['Bio'],,['France'],[],[],?,,546,,"5,6",,"0,1",,"18,8",,,,,,,,,2284 kj(546 kcal),"1,5","0,1","2,03","0,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Canistrelli au citron,3770013493058,,,,['Sans conservateurs'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Bio Wertkost Klare Brühe Instant - Edeka - 6x 11g,4311501314333,,['Edeka'],,"['en:German Agricultural Society', 'Bio', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]",,['France'],[],[],?,,28,,"0,5",,"0,5",,0,,,,,,,,,117 kj(28 kcal),"0,2","0,1",1,"0,4",,,,,,,,,,,,,,,,,,,6 x 11 g,,,,,,,,,,
942,Fresas - Aromas de Lepe,8437001876228,C,['Aromas de Lepe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Saint Albray - 0.203kg,0285514025255,,['Saint Albray'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 kg,,,,,,,,,,
944,Diois de Savoie beaufort,3770002589335,,,,,,['France'],[],[],?,,293,,"23,4",,"1,6",,"19,5",,,,,,,,,1226 kj(293 kcal),"9,7","0,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,saucisse blanche jambon fromage à griller - Schroder fleischwaren - 300g,3271620033427,,['Schroder fleischwaren'],['Saucisse blanche'],,,['France'],"['Viande de porc 70%', ' épinards 10%', ' jambon 8% ', 'viande de porc 75%*', 'eau', 'amidon 2%', 'sel nitrité ', 'sel', 'conservateur E250', 'dextrose', 'protéines de LAIT et LACTOSERUM', 'stabilisant E451i', 'antioxydant E301', ' eau', ' FROMAGE fondu 4% ', 'FROMAGE 65%', 'eau', 'gélatine', 'BEURRE', 'protéine de LAIT', 'sels de fonte E452', 'E339', 'sel', ' oignon', ' sel iodé', ' épices ', 'dont MOUTARDE CELERI', ' dextrose', ' exhausteur de goût E621', ' sirop de glucose', ' antioxydant E300', ' acidifiant E330', ' émulsifiant E471', ' stabilisants E331', 'E500', ' condiment ', 'p rotéines végétales hydrolysées ', 'colza', 'mais', 'sel', 'huile de palme non hydrogénée', 'huile de tournesol ', ' arôme naturel', ' huile de palme totalement hydrogénée', ' herbes', "" extraits d'épices "", 'dont CELERI', ' boyau naturel de mouton', ' Origine UE']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,,283,,"25,5",,"1,1",,"12,2",,,,,,,,,1184 kj(283 kcal),"10,2","0,6","2,1","0,84",,25.5 g,en quantité élevée,10.2 g,en quantité élevée,0.6 g,en faible quantité,2.1 g,en quantité élevée,,,,,,22,,E,,300 g,['Plastique'],,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451i - TPP', 'E301 - Ascorbate de sodium', 'E428 - Gélatine', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E331 - Citrates de sodium', 'E500 - Carbonates de sodium']","['Céleri', 'Lait']",4,,,,,['Huile de palme']
946,Aiguillettes de poulet recette thym citron - Maître Coq,0215680015156,D,['Maître Coq'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Viande Française', 'Volaille-francaise']",,['France'],[],[],?,,103,-18%,"1,2",-35%,0,-100%,23,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,431 kj(103 kcal),"0,4",0,"1,3","0,52",,1.2 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1.3 g,en quantité modérée,-18%,-16%,-100%,+197%,+197%,1,,B,,,,,,,,,,,,
947,Domaine toulal vin du maroc .,3263280104081,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Piment fort - Fuchs - 45g,4027900566104,,['Fuchs'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,,,,,,,,,,
949,Saucisson pur porc artisanal,3760090674730,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,,403,,33,,15,,27,,,,,,,,,1686 kj(403 kcal),13,"0,5","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Queru light - 100g,56090864,,,,,,['France'],[],[],?,,125,,5,,3,,17,,,,,,,,,523 kj(125 kcal),"3,6","2,9","1,9","0,76",,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
951,White glutinous rice - Golden Phoenix - 1kg,8858306000468,C,['Golden Phoenix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz gluant']",,,['France'],[],[],?,,333,-1%,"0,3",-75%,76,+5%,"6,6",-9%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1393 kj(333 kcal),"0,1",0,0,0,,0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-2%,-63%,-100%,-100%,-100%,0,,B,,1kg,['Sachet'],,,,,,,,,
952,Bière,3484703000180,C,,"['Boissons', 'Boissons alcoolisées', 'Bières']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,75CL Champagne Brut Cordon Rouge Mumm Millesime,3043700103913,,,,,,"['Australie', 'France']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Huile d'olive extra vierge -,5200101805923,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,['France'],[],[],?,,?,,?,,?,,?,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,"Creme de mangue L'HERITIER GUYOT, 15°, bouteille de",3012993048263,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Jambon à l'ancienne - Tallec - 0.140kg,0255382025718,,['Tallec'],"['Viandes', 'Charcuteries', 'Jambons']","['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,,161,-5%,"7,9",+3%,"0,5",-24%,22,-6%,,,,,,,,674 kj(161 kcal),"2,9","0,5","1,9","0,76",,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,-4%,-0%,-6%,-34%,-34%,12,+13%,D,+13%,0.140 kg,,,,,,,,,,
957,Steak haché 100% charolais chantegrill,3661112081188,,,,,,['France'],[],[],?,,190,,12,,0,,20,,,,,,,,,795 kj(190 kcal),6,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Bananes,2600480010308,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Plaisir 3 chocolat 6p decongele,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Hédonisme(e),3514123109856,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Manuel sahne-almond cream - Storck - 110,29037193,,['Storck'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,
962,Jus carote orange ginger - Hema,8718161551157,,['Hema'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Jus et nectars', 'Jus de fruits et légumes']",,,['France'],[],[],?,,23,-45%,0,-100%,"5,6",-44%,0,-100%,,,,,,,,96 kj(23 kcal),0,"5,4","0,07","0,028",,0 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.07 g,en faible quantité,-47%,-100%,-37%,+26%,+26%,8,+38%,D,+38%,,,,,,,,,,,
963,Sirop de fraise - Notre Terre,3760037589349,B,['Notre Terre'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,,['France'],[],[],?,,?,,?,,?,,?,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Fleur de lavande,3770003484288,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Dominio de Punctum,8437010828287,,,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Baba au rhum - Comtesse du Barry,3660806500356,B,['Comtesse du Barry'],"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",,,['France'],[],[],?,,249,+15%,"3,7",-8%,"50,8",+34%,"2,3",+14%,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,1042 kj(249 kcal),"1,9","28,3","0,2","0,08",,3.7 g,en quantité modérée,1.9 g,en quantité modérée,28.3 g,en quantité élevée,0.2 g,en faible quantité,+15%,-12%,-0%,-9%,-9%,9,-9%,C,-9%,,,,,,,,,,,
967,Babas au limoncello,3381660004216,,,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],?,,280,,2,,"45,3",,"1,2",,,,,,,,,1172 kj(280 kcal),"1,1","41,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Agar agar - Monoprix,3350033617933,D,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Parmigiano Reggiano,8001868018857,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,['France'],[],[],?,,?,,?,,?,,?,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Jus de pommes fraises,3760111100187,,,,,,['France'],[],[],?,,37,,0,,"8,9",,0,,,,,,,,,155 kj(37 kcal),0,"7,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Le rhum BIO par Neisson,3287480000684,,,,['Bio'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Roseline Harmonie,3760022532152,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Tabasco,7714156901410,,,"['Epicerie', 'Sauces', 'Sauces pimentées']",,,['France'],[],[],?,,0,-100%,0,-100%,"1,8",-90%,"0,6",-48%,,,,,,,,0 kj(0 kcal),0,0,"7,4","2,96",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,-100%,-100%,-100%,+64%,+64%,10,-20%,C,-20%,,,,,,,,,,,
974,Eco Biscuits - Fruit Biscuits,5410464100454,,,,,,['France'],[],[],?,,381,,10,,"69,5",,6,,,,,,,,,1594 kj(381 kcal),"4,5",29,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Pure tassie apple,9315251901183,,,,['Sans conservateurs'],,"['Australie', 'France']",[],[],?,,372,,1,,21,,0,,,,,,,,,1556 kj(372 kcal),1,20,0,0,['Woolworths'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Vinaigre Balsamique,8007150901951,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Emmental Bavarese - Consilia - 140g,8000965013703,,['Consilia'],,,,"['France', 'Italie']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 g,['Frais'],,,,,,,,,
978,Confiture de bluets,3760111620012,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Château le Bordier -,3182520314526,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,['France'],['BORDEAUX SUPÉRIEUR APPELLATION BORDEAUX SUPERIEUR CONTROLEE'],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
980,Miel de Mayenne - 500g,3478920004960,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
981,Camu camu bio,8436539321774,,,,['Bio'],,['France'],[],[],?,,306,,"2,5",,61,,0,,,,,,,,,1280 kj(306 kcal),"0,9","3,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Graines de lin,8718469771028,,,,,,['France'],[],[],?,,477,,31,,13,,19,,,,,,,,,1996 kj(477 kcal),"2,9",0,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Egg Pappardelle - Marks And Spencer,00671569,,['Marks And Spencer'],,['Fabriqué en Italie'],,['France'],[],[],?,,360,,3,,"68,5",,"13,3",,,,,,,,,1506 kj(360 kcal),"0,8","2,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Vinaigre D'alcool Coloré,3104180222010,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Gigot d Agneau,2258940012005,,,"['Viandes', ""Viandes d'agneau"", ""Gigot d'agneau""]",,,['France'],[],[],?,,128,-15%,"5,1",-28%,"0,5",-62%,20,+6%,,,,,,,,536 kj(128 kcal),"1,9",0,"0,12","0,048",,5.1 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,0.12 g,en faible quantité,-14%,-30%,-100%,-88%,-88%,-3,-207%,A,-207%,,,,,,,,,,,
986,Compote aux raves,7610688001003,,,,,,['France'],[],[],?,,22,,0,,4,,"1,5",,,,,,,,,92 kj(22 kcal),0,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Jus d'orange,7021101600008,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]","['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,,?,,?,,?,,?,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Millet,4104420134409,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
989,Comté,0262248024532,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,"['FR 25.427.001 CE', 'Noironte (Doubs, France)']",['France'],[],[],?,,431,+9%,35,+7%,2,+333%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1803 kj(431 kcal),24,"0,5","0,9","0,36",,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,+9%,+11%,+80%,-8%,-8%,13,-3%,D,-3%,,,,,,,,,,,
990,Miel de bourdaine,3560180000186,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Pur Jus Orange 1L,2203713022309,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,['France'],[],[],?,,?,,?,,?,,?,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,"Steak hachés - Élu via - 1,500",3265980123546,,['Élu via'],,"['Viande-francaise', 'Viande-bovine-francaise']","['FR 51.649.002 CE', 'Vitry-le-François (Marne, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500",,,,,,,,,,
993,Brioche tressée - La Boulangère,3760049798166,C,['La Boulangère'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",['Kascher'],,['France'],[],[],?,,344,-4%,"10,5",-18%,"53,6",+4%,"7,7",-5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,1439 kj(344 kcal),"1,5","12,1",1,"0,4",,10.5 g,en quantité modérée,1.5 g,en quantité modérée,12.1 g,en quantité modérée,1 g,en quantité modérée,-3%,-76%,-16%,0%,0%,11,-31%,D,-31%,,,,,,,,,,,
994,Jus de pomme naturel,3760155330014,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Haricots verts fins,8003880002487,,,,,,['France'],[],[],?,,24,,"0,2",,"2,4",,"2,3",,,,,,,,,100 kj(24 kcal),"0,1","2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,3700344603710,3700344603710,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Faluches x4 - Leclerc,,,['Leclerc'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,200G Assiette Hachis Parmentier Mouline Bledichef - 200g,3041090008153,E,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",['en:gluten-free'],"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",['France'],[],[],?,,82,-35%,"2,1",-66%,12,+20%,"3,3",-47%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,343 kj(82 kcal),"1,1","1,1","0,28","0,112",,2.1 g,en faible quantité,1.1 g,en faible quantité,1.1 g,en faible quantité,0.28 g,en faible quantité,-34%,-62%,-32%,-62%,-62%,1,-65%,B,-65%,200 g,,,,,,,,,,
999,Pommes de terre primeur - 750g,3377860112752,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre', 'Pommes de terre françaises', ""Pommes de terre de l'île de Ré"", 'Pommes de terre primeurs']",['Label Rouge'],,['France'],[],[],?,,?,,?,,?,,?,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,['France'],,,,
1000,Hering Seeräuber - Appel,4020500966206,,['Appel'],,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
