,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
1814,Crunchy salade,3770008206182,['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,443,1854 kj(443 kcal),22,3,"45,8","9,1","11,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01', 'en:palm-oil-free']",,,,,,,,,,,
1815,Galette des rois au Nutella -,0201711049207,['France'],[],[],?,526,2201 kj(526 kcal),"31,9","16,5","51,8","23,4","7,3","0,8","0,32",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,31.9 g,en quantité élevée,16.5 g,en quantité élevée,23.4 g,en quantité élevée,0.8 g,en quantité modérée,,+25%,+25%,+21%,+11%,+34%,+81%,+15%,+15%,+15%,24,+25%,E,+25%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,"['boîte', 'Plastique']",,,,,,,,,"Pâte feuilletée pur beurre 64%, galette, dorée à l'oeuf et siropée, garnie de pâte à tartiner 32% aux noisettes et cacaoté",,,
1816,Classico espresso - Lidl - 50g,4056489012542,['France'],[],[],?,?,,?,,?,,?,,,50 g,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Eierlikör -  - 350ml,4260197660609,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,350 ml,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Liqueur aux œufs']",,E,,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['Flasche'],,,,,,,,,Eierlikör,,,
1818,Kräuter Quark - 200g,4311501645055,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Turrón de cacahuete -,8410771410076,['France'],"['Sucre', 'ARACHIDE ', '38%', 'sirop de glucose-fructose', ""blanc d'OEUF"", 'pain azyme* ', 'amidon de pomm de terre', 'huile de tournesol', ' *Pain azyme comme enrobage dan le surface', ' Peut contenir des traces de FRUITS À COQUE']",['Non végétalien'],?,240,1004 kj(240 kcal),9,"1,5",31,26,6,0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons croquants aux cacahuètes']",,E,9 g,en quantité modérée,1.5 g,en quantité modérée,26 g,en quantité élevée,0 g,en faible quantité,,-51%,-51%,-56%,-59%,-39%,-41%,-51%,-100%,-100%,5,-71%,C,-71%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,['en:gluten-free'],,,,4,,,"['Œufs', 'Arachides']",,,,
1820,Boule De Pain Tranchée - Casino,3222471119228,['France'],[],[],?,?,,?,,?,,?,,,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,B,,,,,,,,,,,,,,,,,,,,,,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,['Casino'],,,,,,,,
1821,Galett de riz,8717624001239,['France'],[],[],?,341,1427 kj(341 kcal),"0,9","0,12",0,0,"0,51","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Knäckebrot,20377588,['France'],[],[],?,341,1427 kj(341 kcal),"1,6","0,4",65,"1,4","8,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Grana padano,2210698006361,['France'],[],[],?,392,1640 kj(392 kcal),"28,4","17,7",0,0,33,"1,5","0,6",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,D,28.4 g,en quantité élevée,17.7 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-1%,-1%,-2%,-2%,-100%,-100%,0%,-1%,-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1824,2058465203038,2058465203038,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Gâteau charentais,3380790000303,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Galette briochée - Leclerc,3461180382923,['France'],[],[],?,319,1335 kj(319 kcal),10,"6,3",47,13,"2,8","0,98","0,392",,"['Leclerc', 'E.Leclerc']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,10 g,en quantité modérée,6.3 g,en quantité élevée,13 g,en quantité élevée,0.98 g,en quantité modérée,,-24%,-24%,-62%,-57%,+22%,+1%,-56%,+41%,+41%,15,-22%,D,-22%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1827,Frites - Marks & Spencer,00898416,['France'],[],[],?,185,774 kj(185 kcal),"7,1","0,7","26,5","0,5","2,2","0,38","0,152",,['Marks & Spencer'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites']",,B,7.1 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,0.38 g,en quantité modérée,,+18%,+16%,+33%,-4%,+13%,-12%,-14%,+28%,+28%,2,,B,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,['Marks & Spencer'],,,,,,,,
1828,BBQ Sauce Honey Mustard - Hunt's,0027000609064,"['France', 'États-Unis']","['Tomato Juice From Concentrate ', 'Water', 'Tomato Paste', 'High Fructose Corn Syrup', 'Corn Syrup', 'Distilled Vinegar', 'Honey', 'Molasses', 'Salt', 'Less than 2% of: Spices Including Paprika', 'Mustard Seed', 'Natural Flavors Including Smoke', 'Tomato Fiber', 'Mustard Bran', 'Guar Gum', 'Carob Bean Gum', 'Citric Acid', 'White Wine']",['Non végétalien'],?,171,715 kj(171 kcal),0,0,"42,86","31,43",0,"2,142","0,857",,"[""Hunt's""]","['Epicerie', 'Sauces']",,,0 g,en faible quantité,0 g,en faible quantité,31.4 g,en quantité élevée,2.14 g,en quantité élevée,,-28%,-27%,-100%,-100%,+332%,+387%,-100%,-11%,-11%,15,+29%,D,+29%,,,,,,,,,,,,,4,"['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E330 - Acide citrique']",,,,Conagra Brands,,
1829,Pain de mie - Jacquet,3029330069690,['France'],[],['Sans huile de palme'],?,274,1146 kj(274 kcal),"3,2","0,5",51,8,"8,9","0,98","0,392",,['Jacquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,
1830,"Belvas Rochers Coco, 100 GR Packung",5425007880533,"['France', 'Pays-Bas']",[],[],?,537,2247 kj(537 kcal),"44,8","33,5","28,6","24,9","4,3","0,09","0,036",,['Belvas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fabriqué en Belgique', 'Max Havelaar']",,,['Ekoplaza'],,,,,,,,
1831,Chorizo,8420962000016,['France'],[],[],?,467,1954 kj(467 kcal),42,15,3,2,19,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,"Fromage frais au lait de montagne 3,3% - 3kg",3387270621799,['France'],[],[],?,?,,?,,?,,?,,,3 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Toffee-ettes,0737666082872,['France'],[],[],?,600,2510 kj(600 kcal),"46,667",15,40,30,10,"2,83","1,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Truffes et pralines -,4099200017990,['France'],[],[],?,496,2075 kj(496 kcal),29,18,55,48,"4,1","0,16","0,064",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,29 g,en quantité élevée,18 g,en quantité élevée,48 g,en quantité élevée,0.16 g,en faible quantité,,-6%,-6%,-9%,+3%,+5%,+1%,-30%,+5%,+5%,26,+7%,E,+7%,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
1835,vin rouge - minervois - 75cl,20067540,['France'],[],[],?,?,,?,,?,,?,,,75 cl,['Minervois'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Minervois']",['Maureilhan'],C,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Bouteille'],,,['France'],['Lidl'],,,,,,,,
1836,Piment fort - Fuchs - 5g,4027900566791,['France'],[],[],?,?,,?,,?,,?,,,5 g,['Fuchs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Mimolette jeune - €co+,2860132010562,['France'],[],[],?,320,1339 kj(320 kcal),24,16,"0,5","0,5",26,"2,6","1,04",,['€co+'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,D,24 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,,-0%,-0%,-0%,-2%,+56%,+59%,+1%,+2%,+2%,18,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1838,Galettes Blé Noir,3760231700793,['France'],[],[],?,471,1971 kj(471 kcal),27,16,51,25,"5,3","0,3","0,12",,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,B,27 g,en quantité élevée,16 g,en quantité élevée,25 g,en quantité élevée,0.3 g,en quantité modérée,,+166%,+166%,+594%,+906%,+87%,+3387%,-22%,-77%,-77%,21,+308%,E,+308%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,,,,,,,,,
1839,Nuggets de dinde halal cuit frais,3353470012019,['France'],[],[],?,210,879 kj(210 kcal),11,"2,6",15,"0,1",12,"1,5","0,6",,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Nuggets de volaille', 'Préparations à la dinde', 'Dindes panées', 'Nuggets de dinde']",,D,11 g,en quantité modérée,2.6 g,en quantité modérée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,-12%,-13%,-20%,-10%,-4%,-90%,-2%,+32%,+32%,5,+28%,C,+28%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,['Halal'],"['FR 22.277.004 CE', ""Saint-Brandan (Côtes-d'Armor, France)""]",,,,,,,,,,
1840,Pain Suisse,0216428019351,['France'],[],[],?,363,1519 kj(363 kcal),16,10,44,19,"6,1","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Crème karité nourrissante - Naturado en provence - 100ml,3760020737337,['France'],"['1719 12846 Inci Aqua ', 'water', 'Butyrospermum parkii ', 'shea', ' butter*', 'alcohol*', 'Ribes nigrum ', 'black currant', ' leaft extract,cimus communis ', 'castor', ' seed oil', 'Theobroma cacao ', 'cocoa', ' seed berArachidyl alcohol', 'Helianthus annuus ', 'sunflower', ' seed oil*', 'Behe alcohol', 'Parfum ', 'fragrance', 'Vitis vinifera ', 'Grape', ' seed oil*', 'Xanthan gum', 'Tocopherol', 'Linalool', 'Limonene', 'Citronellol', "" ingrédients issus de l'aqriculture biologique"", "" Transformés à partir d'ingrédients biologiques"", ' Cosmétique écologique et biologique certifié par Ecocert Greenlife selon le référentiel Ecocert disponible ur http://cosmetiques', ""ecocertcom 100 % du total des ingrédets sont d'origine naturelle"", "" 37 % du total des ingrédients sontissus de l'Agriculture Biologicue"", ' FR dapté à tous les types de peau', "" onseils d'utilisation : appliquer sur ie visage matin et soir sur une pea opre et sèche"", ' Usage externe uniquement', ' Ne pas Ingérer', ' Ne pa pliquer sur peau lésée', ' La crème Karité Naturado est un soin idéal pour toute la famille EN Naturado Shea Butter cream is a highly efficient skin-care adapted to all kinds of skin', ' This cream suits perfectly to th whole family', ' Directions: apply on clean and dry face twice a day', ' For external use only', ' Do not ingest', ' Do not apply on a damage']",[],?,?,,?,,?,,?,,,100ml,['Naturado en provence'],"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tube'],['Bio'],,,,,"['E415 - Gomme xanthane', 'E307c - Tocophérol']",,['Lait'],,,,
1842,Volkornbrot,3351730204075,['France'],[],[],?,198,828 kj(198 kcal),13,"0,2",37,"1,3","4,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
1843,Unsweetened Pineapple Juice - Golden Circle,9310179008617,"['Australie', 'France']",[],[],?,52,218 kj(52 kcal),0,0,"12,2","10,6","0,4","0,4","0,16",,['Golden Circle'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",,D,0 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0.4 g,en quantité modérée,,+6%,+6%,-100%,-100%,+4%,-5%,+13%,+5852%,+5852%,7,+36%,D,+36%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Fabriqué en Australie'],,,['Woolworths'],,,,,,,,
1844,Rei in der Tube - 125g,4013162004027,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,125g,['Rei'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,"Confiture de mangue, Law lam - 250g",3392060000050,['France'],[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,,,,,,
1846,Fiat,8003288321562,['France'],[],[],?,552,2310 kj(552 kcal),36,"9,3",49,44,5,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Italie']",,,,,,,,,,,
1847,Emerge energy drink,5000177449669,['France'],[],[],?,21,88 kj(21 kcal),0,0,"4,5","4,5",0,"0,09","0,036",,,"['Boissons', 'Boissons énergisantes']",,,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0.09 g,en faible quantité,,-42%,-41%,-100%,-100%,-44%,-38%,-100%,-22%,-22%,6,-44%,D,-44%,,,,,,,,,,,,,,,,,,,,
1848,Cheval noir,3612170019187,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Rillettes pur porc - Cora,3257983795301,['France'],[],[],?,473,1979 kj(473 kcal),45,17,0,0,"16,9","1,65","0,66",,['Cora'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,D,45 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.65 g,en quantité élevée,,+20%,+20%,+22%,+21%,-100%,-100%,+7%,+29%,+29%,22,+13%,E,+13%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,['Fabriqué en France'],,,['Cora'],,,,,,,,
1850,Maasdam,3250392725372,['France'],[],[],?,452,1891 kj(452 kcal),29,"19,5","0,5","0,5",29,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Thé noir saveur citron - Maison Taillefer,3564884018966,['France'],[],[],?,?,,?,,?,,?,,,,['Maison Taillefer'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron']",,B,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
1852,Céréales Méditerranéennes,3125222997475,['France'],[],[],?,370,1548 kj(370 kcal),"3,1","0,5",70,"6,2",12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Ponzu shoyu,4903001052220,['France'],[],[],?,66,276 kj(66 kcal),0,0,12,"8,2",6,"9,7","3,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Saumon aux saveurs de noël et riz aux graines de sésame - Le petit cuisinier - 300g,3356067784993,['France'],"[""Saumon aux saveurs de Noël aux graines de sésame Pavé de saumon de l'Atlantique bianchi et cuit dans une sauce à base de crème aux saveurs d'épices de Noël garnie d'airelles et accompagné d'un riz basmati agrémenté de graines de sésame noir grillées Ingrédients Riz basmati aux graines de sésame 38,3% [eau"", 'riz long basmati 15,7%', 'graine de SESAME noire grillée 0,6%', 'sel]', ""pavé de SAUMON de l'Atiantique blanchi 26,7% "", 'Salmo salar Chili ou Norvège', 'eau', 'CREME ', 'CREME', 'stabilisant: carraghénanes', ""jus d'orange concentré"", 'BEURRE', 'airelles 1,7%', 'vin blanc ', 'contient SULFITES', 'miel de fleurs précuit', 'crème de LAIT en poudre', 'amidon modifié de mais', 'farine de BLE', 'arômes naturels de cannelle', 'muscade et gingembre', 'gélatine de boeuf', 'sel', 'protéines de LAIT', 'arôme naturel girofle avec autres arômes naturels', 'épaississant: gomme xanthane', ' Traces éventuelles de soja', 'oeufs', 'céleri', 'crustacés', 'motlusques', 'moutarde et fruits à cde']","['Non végétalien', 'Non végétarien']",?,170,711 kj(170 kcal),8,"3,6",17,"2,4","7,7",0,0,300 g,['Le petit cuisinier'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson']",,,8 g,en quantité modérée,3.6 g,en quantité modérée,2.4 g,en faible quantité,0 g,en faible quantité,,-13%,-11%,-33%,+17%,+112%,+60%,-35%,-100%,-100%,1,-84%,B,-84%,,,,,,,,['Barquette'],,,,['Auchan'],4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E428 - Gélatine', 'E415 - Gomme xanthane']",,"['Poisson', 'Gluten', 'Lait', 'Graines de sésame', 'Anhydride sulfureux et sulfites']",,,,
1855,L'authentique sauce n°7 cèpes,3302768100136,['France'],[],[],?,100,418 kj(100 kcal),"7,8","5,2","5,7","0,8","1,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Sucre petits morceaux - 1kg,3263850017315,['France'],[],[],?,470,1966 kj(470 kcal),0,0,100,100,0,0,0,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Heisse Tasse knoblauch - Continental Foods - 53.7g,4013300035067,"['France', 'Allemagne']",[],[],?,63,264 kj(63 kcal),"3,2","1,7","7,6","1,7","0,8","0,87","0,348",53.7g,['Continental Foods'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Petites gambas et tagliatelles au basilic - Fleury Michon - 280g,3399740719028,['France'],"['TAGLIATELLES AU BASILIC', 'PETITES GAMBAS ET CONCASSE DE TOMATES igredients: Pates tagliatelles 42% ', 'eau', 'semoule de blé dur', 'gambas 24%', 'tomates 20%', 'oignons', ""huile d'olive verge"", 'huile de colza', 'eau', 'ciboulette 1%', 'basilic 0,7%', 'concentré de tomates', 'sel', 'laitue', 'huile de tournesol', 'sucre', 'ail', 'arôme naturel', 'curcuma', 'poivre', 'thym 0,03%', "" Traces éventuelles d'oeufs"", ' Gambas élevées en Equateur', 'Pérou ou Vietnam']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,280 g,['Fleury Michon'],"['Plats préparés', 'Plats préparés au poisson', 'Plats préparés à réchauffer au micro-ondes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,"['Gambas élevées en Equateur', 'Pérou ou Vietnam.']",,4,,,"['Crustacés', 'Gluten']",,,,
1859,Sardinas en salsa de tomate picante,20044206,['France'],[],[],?,192,803 kj(192 kcal),"11,7","3,4",1,"0,5","20,7","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Jacky Frangipane 24X68G 1 Pièce,5411806106011,['France'],[],[],?,434,1816 kj(434 kcal),21,"6,9",57,30,"4,6","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Galette à la frangipane,3355710814995,['France'],[],[],?,450,1883 kj(450 kcal),33,15,30,12,"7,1","0,8","0,32",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,33 g,en quantité élevée,15 g,en quantité élevée,12 g,en quantité modérée,0.8 g,en quantité modérée,,+7%,+7%,+25%,+1%,-22%,-7%,+12%,+15%,+15%,20,+4%,E,+4%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1862,Yaourts fermiers natures,3760086950046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Salsa chipotle - La Costena,7501017005963,['France'],[],[],?,12,50 kj(12 kcal),0,0,0,0,0,5,2,,['La Costena'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Chipolatas,3273625873404,['France'],[],[],?,232,971 kj(232 kcal),19,"6,6","1,2","0,7",14,"1,6","0,64",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,E,19 g,en quantité modérée,6.6 g,en quantité élevée,0.7 g,en faible quantité,1.6 g,en quantité élevée,,-3%,-3%,+1%,-9%,+3%,+11%,-9%,-11%,-11%,15,-10%,D,-10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,
1865,La Laitière le yaourt au citron - 500g,4162101892376,"['France', 'Espagne']","['Lait entier ', '85,4%', 'sucre ', '9,9%', 'poudre de lait écrémé', 'ferments lactiques', 'arôme naturel de citron', ' Lait origine France']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",408,97,408 kj(97 kcal),3,2,"13,6","13,5","3,1","0,12","0,048",500g,"['LA LAITIÈRE', 'NESTLÉ']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts au citron']",,B,3 g,en quantité modérée,2 g,en quantité modérée,13.5 g,en quantité élevée,0.12 g,en faible quantité,-11%,-8%,-8%,-27%,-24%,+1%,+7%,-11%,-0%,-0%,3,-17%,C,-17%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,4,,,['Lait'],Yaourt sucré à l'arôme naturel de citron,,,
1866,Sandwich naan poulet jalfrezi - Picard - 1,3270160861415,['France'],"['Préparation pour pain [farine de blé ', 'gluten', 'sucre', 'huile de son de riz', 'lait en poudre', 'sel]', 'filet de poulet 19,8%', 'eau', 'oignon blanc 7,5%', 'carotte 5,7%', 'tomate Thailand', 'tomate', 'jus de tomate', 'sel', 'poivron rouge 5,3%', 'pois chiche 2,6% huile de son de riz', ""vinaigre d'alcool"", 'épices', 'de mais', 'sel', 'levure', 'coriandre feuille', 'ail', 'gingembre', 'sucre de canne']","['Non végétalien', 'Non végétarien']",?,179,749 kj(179 kcal),"3,6","0,9",25,"3,5",11,"1,4","0,56",1,['Picard'],['Plats préparés'],['Thaïlande'],,3.6 g,en quantité modérée,0.9 g,en faible quantité,3.5 g,en faible quantité,1.4 g,en quantité modérée,,+11%,+12%,-50%,-61%,+87%,+68%,+57%,+48%,+48%,0,-100%,B,-100%,,,,,,,,['150g'],,,['Thaïlande'],['Picard'],4,,,['Gluten'],,,,
1867,Galette frangipane,3501541004719,['France'],[],[],?,415,1736 kj(415 kcal),29,16,31,"8,2","6,7","0,59","0,236",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,29 g,en quantité élevée,16 g,en quantité élevée,8.2 g,en quantité modérée,0.59 g,en quantité modérée,,-2%,-1%,+10%,+8%,-20%,-36%,+6%,-15%,-15%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1868,Snack choc - Le Comptoir de Mathilde,3700961304335,['France'],[],[],?,1,4 kj(1 kcal),41,23,32,27,"7,4","0,02","0,008",,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Atay 777,3664887000026,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Raisin blanc -,7754171000026,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins frais', 'Raisins blancs']",,B,,,,,,,,,,,,,,,,,,,,,,,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,,,,,,,,,,,,,
1871,2 parts de galettes frangipane,0205372013058,['France'],[],[],?,?,,?,,?,,?,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,D,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
1872,Firecracker - Tilda,5011157993645,['France'],[],[],?,?,,?,,?,,?,,,,['Tilda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
