,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
1544,Miel de thym - Miels Villeneuve,3540860007650,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de thym']",['France'],[],[],0.01 g,en faible quantité,0.01 g,en faible quantité,0.01 g,en faible quantité,0.01 g,en faible quantité,?,,150,-52%,628 kj(150 kcal),-52%,"0,01",-85%,"0,01",+950%,"0,01",-100%,"0,01",-100%,"0,01",-96%,"0,01",+5%,"0,004",+5%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Miels Villeneuve', 'Culture Miel']",,,,,['Magasins U'],,,,,,,,,
1545,Quartiers De Fruits,3540860008190,,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,"0,5",,0,,96,,74,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Madeleines au miel - Miels Villeneuve - 200g,3540860030368,B,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],"['Farine de blé', 'beurre concentré reconstitué 22 % ', 'colorant beta-carotène', 'œufs 18 %', 'sucre', 'miel 15 %', 'poudre à lever', 'amidon de _froment', 'diphosphate disodique', 'carbonate acide de sodium', 'dextrose', 'sel', 'stabilisant : sorbitol', 'conservateur : sorbate de potassium', 'sucre vanilliné']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",26.1 g,en quantité élevée,14.2 g,en quantité élevée,29 g,en quantité élevée,1 g,en quantité modérée,?,,479,+9%,2004 kj(479 kcal),+9%,"26,1",+14%,"14,2",+105%,55,+4%,29,+5%,"5,6",-1%,1,+23%,"0,4",+23%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['Miels Villeneuve', 'Culture Miel']","['E160ai - Bêta-carotène', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",4,"['Point Vert', 'Fabriqué en France']",['Magasins U'],Madeleines au Miel,200 g,,['France'],"['EMB 45338', 'Villemandeur (Loiret, France)']",,,,
1547,"Comte 6 Mois 220G Jura Fl, - JuraFlore",3542860152217,C,"['Barquette', 'Film en plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['Lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure Fromage à pâte pressée cuite Sans Lactose']",['Non végétalien'],34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.818 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,0,-100%,0,-100%,"26,7",+6%,"0,818",-16%,"0,327",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['JuraFlore'],,['Lait'],3,"['Sans lactose', 'AOP']",,,220g,,['Poligny (39800)'],"['FR 39.434.001 CE', 'Poligny (Jura, France)']",http://www.juraflore.com,['France'],,
1548,Mélange Spécial Vin Chaud - Niclaus - 100g,3543020092114,B,['Plastique'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Préparations pour vins chauds']",['France'],"['Cannelle', 'Badiane', 'Gingembre', 'Macis', 'Clous de girofle Coriandre', 'Piment de Jamaïque']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Niclaus'],,,1,['Point Vert'],,,100 g,,,,,,,
1549,Gingembre confit,3543027002017,,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,0,,0,,93,,75,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Praline mou de l’ecureuil - Noiseraie - 300g,3543027002062,,,,['France'],"['ure de an ande 25%', 'noisette %0%', 'fleur de seil Energie: 2178,3k', 'I f 521 ,']",[],,,,,,,,,?,,522,,2184 kj(522 kcal),,"29,4",,"2,4",,"52,2",,"51,8",,"9,8",,"0,1",,"0,04",,,,,,,,,,,,,['Noiseraie'],,,,,,,300 g,,,,,,,
1551,Pruneaux d'agen - Lou Prunel - 250g,3543267102331,D,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['France'],['Pruneaux réhydratés à 35%'],[],0.472 g,en faible quantité,0.0943 g,en faible quantité,34.9 g,en quantité élevée,1.42 g,en quantité modérée,?,,218.8679,-9%,916 kj(218 kcal),-9%,"0,472",+31%,"0,094",-17%,"49,057",-8%,"34,906",-4%,0,-100%,"1,415",+10154%,"0,566",+10154%,5,+128%,C,+128%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,['Lou Prunel'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté', 'Sans conservateurs']",,,250 g,,,,,,,
1552,Fleur De Sel De L'île De Noirmoutier,3544760002623,B,,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,3.53 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"3,53",-94%,"1,412",-94%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,['Point Vert'],,,,,,,,,,
1553,Bonbons dd Paris -,3546530000044,,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,1",,"0,1",,96,,"95,5",,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
1554,Pops corn sucré - Family Chips,3546580550551,,,,['France'],"['FABRICATION ARTISANA Composition : maïs', 'huile de tournesol oléique et sucre']",[],,,,,,,,,?,,417,,1745 kj(417 kcal),,"17,4",,"8,5",,"59,9",,"13,2",,"6,2",,"0,05",,"0,02",,,,,,,,,,,,,['Family Chips'],,,,,,,,,,,,,,
1555,Confiture extra pêche aux roses sauvzges,3546940022520,,,,['France'],[],[],,,,,,,,,?,,229,,958 kj(229 kcal),,"0,2",,"0,01",,"53,6",,"48,5",,"0,8",,"0,026",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Huile olive & piment - Olivier & Co,3547130084359,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",['France'],[],[],99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+4%,3766 kj(900 kcal),+5%,"99,8",+4%,"15,1",-1%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,+42%,D,+42%,,,,,,,,['Olivier & Co'],,,,,,,,,,,,,,
1557,Huile olive & mandarine fraiches pressées - Oliviers & Co,3547130084441,,,['Matières grasses'],['France'],"['olive 99%', 'mandarin 1% /Ingredienser: oliven 99%', 'mandarin 1 % Ingredienten: olif 99%', 'mandarin Mandarine 1%', ' 1%/lutaten: Oliven 99%,']",[],99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,"99,8",+13%,"15,1",-34%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-3%,D,-3%,,,,,,,,['Oliviers & Co'],,,,,,,,,,,,,,
1558,Douceur de vinaigre balsamique de Modène aromatisée à la figue - Olivier & Co,3547130087268,B,,"['Vinaigres', 'Vinaigres aromatisés']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.09 g,en faible quantité,?,,296,+193%,1238 kj(296 kcal),+195%,0,-100%,0,-100%,68,+198%,62,+220%,"1,2",+217%,"0,09",+151%,"0,036",+151%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Olivier & Co'],,,,,,,,,,,,,,
1559,Rouille,3547350003376,D,,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",['France'],[],[],50 g,en quantité élevée,5.2 g,en quantité élevée,0.4 g,en faible quantité,2.33 g,en quantité élevée,?,,476,+14%,1992 kj(476 kcal),+16%,50,+12%,"5,2",+27%,3,-26%,"0,4",-67%,"3,2",+20%,"2,33",+66%,"0,932",+66%,20,+45%,E,+45%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,,,,,,,,,,
1560,10 saucisses de porc,3547448745195,,,,['France'],"['VIANDE PORC+ 86%', 'ERU', 'ACIDIFIANTS', 'E326', 'E263', 'SEL', 'DEXTROSE EXHAUSTEUR/GOUT', 'E621', 'AROMES', 'EPICE', 'POUDRE JUS BETTERAVE ANTIOXYOANT', 'E301', ',COLORANTS ', 'E 120', 'E 160C', ' BOYAU NATUREL DE PORC laration nutritionnelle nour 1000: énergie 988k i/']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,238,,996 kj(238 kcal),,"19,5",,"6,9",,1,,"0,5",,"14,7",,"1,5",,"0,6",,,,,,,,,,,,,,"['E326 - Lactate de potassium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E160c - Extrait de paprika']",,4,,,,,,,,,,,
1561,Cake aux pépites de chocolat - La Boite de Cake - 630g,3547569100057,D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",['France'],"['Farine de blé pépites de chocolat 16% ', 'sucre', 'pâte de cacao beurre de cacao', 'émulsifiant lécithine de soja vaniline', 'oeufs entiers huille de colza', 'sirop de glucose', 'eau stabilisant glycerol', ""poudre à lever - bicarbonate et pyrophosphate de sodium et bicarbonate d'ammonium sel arôme vanilfle "", 'contient alcool', 'colorant : tagète', ' Peut contenir des traces de fruits à coques']",[],20.6 g,en quantité élevée,8 g,en quantité élevée,30.2 g,en quantité élevée,0.2 g,en faible quantité,155,-91%,437,0%,155 kj(437 kcal),-92%,"20,6",-13%,8,+1%,"57,2",+16%,"30,2",-2%,"5,8",+1%,"0,2",-62%,"0,08",-62%,13,-30%,D,-30%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,['La Boite de Cake'],,,4,,,,630 g,,,,,,,
1562,Lucques Oliven Sorte Gourmet - L'Oulibo - 220g / 200g égoutté,3548670002179,A,"['Bocal', 'Verre', 'Métal', 'Pasteurisé']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",['France'],"['Olives noirs 91 %', 'huile de pépins de raisin', 'sel', 'herbes de Provence']",[],27 g,en quantité élevée,4.5 g,en quantité modérée,0.5 g,en faible quantité,4.1 g,en quantité élevée,?,,254,-3%,1063 kj(254 kcal),-2%,27,+6%,"4,5",+34%,"2,3",-28%,"0,5",+23%,"1,3",-10%,"4,1",-2%,"1,64",-2%,12,-7%,D,-7%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"[""L'Oulibo""]",,,3,"['Point Vert', 'Fabriqué en France', 'Sud de France']",,Lucques - Olives Noires au Naturel,220 g / 200 g égoutté,,"['France', 'Sud de la France']","['EMB 11041', 'Bize-Minervois (Aude, France)']",,"['France', 'Midi', 'Midi de la France']",,
1563,Raviolis aux crevettes (Sui Kao) - SFPA - 200g - 10pièces,3548870310210,,['Plastique'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli chinois']",['France'],"['Farce 75% ', 'crevette Icrustacél 63% ', 'crevette', 'eau', 'sel et stabilisant E450', 'E451et E452', 'bambou barde huile de sésame', 'fécule de pomme de terre', 'exhausted de gout glutamate monosodique', 'sel', 'sucre et poivre', '-Pate 25% ', 'farine de ble gluten eau', 'gluten', ""jaune d'oeuf"", 'édulcorant sorbitol', 'huile de tournesol', 'vinaigre', 'sel et curcuma']","['Non végétalien', 'Non végétarien']",12.7 g,en quantité modérée,4.2 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,948,,227,+21%,948 kj(227 kcal),+21%,"12,7",+92%,"4,2",+144%,"13,1",-43%,"1,1",-47%,"14,6",+78%,"1,1",+6%,"0,44",+6%,5,+54%,C,+54%,,,,,,,,['SFPA'],['E420 - Sorbitol'],"['Crustacés', 'Œufs', 'Gluten', 'Graines de sésame']",4,['Fabriqué en France'],['supermarché chinois'],raviolis aux crevettes,200 g - 10 pièces,,['France'],"['FR 77.121.002 CE', 'Collégien (Seine-et-Marne, France)']",https://www.sa-sfpa.com/dimsums,,,
1564,PICOT Pepti junior Dessert sans lait Fraise - 4x 100g,3551100418099,,['Pot'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts sans lactose']",['France'],"['Eau', 'sucre', 'amidon modifié', 'farine de riz hydrolysée', 'huile de colza', 'poudre de fraise 1,3% ', 'équivalent à 5,1%', ' de fraise', 'arôme naturel de fraise', 'épaississant ', 'gomme de caroube', 'citrate de calcium', 'émulsifiant ', 'lécithine de tournesol']",[],2.3 g,en faible quantité,0.2 g,en faible quantité,8 g,en quantité modérée,0 g,en faible quantité,?,,354,+337%,1481 kj(354 kcal),+336%,"2,3",-14%,"0,2",-88%,"15,3",+59%,8,-11%,"0,3",-92%,0,-100%,0,-100%,5,+279%,C,+279%,,,,,,,,['Picot'],"['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E322i - Lécithine']",['Lait'],4,"['en:gluten-free', 'Sans colorants', 'Sans lactose', 'Sans lait', 'Sans conservateurs']",,,4 x 100 g,,,,,,,
1565,Rillette de truite - 120g,3551280000275,C,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de truite', 'en:Preparations-made-from-fish-meat']",['France'],"['Truite fraiche* et fumée* ', '72%', 'crème*', 'beurre*', 'citron*', 'sel', 'poivre*', 'laurier*', "" *Produits issus de l'agriculture biologique""]",['Non végétalien'],19.6 g,en quantité modérée,9.5 g,en quantité élevée,0.7 g,en faible quantité,0.94 g,en quantité modérée,?,,248,+15%,1038 kj(248 kcal),+16%,"19,6",+23%,"9,5",+72%,"1,3",-42%,"0,7",-19%,"16,6",+17%,"0,94",-10%,"0,376",-10%,16,+79%,D,+79%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,['Lait'],3,"['Bio', 'Ecocert', 'Bio européen', 'FR-BIO-01']",['Biocoop Caluire'],,120 g,,,"['EMB 73179', 'Motte-Servolex (Savoie, France)', 'FR 73.179.008 CE', 'Motte-Servolex (Savoie, France)']",,,,
1566,Brousse de Brebis Bio - Bergers du Larzac - 250g,3553070020098,B,"['Carton', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche', 'Fromages pasteurisés', 'Fromages de brebis', 'Brousses']",['France'],"['LACTOSÉRUM et LAIT de brebis pasteurisés', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",13 g,en quantité modérée,10 g,en quantité élevée,3.5 g,en faible quantité,0.15 g,en faible quantité,?,,175,+20%,732 kj(175 kcal),+18%,13,+40%,10,+52%,"4,4",-26%,"3,5",-27%,10,+19%,"0,15",-77%,"0,06",-77%,6,+6%,C,+6%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,['Bergers du Larzac'],,['Lait'],4,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,Fromage de lactosérum,250 g,,['France'],"['FR 12.063.003 CE', 'Cavalerie (Aveyron, France)']",,['France'],,
1567,Digestion Nature Bio - Romon Nature,3554740100348,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,0,,0 kj(0 kcal),,"0,1",,0,,"0,2",,"0,05",,"0,05",,"0,05",,"0,02",,,,,,,,,,,,,['Romon Nature'],,,,"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,
1568,Provence D'antan Tisane Vrac Conditionné Sérénité Bio,3554740400240,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"0,1",,0,,"0,2",,0,,0,,0,,0,,,,,,,,,,,,,"[""Provence d'Antan""]",,,,['Bio'],,,,,,,,,,
1569,Caramels beurre salé - DV SAS,3555080027142,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",['France'],[],[],8.5 g,en quantité modérée,6 g,en quantité élevée,64 g,en quantité élevée,1.1 g,en quantité modérée,?,,398,-3%,1665 kj(398 kcal),-3%,"8,5",-38%,6,-33%,78,+15%,64,+27%,"2,5",+6%,"1,1",+14%,"0,44",+14%,23,-7%,E,-7%,,,,,,,,['DV SAS'],,,,['Fabriqué en France'],,,,,,,,,,
1570,Galettes Carte de France Natures - DV SAS - 270g,3555081147924,C,"['Métal', 'Boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits sablés']",['France'],"['Farine de froment', 'sucre', 'beurre', 'lait entier en poudre', 'œuf', ""jaune d'œufs en poudre"", 'sel', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",20 g,en quantité modérée,13 g,en quantité élevée,24 g,en quantité élevée,0.3 g,en quantité modérée,?,,492,+10%,2059 kj(492 kcal),+10%,20,+23%,13,+111%,70,+5%,24,-24%,"7,1",-4%,"0,3",-36%,"0,12",-36%,22,+30%,E,+30%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['DV SAS'],,"['Œufs', 'Gluten', 'Lait']",4,['Fabriqué en France'],"[""Aire d'autoroute""]",,270 g,,['France'],,,,,
1571,Tuiles aux Myrtilles - Biscuiterie de Chambord - 300g,3555140003994,C,"['boîte carton', 'film plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Sucre glace', 'farine de blé', 'beurre ', 'lait', 'myrtilles confites ', '14%', ' ', 'myrtilles', 'saccharose', 'sirop de glucose-fructose', 'dextrose', 'arôme naturel', 'correcteur d’acidité : E330', 'amande en poudre', ""blancs d'œufs reconstitués "", 'eau', ""blancs d'œufs en poudre pasteurisés "", ""blancs d'œufs"", ""correcteur d'acidité : E330"", 'arôme myrtille ', '1%', 'poudre à lever ', 'émulsifiant : E450 i ', ' acidifiant : E500 ii ', ' farine de blé', 'jus de citron']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",27.8 g,en quantité élevée,16.8 g,en quantité élevée,37.7 g,en quantité élevée,0.225 g,en faible quantité,2165,+8%,517,+9%,2165 kj(517 kcal),+9%,"27,8",+34%,"16,8",+66%,"58,9",-8%,"37,7",+28%,"6,7",+3%,"0,225",-62%,"0,09",-62%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Biscuiterie de Chambord'],"['E330 - Acide citrique', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,,['Leclerc'],,300 g,,"['Maslives', '41250', 'Loir-et-Cher', 'France']",,,,,
1572,Palets Solognots - Biscuiterie De Chambord,3555140100013,,,,['France'],"['Farine de froment', 'sucre', 'beurre concenté ', '18%', 'raisins secs macérés au Rhum ', '17%', 'œufs frais', 'poudre à lever ', 'diphosphate disodique ', 'E450i', 'carbonate acide de sodium ', 'E500i', 'farine de blé', 'sel']",['Non végétalien'],,,,,,,,,?,,497,,2079 kj(497 kcal),,"24,5",,"16,3",,"64,4",,"37,3",,"5,5",,"0,15",,"0,06",,,,,,,,,,,,,['Biscuiterie De Chambord'],"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E500i - Carbonate de sodium']","['Œufs', 'Gluten']",4,,,,,,,,,,,
1573,Jus De Pomme Et De Coing - Alain milliat,3556001010069,,,['Boissons'],['France'],"['applejuice 80%', 'quincejlül succo dl melc 8090', 'succo di melo cotogna / ES Ingredientes: zumo de / DE Apfeisaft quitten-Saft 20% / NL : SV ingredienser: àpplejuice 80%', 'kvittenjuice 20%']",[],0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,?,,80,+43%,335 kj(80 kcal),+39%,0,-100%,0,-100%,19,+68%,15,+59%,0,-100%,0,-100%,0,-100%,20,+161%,E,+161%,,,,,,,,['Alain milliat'],,,,,,,,,,,,,,
1574,Marmelade orange blonde - Alain Milliat,3556009998307,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",['France'],[],[],0.19 g,en faible quantité,0.04 g,en faible quantité,56.3 g,en quantité élevée,0.017 g,en faible quantité,?,,236,-2%,987 kj(236 kcal),-2%,"0,19",+12%,"0,04",-6%,"56,6",-4%,"56,3",-1%,"0,7",+105%,"0,017",-31%,"0,007",-31%,10,-17%,C,-17%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,['Alain Milliat'],,,,['Fabriqué en France'],,,,,,,,,,
1575,Chateau Blanc 5 Croissants 325G,3556420200553,,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,19,,12,,43,,"6,6",,"6,8",,1,,"0,4",,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
1576,Filet Bleu - Petit Beurre Bio Avec Tablette De Chocolat,3556940811673,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Biscuits tablette de chocolat', 'Petit beurre au chocolat', 'Biscuits au chocolat noir', 'Biscuits tablette de chocolat noir']","['France', 'Pays-Bas']","['Chocolat noir* 48% ', 'pâte de cacao', 'sucre de canne*', 'beurre de cacao*', 'farine de blé*', 'sucre de canne', 'beurre* 9%', ""poudres à lever: carbonates d'ammonium-carbonates de sodium"", 'amidon de blé', 'poudre de lait écrémé*', 'sel de Guérande', 'acidifiant: acide citrique', "" Traces éventuelles d'oeufs"", 'soja', 'arachide et fruits à coque', "" Ingrédients issus de l'Agriculture Biologique""]",['Non végétalien'],27 g,en quantité élevée,17 g,en quantité élevée,29 g,en quantité élevée,0.4 g,en quantité modérée,?,,505,+1%,2113 kj(505 kcal),+1%,27,+12%,17,+15%,59,-5%,29,-9%,"6,5",-4%,"0,4",-22%,"0,16",-22%,23,+6%,E,+6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Filet Bleu'],"[""E503 - Carbonates d'ammonium"", 'E330 - Acide citrique']","['Gluten', 'Lait']",3,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['Ekoplaza'],,,,,,,,,
1577,Caviar Aquitaine,3558070000088,,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,16,,"3,7",,"1,5",,"0,7",,26,,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,"['FR 17.331.003 CE', 'Saint-Genis-de-Saintonge (Charente-Maritime, France)']",,,,
1578,Creme de marron - Rager Descours - 1kg,3558370000702,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",['France'],"['sucre', 'marrons', 'eau', 'extrait de vanille', ' 38g de marrons pour 100g de produit fini', ' Teneur totale en sucre 62g pour 100g de produit fini     ו ובח']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.2 g,en faible quantité,49 g,en quantité élevée,0.02 g,en faible quantité,?,,249,-1%,1042 kj(249 kcal),-1%,"0,5",-33%,"0,2",+38%,59,-2%,49,-2%,"1,1",0%,"0,02",+7%,"0,008",+7%,13,+13%,D,+13%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,['Rager Descours'],,,3,,,,1 kg,,,,,,,
1579,Châtaignes cuites - Roger Descours - 500g,3558370000757,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Châtaignes']","['France', 'Espagne']",['100 % Marrons UE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.3 g,en faible quantité,0.2 g,en faible quantité,8.3 g,en quantité modérée,0 g,en faible quantité,?,,177,+6%,741 kj(177 kcal),+8%,"1,3",-3%,"0,2",-24%,"35,6",+14%,"8,3",+20%,"2,6",0%,0,-100%,0,-100%,-3,,A,,93.6%,0.0%,0.0%,2.6%,3.4%,0.4%,58,['Roger Descours'],,,1,,,,500 g,,,,,,,
1580,ENDIVE SACHET 1KG - 1kg,3559400000419,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",['France'],[],[],0.2 g,en faible quantité,0.05 g,en faible quantité,1.72 g,en faible quantité,0.01 g,en faible quantité,?,,17,+6%,71 kj(17 kcal),+3%,"0,2",-43%,"0,05",-45%,"2,37",+1%,"1,72",+32%,"1,03",-6%,"0,01",-96%,"0,004",-96%,-5,,A,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,1 kg,,,,,,,
