,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
1069,Tisane à Sucer Fleurs De Bach Urgences Bio - Bioforez,3760116256599,,,,['Bioforez'],,['Bio'],['France'],"['Ingrédieten: acaciagum* gomme acacia', 'agent de charge magnesium carbonaat ', ""extrait de plantes' Clematis vitalba*"", 'Mithogallum umbellatum•', 'Scieranthus annuus*', 'Helianthemum nummularium• Impatiens gandulifera*', 'Malus sylvestris•', 'Prunus cerasifera*']",,,[],,,,,,,,,,?,,202,,845 kj(202 kcal),,"0,59",,"0,37",,"12,7",,"0,34",,"0,69",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
1070,Effiness,3760116300414,,,,,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,
1071,Le Craquant Breton Sachet De 220 g - La Craquanterie,3760116500005,,,,['La Craquanterie'],,,['France'],"['BISCUIT CRAQUANT BRETON Ingrédients : Sucre', 'amande 21%', 'farine de blé', ""blanc d'œuf"", ' Peut contenir des traces de : lait', 'fruits à coque', 'sésame', 'soja']",,"['Œufs', 'Gluten', 'Fruits à coque']",['Non végétalien'],,,,,,,,,,?,,460,,1925 kj(460 kcal),,16,,"1,3",,68,,61,,10,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,
1072,Le Craquant Aux Algues - La Craquanterie,3760116500012,,,,['La Craquanterie'],,,['France'],"['sucre', 'amande', 'farine de blé', ""blanc d'œuf"", 'algues ', 'Ulve', 'Dulse', 'Nori', ' 0,3%', ' Fabriqué dans un atelier utilisant lait', 'œufs', 'gluten', 'fruits à coque', 'soja', 'sésame']",,"['Œufs', 'Gluten', 'Fruits à coque']",['Non végétalien'],,,,,,,,,,?,,451,,1887 kj(451 kcal),,13,,"1,1",,73,,60,,"9,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
1073,Tatin  pommes caramel - Le Craquant - 220g,3760116500180,,220 g,,['Le Craquant'],,,['France'],"['sucre 45%', 'noisette', 'préparation à base de pomme 18% ', 'pomme 70%', 'sucre', 'eau', 'amidon modifié', ""correcteur d'acidité: acide citrique"", 'conservateur: sorbate de potassium', 'arômes', 'farine de blé', ""blanc d'oeuf"", 'sel de Guérande 1%', ' Peut contenir des traces de lait', 'fruits à coque', 'soja', 'sésame']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,?,,451,,1887 kj(451 kcal),,14,,"1,2",,74,,60,,"5,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1074,Kouign Amann - La Craquanterie - 350g,3760116500364,B,350 g,"['Plastique', 'métal', 'Aluminium']",['La Craquanterie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",['Pur beurre'],['France'],"['Farine de blé', 'beurre concentré ', '23 %', 'sucre', 'eau', 'levure', 'sel', 'conservateur E202']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,22.6 g,en quantité élevée,15.2 g,en quantité élevée,22.7 g,en quantité élevée,0.63 g,en quantité modérée,?,,403,-10%,1686 kj(403 kcal),-10%,"22,6",-11%,"15,2",-8%,"45,8",-13%,"22,7",-16%,"4,1",+3%,"0,63",-22%,"0,252",-22%,22,-5%,E,-5%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,"['EMB 29297A', 'Tréméven (Finistère, France)']",,Kouign Amann,,
1075,Ptit Craq - pomme - la biscuiterie de Bretagne,3760116500555,C,,['Plastique'],['la biscuiterie de Bretagne'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,['France'],"['Sucre', 'amande', 'pomme 18% ', 'eau', 'sirop de glucose', 'morceaux de pommes séchés', 'sucre', 'amidon modifié', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique et disulfite de sodium', 'farine de blé', 'blanc d’œuf']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,13 g,en quantité modérée,1 g,en faible quantité,56 g,en quantité élevée,0.05 g,en faible quantité,?,,449,0%,1879 kj(449 kcal),-0%,13,-20%,1,-84%,75,+12%,56,+77%,"8,1",+10%,"0,05",-89%,"0,02",-89%,12,-29%,D,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
1076,P'tit Craq Caramel Salé - Biscuiterie de Bretagne - 150g e,3760116500562,C,150 g e,"['Sachet Plastique', 'Sachet', 'Plastique']",['Biscuiterie de Bretagne'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au caramel']",['Sans beurre'],['France'],"['Sucre 52%', 'noisettes', 'farine de blé', ""blanc d'œuf"", 'sel 1%']",,"['Œufs', 'Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,17 g,en quantité modérée,1.4 g,en faible quantité,62 g,en quantité élevée,1.3 g,en quantité modérée,?,,465,-3%,1946 kj(465 kcal),-3%,17,-22%,"1,4",-89%,70,+11%,62,+88%,"6,5",+20%,"1,3",+85%,"0,52",+85%,18,-22%,D,-22%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Guingamp', 'Bretagne', 'France']",,,['Intermarché'],Biscuit craquant au caramel salé,http://www.labicuiteriedebretagne.com,
1077,P'tit Crag,3760116500579,,,,,,,['France'],[],,,[],,,,,,,,,,?,,455,,1904 kj(455 kcal),,17,,"2,9",,67,,60,,"6,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1078,P'tit Craq,3760116500661,,,,,,,['France'],[],,,[],,,,,,,,,,?,,456,,1908 kj(456 kcal),,15,,"1,2",,69,,61,,"9,3",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
1079,Petit craq,3760116500678,,,,,,,['France'],[],,,[],,,,,,,,,,?,,433,,1812 kj(433 kcal),,12,,"0,9",,71,,61,,"7,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
1080,P'tit craq,3760116500685,,,,,,,['France'],[],,,[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,"15,3",,"1,3",,71,,60,,"9,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,
1081,Crème de Caramel au Chocolat - La Craquanterie - 70g,3760116500715,,70 g,,['La Craquanterie'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1082,Creme de caramel au beurre salé,3760116500722,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,['France'],[],,,[],,24 g,en quantité élevée,17 g,en quantité élevée,45 g,en quantité élevée,0.66 g,en quantité modérée,?,,436,+4%,1824 kj(436 kcal),+4%,24,+24%,17,+43%,54,-8%,45,-5%,"1,3",-28%,"0,66",+9%,"0,264",+9%,26,+6%,E,+6%,,,,,,,,,,,,,,
1083,Crème de caramel au beurre salé - La Biscuiterie de Bretagne - 325g,3760116500906,,325 g,"['Squeezer', 'Plastique']",['La Biscuiterie de Bretagne'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,['France'],"['Crème ', 'lait', 'sucre', 'sirop de glucose', 'beurre ', 'lait', ' 5 %', 'sel 0,5 %']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,24 g,en quantité élevée,17 g,en quantité élevée,45 g,en quantité élevée,0.7 g,en quantité modérée,?,,436,+4%,1824 kj(436 kcal),+4%,24,+24%,17,+43%,54,-8%,45,-5%,"1,3",-28%,"0,7",+15%,"0,28",+15%,27,+10%,E,+10%,,,,,,,,,,,,,,
1084,Craquants nature - Jacques delaunay - 200gr,3760116500975,,200gr,,['Jacques delaunay'],,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,16,,"1,3",,68,,61,,10,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,
1085,Craquants,3760116500982,,,,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,17,,"1,4",,70,,62,,"6,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
1086,Craquants façon Tatin,3760116500999,,,,,,,['France'],[],,,[],,,,,,,,,,?,,451,,1887 kj(451 kcal),,14,,"1,2",,74,,60,,"5,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1087,Le Craquant à la noix de coco - La craquanterie - Biscuitier Breton,3760116501200,,,,['La craquanterie - Biscuitier Breton'],,,['France'],"['sucre', 'noisette', 'farine de blé', ""blanc d'œuf"", 'noix de coco râpée 3%', 'arôme naturel', '                        Fabriqué dans un atelier utilisant lait', 'gluten', 'Soja,']",,"['Œufs', 'Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,454,,1900 kj(454 kcal),,16,,"3,6",,66,,44,,"8,6",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,
1088,Kouign Amann Breton - Le Dréan,3760116501712,B,,['Plastique'],['Le Dréan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",['Fabriqué en France'],['France'],"['Farine de blé ', 'gluten', 'beurre pâtissier 28% ', 'colorant : bêta-carotène', ' ', 'lait', 'sucre', 'sel', 'levure']",['E160ai - Bêta-carotène'],"['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,"['France', 'Bretagne']",,,,Kouign Amann Breton,,
1089,Le craquant au blé noir Breton - La Craquanterie,3760116501743,,,,['La Craquanterie'],,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,14,,"1,19",,74,,59,,"5,7",,"1,14",,"0,456",,,,,,,,,,,,,,,,,,,
1090,Le craquant,3760116501774,,,,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,17,,"1,4",,70,,62,,"6,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
1091,Crème de caramel au beurre salé,3760116501941,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",,['France'],[],,,[],,31 g,en quantité élevée,20 g,en quantité élevée,45 g,en quantité élevée,0.78 g,en quantité modérée,?,,464,+10%,1941 kj(464 kcal),+10%,31,+60%,20,+68%,45,-23%,45,-5%,"1,6",-12%,"0,78",+28%,"0,312",+28%,27,+10%,E,+10%,,,,,,,,,,,,,,
1092,P'tit Craq Amandes - Biscuiterie de Bretagne - 150g,3760116502306,D,150 g,['Sachet plastique'],['Biscuiterie de Bretagne'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",['Sans beurre'],['France'],"['Sucre', 'amandes 21%', 'farine de blé', ""blanc d'œuf""]",,"['Œufs', 'Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,16 g,en quantité modérée,1.3 g,en faible quantité,61 g,en quantité élevée,0.08 g,en faible quantité,1933,+3%,?,,1933 kj(462 kcal),+1%,16,-10%,"1,3",-75%,68,+11%,61,+67%,10,+19%,"0,08",-73%,"0,032",-73%,12,-29%,D,-29%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,"['Bretagne', 'France']",,,['Intermarché'],Biscuits aux amandes,http://www.labiscuiteriedebretagne.com,
1093,Le craquant au miel,3760116502689,,,,,,,['France'],[],,,[],,,,,,,,,,?,,448,,1874 kj(448 kcal),,12,,1,,75,,62,,8,,,,,,,,,,,,,,,,,,,,,,,
1094,Craquant au caramel salé,3760116502696,,,,,,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,14,,"1,19",,"73,7",,"58,8",,"5,7",,"1,14",,"0,456",,,,,,,,,,,,,,,,,,,
1095,Le craquant au citron,3760116502764,,,,,,,['France'],[],,,[],,,,,,,,,,?,,432,,1807 kj(432 kcal),,12,,"0,8",,70,,60,,"7,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
1096,Le craquant,3760116503143,,,,,,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,16,,"1,3",,68,,61,,10,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,
1097,Le craquant au caramel salé,3760116503310,,,,,,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,14,,"1,19",,74,,59,,"5,7",,"1,14",,"0,456",,,,,,,,,,,,,,,,,,,
1098,Cookie breton,3760116503563,,,,,,,['France'],[],,,[],,,,,,,,,,?,,444,,1858 kj(444 kcal),,21,,11,,56,,25,,"6,3",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,
1099,Biscuit craquant au blé noir breton,3760116503570,,,,,,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,14,,"1,19",,74,,59,,"5,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1100,Biscuit craquant au blé noir breton,3760116503570,,,,,,,['France'],[],,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,14,,"1,19",,74,,59,,"5,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1101,Le craquant aux agrumes,3760116503624,,,,,,,['France'],[],,,[],,,,,,,,,,?,,431,,1803 kj(431 kcal),,12,,"0,8",,70,,60,,"7,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
1102,Galettes bretonnes -,3760116505420,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,['France'],[],,,[],,22.8 g,en quantité élevée,15.3 g,en quantité élevée,26.7 g,en quantité élevée,1.28 g,en quantité modérée,?,,508,+4%,2125 kj(508 kcal),+3%,"22,8",-2%,"15,3",+10%,"67,3",+7%,"26,7",+5%,"5,7",-8%,"1,28",+87%,"0,512",+87%,26,+19%,E,+19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,"['EMB 29161C', 'Pleuven (Finistère, France)']",,,,
1103,Jus de pomme cerise,3760116570046,,,,,,,['France'],[],,,[],,,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,10,,1,,0,,,,,,,,,,,,,,,,,,,"['EMB 67103', 'Dossenheim-sur-Zinsel (Bas-Rhin, France)']",,,,
1104,Pain de campagne - Ets Moulin - 500g,3760116600095,,500 g,,['Ets Moulin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['Farine de blé T80*', 'eau purifiée', 'levain naturel', 'sel marin non raffiné', "" *issus de l'agriculture biologique""]",,,['Sans huile de palme'],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['France'],['France'],,['Pimliko'],,,
1105,Pain sarrasin riz,3760116600538,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1106,Quart de miche tranché - Ets Moulin - 450g,3760116602006,,450g,,['Ets Moulin'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Ingrédients: farine de BLE T80*', 'eau purifiée', 'levain naturel sel de mer non raffiné', "" issus de l'agriculture biologique"", "" l'atta""]",,['Gluten'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Novillers'],['France'],,"[""Bio c'est bon""]",,,
1107,Madeleines Pur Beurre - Moulin - 224g (8 * 28g),3760116620048,B,224 g (8 * 28 g),"['Sachet', 'Plastique']","['Moulin', 'Établissement Moulin']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['Bio', 'Bio européen', 'Oeufs de France', 'Fabriqué en France', 'Pur beurre', 'Farine de blé français']",['France'],"['Ingrédients: Farine de blé ', 'farine de blé*', 'farine de blé malté*', 'beurre doux* 27 % ', 'crème laitière', 'ferments lactiques', 'sucre de canne blond*', 'œufs*', 'sirop de blé*', 'poudres à lever carbonates de sodium et phosphates de calcium', 'émulsifiant : lécithines ', 'tournesol', 'sel marin', 'épaississant: gomme guar*', "" Ingrédients issus de l'agriculture biologique""]","['E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E412 - Gomme de guar']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,25 g,en quantité élevée,17 g,en quantité élevée,30 g,en quantité élevée,0.85 g,en quantité modérée,?,,457,+4%,1912 kj(457 kcal),+4%,25,+10%,17,+145%,51,-3%,30,+9%,"6,6",+16%,"0,85",+5%,"0,34",+5%,24,+30%,E,+30%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,['France'],"['France', 'Hors France']",,,,,
1108,Patates/frites,3760116740975,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1109,Fleur De Sel Le Monde En Tube - 25g,3760116741255,A,25 g,"['Tube', 'Verre']",['Le monde en tube'],"['Epicerie', 'Condiments', 'Sels']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,
1110,Brouilly Cuvée Olympias - Domaine des Corindons - 750ml,3760116769549,B,750 ml,"['Verre', 'Bouteille']",['Domaine des Corindons'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Brouilly']","['Point Vert', 'Fabriqué en France', 'Contient des sulfites', 'AOC', 'Déconseillé aux femmes enceintes', ""Médaille d'Or du Concours International du Gamay 2018""]",['France'],"['Vin rouge Brouilly AOC', ' Contient des sulfites']",,['Anhydride sulfureux et sulfites'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],['France'],,['Leclerc'],,,
1111,Ambrée - Rivière d'Ain - 75cl,3760117030220,C,75 cl,"['Bouteille', 'Verre']","[""Rivière d'Ain""]","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']","['Déconseillé aux femmes enceintes', 'International Craft Beer Awards']",['France'],"['Bière ambrée', "" Contient de l'orge""]",,['Gluten'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Ain', 'France']",,,,,,
1112,Magali Mathray 2016 - Gilles Gelin - 75cl,3760117190748,B,75 cl,"['Verre', 'Bouteille']",['Gilles Gelin'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Côte de Brouilly']","['Contient des sulfites', 'AOC', 'Déconseillé aux femmes enceintes']",['France'],"['Vin rouge Côte de Brouilly', 'cépage Gamay', ' Contient des sulfites']",,['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],['France'],"['EMB 69198A', 'Saint-Étienne-la-Varenne (Rhône, France)']",['Auchan'],,,
1113,Confiture De Châtaignes - Casa Di Castagna,3760117540017,C,,,['Casa Di Castagna'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,['France'],"['châtaignes', 'vanille', 'sucre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1 g,en faible quantité,0 g,en faible quantité,36 g,en quantité élevée,0 g,en faible quantité,?,,253,+1%,1059 kj(253 kcal),+1%,1,+33%,0,-100%,60,-0%,36,-28%,1,-9%,0,-100%,0,-100%,10,-13%,C,-13%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,
1114,Confiture De Clémentines,3760117540031,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0 g,en faible quantité,?,,242,+3%,1013 kj(242 kcal),+2%,0,-100%,0,-100%,60,+4%,51,-6%,"0,7",+49%,0,-100%,0,-100%,8,-24%,C,-24%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1115,Miel du jura - Gaec compagnon - 1kg,3760117640182,B,1 kg,,['Gaec compagnon'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels du Jura']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['France'],,,,,
1116,Jambon de Bayonne IGP - Salaison de l'Adour - 80g,3760117740158,D,80 g,"['Frais', 'Plastique']","[""Salaison de l'Adour""]","['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['IGP'],['France'],"['Jambon de porc ', '97 %', 'sel de Salies-de-Béarn', 'conservateur : E252']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",3,17 g,en quantité modérée,7.3 g,en quantité élevée,0 g,en faible quantité,4.7 g,en quantité élevée,1232,+15%,?,,1232 kj(294 kcal),+20%,17,+21%,"7,3",+23%,0,-100%,0,-100%,34,+16%,"4,7",-2%,"1,88",-2%,20,+12%,E,+12%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,['France'],['France'],"['FR 65.284.001 CE', 'Louey (Hautes-Pyrénées, France)', 'EMB 65284A', 'Louey (Hautes-Pyrénées, France)']",['Grand Frais'],Jambon de Bayonne IGP,,
1117,Le Noir de Bigorre,3760117742626,,,,,,,['France'],[],,,[],,,,,,,,,,?,,391,,1636 kj(391 kcal),,"32,4",,"12,5",,0,,0,,25,,"4,9",,"1,96",,,,,,,,,,,,,,,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,
1118,Confiture defraise,3760117840100,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1119,Château de la TEMPERANCE Haut-Médoc 2004 - Bernard Magrez - 75cl,3760117870060,B,75 cl,['Bouteille verre'],['Bernard Magrez'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bordeaux', 'Vins du Médoc', 'Haut-Médoc']",['AOC'],['France'],"['Raisins noirs ', ' Cépages : Merlot', 'Cabernet Sauvignon', 'Petit verdot']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['France', 'Bordeaux']",,['Auchan'],"Vin rouge, Médoc",,
1120,Sirop à la violette - Monin,3760118050386,B,,,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de violette']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,
1121,Sirop de violette - L’atelier de Clotilde,3760118050867,B,,,['L’atelier de Clotilde'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de violette']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,
1122,Confiture mirabelle,3760118051161,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,0,,0,,48,,48,,"1,34",,,,,,,,,,,,,,,,,,,,,,,
1123,Coulis de caramel,3760118051710,,,,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,"26,4",,0,,"55,6",,0,,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
1124,Tuiles à la mirabelle,3760118051741,,,,,,,['France'],[],,,[],,,,,,,,,,?,,434,,1816 kj(434 kcal),,7,,"6,85",,"77,9",,"40,3",,"5,66",,,,,,,,,,,,,,,,,,,,,,,
1125,Confiseries Gelifiées,3760118051765,,,,,,,['France'],[],,,[],,,,,,,,,,?,,346,,1448 kj(346 kcal),,"0,1",,"0,1",,86,,58,,"0,1",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,
