,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
1280,Thon,8410149001721,,['France'],[],[],?,202,845 kj(202 kcal),"10,4","1,3","2,1",0,24,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Poulpe à l'huile d'olive,8410149007952,,['France'],[],[],?,156,653 kj(156 kcal),"7,7","1,2",1,0,"20,6",,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Navajas - Schwertmuscheln In Eigenem Saft,8410149008027,,['France'],[],[],?,88,368 kj(88 kcal),"0,8","0,2","1,2",0,20,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Calamar à la sauce à l'encre - 112g,8410149012758,,['France'],[],[],?,140,586 kj(140 kcal),10,4,"2,1","1,1","10,4",,,,"1,5","0,6",,112 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Moules à l'escabèche - 112g,8410149012765,,['France'],[],[],?,231,967 kj(231 kcal),"18,9","5,5","5,6",0,"9,7",,,,"1,6","0,64",D,112 g,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",,18.9 g,en quantité modérée,5.5 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+16%,+16%,+39%,+163%,+80%,-100%,-38%,+19%,+19%,14,+152%,D,+152%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,
1285,calamars a la sauce americaine -  - 240g,8410149014219,,['France'],[],[],?,239,1000 kj(239 kcal),"19,1","6,2","6,7","2,3",10,,,,"1,5","0,6",,240 g,"['Produits de la mer', 'Mollusques', 'Calamars']",,19.1 g,en quantité modérée,6.2 g,en quantité élevée,2.3 g,en faible quantité,1.5 g,en quantité modérée,,+50%,+46%,+104%,+337%,+51%,+215%,-24%,+33%,+33%,14,+432%,D,+432%,,,,,,,,,,,,,,,,
1286,Sardinillas picantes en aceite de girasol - Auchan - 88g (peso escurrido 65g),8410149019306,['Point Vert'],['France'],"['Sardina ', 'Sardina pilchardus', 'aceite de girasol', 'sal', 'aroma natural de chili']","['Non végétalien', 'Non végétarien']",?,224,937 kj(224 kcal),"15,2",4,2,0,"19,8",['Auchan'],['es:Sardina'],3,1,"0,4",D,88 g (peso escurrido 65 g),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",['ES 12.00559/PO CE'],15.2 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,+9%,+22%,+227%,-100%,-7%,+10%,+10%,4,+8%,C,+8%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,Sardinas picantes en aceite de girasol,"['Etui', 'Carton', 'Boîte', 'Métal', 'Conserve']",,['Auchan'],,,,,
1287,Thon émietté au naturel - Pombina - Poids net 3x77g / Poids net égoutté 3x50g,8410149019450,,['France'],"['Thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",466,?,466 kj(111 kcal),"0,8","0,2","0,5",0,"25,2",['Pombina'],['Poisson'],3,1,"0,4",E,Poids net 3x77 g / Poids net égoutté 3x50 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",['ES 12.00559/PO CE'],0.8 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,-5%,,-3%,-47%,-57%,+313%,-100%,+0%,-4%,-4%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,"['Conserve', 'Métal', 'Carton']",['Espagne'],['Noz'],,,,,
1288,Thon émietté en sauce tomate - Pombina - Poids net : 3x77g / Poids net égoutté : 3x50g,8410149019467,,['France'],"['Thon', 'eau', 'huile de tournesol', 'tomate', 'oignon et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",478,?,478 kj(114 kcal),"2,9","0,6","4,6","4,4","17,2",['Pombina'],['Poisson'],3,1,"0,4",D,Poids net : 3x77 g / Poids net égoutté : 3x50 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve']",['ES 12.00559/PO CE'],2.9 g,en faible quantité,0.6 g,en faible quantité,4.4 g,en faible quantité,1 g,en quantité modérée,-36%,,-41%,-74%,-66%,+621%,+1126%,-24%,-4%,-4%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,Thon émietté en sauce tomate,"['Conserve', 'Carton']",,['Noz'],,,,,
1289,Tapas Calamars dans leur ence - Grandes Hoteles - Poids net 240g / contenance 153ml / poids net égoutté 153g,8410149019573,"['en:gluten-free', 'Sans bisphénol-A']",['France'],"['Calamars', 'eau', 'huile de tournesol', 'oignon', 'tomate', 'sel', 'sucre', ""substitut d'encre"", 'épices', 'épaississant ', 'E415', 'E412']","['Non végétalien', 'Non végétarien']",583,?,583 kj(139 kcal),10,4,"2,1","1,1","10,4",['Grandes Hoteles'],['Mollusques'],4,"1,5","0,6",,Poids net 240 g / contenance 153 ml / poids net égoutté 153 g,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Mollusques', 'Calamars', 'Tapas']",['ES 12.00559/PO CE'],10 g,en quantité modérée,4 g,en quantité modérée,1.1 g,en faible quantité,1.5 g,en quantité modérée,-17%,,-30%,-17%,+81%,-69%,-41%,-11%,-5%,-5%,5,-23%,C,-23%,,,,,,,,,"['Conserve', 'Carton']",['Espagne'],['Noz'],"['E415 - Gomme xanthane', 'E412 - Gomme de guar']",,,,
1290,Moules à l’escabèche - Grandes Hoteles,8410149019740,,['France'],"[""L'ESCABÈCHE S/ POIDS ÉGOUTTÉ: 72 G INFORMATIONS NUTRITIONNELLES 1 portion=56 g"", ' Cette boite contient 2 portions Valeurs moyennes pour: 100 1 Portion 0%2']",[],?,231,967 kj(231 kcal),"18,9","5,5","5,6",0,"9,7",['Grandes Hoteles'],,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Moules a l’escabeche piquante - Grandes Hoteles,8410149019757,,['France'],"[""Moules à l'Escabèche piquantes: Moules"", 'l', 'huile de tournesol', 'vinaigre', 'sel', 'extraits naturels de paprika et arÔmes naturels']","['Non végétalien', 'Non végétarien']",?,227,950 kj(227 kcal),17,"1,9",8,0,"10,6",['Grandes Hoteles'],,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Tapas encourent à la galicienne,8410149019801,,['France'],[],[],?,365,1527 kj(365 kcal),"34,8","4,2","0,9",0,"12,1",,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Moules au naturel,8410149019962,,['France'],[],[],?,103,431 kj(103 kcal),3,"0,8","1,9",0,17,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Moules à l'ail - Pombina - 3 * 65g,8410149019979,,['France'],"[""Moules d'Espagne "", 'Mytilus galloprovincialis', 'huile de tournesol', 'ail', 'épices et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1307,?,1307 kj(312 kcal),30,"3,6","2,7",0,"8,4",['Pombina'],['Mollusques'],3,1,"0,4",B,3 * 65 g,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules']",['ES 12.00559/PO CE'],30 g,en quantité élevée,3.6 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,+128%,,+108%,+261%,+131%,-30%,-100%,-42%,-16%,-16%,5,+55%,C,+55%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,"['Conserve', 'Carton']",['Espagne'],['Noz'],,,,,
1295,Thon (émietté) à la sauce tomate - Fisterra - 111g (72g égoutté),8410149019993,,['France'],"['Thon', 'eau', 'huile de tournesol', 'concentré de tomate', 'oignon et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",478,?,478 kj(114 kcal),"2,9","0,6","4,6","4,4","17,2",['Fisterra'],['Poisson'],3,1,"0,4",D,111 g (72 g égoutté),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thon à la catalane']",['ES 12.00559/PO CE'],2.9 g,en faible quantité,0.6 g,en faible quantité,4.4 g,en faible quantité,1 g,en quantité modérée,-38%,,-26%,-66%,-56%,+34%,+90%,+16%,-4%,-4%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,"['Conserve', 'Carton']",['Espagne'],,,,,,
1296,Moules à l'Escabèche - Fisterra - 3 * 35g (105g),8410149020012,,['France'],"['Moules', 'huile de tournesol', 'vinaigre', 'sel', 'paprika et arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",959,?,959 kj(229 kcal),"18,9","5,5","5,6",0,"9,7",['Fisterra'],['Mollusques'],4,"1,6","0,64",D,3 * 35 g (105 g),"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",['ES 12.00559/PO CE'],18.9 g,en quantité modérée,5.5 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+9%,,+15%,+39%,+163%,+80%,-100%,-38%,+19%,+19%,14,+152%,D,+152%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,['Conserve'],['Espagne'],['Noz'],,,,,
1297,Jus de pomme à base de concentré - 20cl,8410149020067,,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1",10,"9,7","0,1",,,,"0,01","0,004",,20 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Thon à l'huile de tournesol (émietté) - Pombiña - 160g (104g égoutté),8410149020111,,['France'],"['Thon', 'huile de tournesol', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1213,?,1213 kj(290 kcal),"21,8","3,1",0,0,"23,9",['Pombiña'],['Poisson'],3,1,"0,4",E,160 g (104 g égoutté),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",['ES 12.00559/PO CE'],21.8 g,en quantité élevée,3.1 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,+33%,,+33%,+57%,+73%,-100%,-100%,+6%,-8%,-8%,5,+62%,C,+62%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,['Conserve'],['Espagne'],['Noz'],,,,,
1299,Salade de thon Méditerranée - Pombiña - 150g (125g égoutté),8410149020210,,['France'],"['Légumes en proportion variable ', '58 % : carottes', 'oignon', 'poivron rouge', 'petit pois', 'THON ', '25 %', 'huile de tournesol', 'vinaigre', 'eau et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",437,?,437 kj(104 kcal),"5,7","0,7","4,7","0,8","8,6",['Pombiña'],['Poisson'],3,1,"0,4",,150 g (125 g égoutté),"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon', 'Salades de légumes']",['ES 12.00559/PO CE'],5.7 g,en quantité modérée,0.7 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,-22%,,-29%,-31%,-22%,-40%,-60%,+7%,+3%,+3%,-1,-349%,A,-349%,,,,,,,,,['Carton'],['Espagne'],['Noz'],,,,,
1300,Salade de thon Méditerranée - Pombiña - 150g (125g égoutté),8410149020210,,['France'],"['Légumes en proportion variable ', '58 % : carottes', 'oignon', 'poivron rouge', 'petit pois', 'THON ', '25 %', 'huile de tournesol', 'vinaigre', 'eau et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",437,?,437 kj(104 kcal),"5,7","0,7","4,7","0,8","8,6",['Pombiña'],['Poisson'],3,1,"0,4",,150 g (125 g égoutté),"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon', 'Salades de légumes']",['ES 12.00559/PO CE'],5.7 g,en quantité modérée,0.7 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,-22%,,-29%,-31%,-22%,-40%,-60%,+7%,+3%,+3%,-1,-349%,A,-349%,,,,,,,,,['Carton'],['Espagne'],['Noz'],,,,,
1301,Sardinas,8410149060285,,['France'],[],[],?,202,845 kj(202 kcal),"11,8","2,2",0,0,22,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Petites Sardines Marinées,8410149060292,,['France'],[],[],?,221,925 kj(221 kcal),"15,9","7,1","0,1",0,"19,4",,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Hoteles Sardina Limon Aceite 125 g,8410149061091,,['France'],[],[],?,218,912 kj(218 kcal),13,"3,6",0,0,"25,3",,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Moules a l'escabeche,8410149100189,,['France'],[],[],?,231,967 kj(231 kcal),"18,9","5,5","5,6","0,5","9,7",,,,"1,6","0,64",D,,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",,18.9 g,en quantité modérée,5.5 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+16%,+16%,+39%,+163%,+80%,+247%,-38%,+19%,+19%,14,+152%,D,+152%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,
1305,Pulpo - Oktopus In Marinerasauce (tomate) - Grandes hoteles,8410149171035,,['France'],[],[],?,157,657 kj(157 kcal),"11,2","1,4","1,8",1,"12,4",['Grandes hoteles'],,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Antiu Xixona Touron De Jijona Etiquette Noire 300 GRS - Sanchis mira,8410152000018,,['France'],"['Amandes grillées 70%', 'miel ', '12%', 'sucre', 'sucre liquide inverti', 'blanc d’oeuf', ' Traces de noix']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,524,2192 kj(524 kcal),39,3,31,31,13,['Sanchis mira'],['Œufs'],4,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,turrón de alicante - antiu xixona - 250g,8410152000124,['Sans gluten'],"['France', 'Espagne']","['Almendras tostadas ', '65%', 'miel ', '13%', 'azúcar', 'azúcar liquido invertido', 'clara de huevo', 'oblea ', 'fécula de patata', 'aceite vegetal de girasol']","['Sans huile de palme', 'Non végétalien']",?,513,2146 kj(513 kcal),36,"2,7",35,33,12,['antiu xixona'],,4,"0,03","0,012",E,250 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,36 g,en quantité élevée,2.7 g,en quantité modérée,33 g,en quantité élevée,0.03 g,en faible quantité,,-4%,-4%,+8%,-5%,-18%,-12%,-13%,-15%,-15%,8,-44%,C,-44%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,['Tablette'],,,,,,,
1308,Turron Alicante Etiquette Noire - Antiu Xixona,8410152000131,,['France'],[],[],?,512,2142 kj(512 kcal),35,"2,7",37,35,12,['Antiu Xixona'],,,"0,03","0,012",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,35 g,en quantité élevée,2.7 g,en quantité modérée,35 g,en quantité élevée,0.03 g,en faible quantité,,-2%,-2%,+12%,-49%,-18%,-9%,0%,-53%,-53%,15,-9%,D,-9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1309,Turron de Jijona blanc - Antiu Xixona,8410152001008,,['France'],"['Amandes grillées ', '64%', 'sucre liquide inverti', 'miel ', '12%', 'sucre', 'blanc dioeuf', ' Traces de noix']",['Non végétalien'],?,512,2142 kj(512 kcal),35,"2,7",37,36,12,['Antiu Xixona'],,4,"0,03","0,012",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,35 g,en quantité élevée,2.7 g,en quantité modérée,36 g,en quantité élevée,0.03 g,en faible quantité,,-6%,-6%,-2%,-7%,-5%,+6%,-22%,-13%,-13%,8,-42%,C,-42%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1310,Turron de jijona,8410152001039,,['France'],[],[],?,516,2159 kj(516 kcal),36,3,36,34,12,,,,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,36 g,en quantité élevée,3 g,en quantité modérée,34 g,en quantité élevée,,,,-5%,-5%,+1%,+3%,-8%,0%,-22%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1311,Turron Trufa - Antiu Xixona,8410152001473,,['France'],[],[],?,563,2356 kj(563 kcal),38,17,48,47,"6,2",['Antiu Xixona'],,,"0,1","0,04",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,38 g,en quantité élevée,17 g,en quantité élevée,47 g,en quantité élevée,0.1 g,en faible quantité,,+8%,+8%,+21%,+222%,+6%,+22%,-48%,+56%,+56%,27,+64%,E,+64%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1312,Turrón Yema Tostada - Antiu Xixona,8410152001602,['en:gluten-free'],['France'],"['Amande ', '40%', 'sucre', ""jaune d'oeuf confit "", '20%', ' ', 'sirop de glucose,', 'lait Condensé ', 'lait frais', 'sucre', ' stabilisateur E-466', "" correcteur d'acidité "", 'E-330', ' arome', 'conservateurs ', 'E-200', 'E-202', "" Traces d'autres noix""]",['Non végétalien'],?,492,2059 kj(492 kcal),27,"3,3",51,51,11,['Antiu Xixona'],"['Lait', 'Fruits à coque']",4,"0,04","0,016",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', ""Tourons au jaune d'œuf grillé""]",,27 g,en quantité élevée,3.3 g,en quantité modérée,51 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+7%,+11%,+26%,+5%,+26%,+5%,+21%,+21%,19,+37%,E,+37%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,"['E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
1313,Turrón chocolate con almendras - Antiuxixona,8410152001879,['Sans sucre ajouté'],['France'],"['iNGRÉDlENTS: Edulcorant ', 'maltitol', ' fourré aux amandes grillées ', '23%', 'kit en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiant ', 'lecithine de soja', ' arôme', 'edufcorant ', 'E-950', 'Cacao: 34% minimum', ' Traces de noix', ' SANS AJOUTÉS / CONTIENT DES SUCRES NATURELLEMENT PRÉSENT']",[],?,373,1561 kj(373 kcal),38,16,42,5,11,['Antiuxixona'],['Soja'],4,"0,1","0,04",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,38 g,en quantité élevée,16 g,en quantité élevée,5 g,en quantité modérée,0.1 g,en faible quantité,,-29%,-29%,+21%,+203%,-7%,-87%,-8%,+56%,+56%,12,-27%,D,-27%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,"['E965 - Maltitol', 'E322i - Lécithine', 'E950 - Acésulfame K']",,,,
1314,Turron Imperial Con Almendra - Antiu Xiona - 200g,8410152001909,"['en:gluten-free', 'Sans sucre ajouté', 'Avec édulcorants']",['France'],"['Amande grillée ', '60%', 'edulcorant ', 'maltitol', 'sorbitol', 'E-950', ""blanc d'oeuf"", 'pain azyme ', 'fécule de pomme de terre', 'huile végétale de tournesol', ' Traces de noix et arachide']","['Sans huile de palme', 'Non végétalien']",?,450,1883 kj(450 kcal),33,23,42,3,12,['Antiu Xiona'],['Œufs'],4,3,"1,2",E,200 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,33 g,en quantité élevée,23 g,en quantité élevée,3 g,en faible quantité,3 g,en quantité élevée,,-14%,-14%,+5%,+336%,-7%,-92%,0%,+4566%,+4566%,24,+45%,E,+45%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,"['E965 - Maltitol', 'E420 - Sorbitol', 'E950 - Acésulfame K']",,,,
1315,WAFER STICKS FILLED WITH TURRON,8410152006089,,['France'],[],[],?,442,1849 kj(442 kcal),19,"3,5",61,"1,4",6,,,,"0,2","0,08",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,19 g,en quantité modérée,3.5 g,en quantité modérée,1.4 g,en faible quantité,0.2 g,en faible quantité,,-15%,-16%,-39%,-34%,+35%,-96%,-50%,+211%,+211%,5,-70%,C,-70%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1316,Barquillos al chocolate -,8410152006164,,"['France', 'Espagne']",[],[],?,468,1958 kj(468 kcal),19,11,69,47,"5,8",,,,"0,1","0,04",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",,19 g,en quantité modérée,11 g,en quantité élevée,47 g,en quantité élevée,0.1 g,en faible quantité,,-6%,-6%,-23%,-25%,+12%,+37%,+5%,-71%,-71%,25,+14%,E,+14%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,,
1317,Turron - Antiu Xixona,8410152012004,,['France'],[],[],?,516,2159 kj(516 kcal),36,"2,8",35,34,12,['Antiu Xixona'],,,"0,03","0,012",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,36 g,en quantité élevée,2.8 g,en quantité modérée,34 g,en quantité élevée,0.03 g,en faible quantité,,-5%,-5%,+1%,-3%,-10%,0%,-22%,-13%,-13%,15,+9%,D,+9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1318,Chocolat au Lait Extra-Fin - Antiu Xixona - 150g,8410152020108,['Fabriqué en Espagne'],['France'],"['Sucre', 'lait en poudre', 'beurre de cacao', 'pâte de cacao', 'pâte de noisette', 'émulsifiant ', 'lécithine de tournesol', 'arôme ', 'vanilline', ' 30% de cacao minimum']","['Sans huile de palme', 'Non végétalien']",?,543,2272 kj(543 kcal),33,19,54,53,"7,5",['Antiu Xixona'],"['Lait', 'Fruits à coque']",4,"0,2","0,08",E,150 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait extra fin']",,33 g,en quantité élevée,19 g,en quantité élevée,53 g,en quantité élevée,0.2 g,en faible quantité,,-1%,-1%,-2%,-5%,+0%,+2%,+12%,-8%,-8%,24,-8%,E,-8%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,Chocolat au lait extra fin avec pâte de noisette,"['Etui', 'Plastique', 'Aluminium', 'étui refermable']","['Jijona', 'Alicante', 'Espagne']",['Noz'],['E322i - Lécithine'],,,,
1319,Chocolate artesano de Valencia - Antiu Forn,8410152020207,,['France'],[],[],?,529,2213 kj(529 kcal),33,20,48,45,"5,8",['Antiu Forn'],,,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Chocolate extrafino - Antiu Xixona - 100g,8410152020252,['en:gluten-free'],"['France', 'Maroc']",[],[],?,579,2423 kj(579 kcal),44,27,33,29,"7,4",['Antiu Xixona'],,,"0,01","0,004",E,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,44 g,en quantité élevée,27 g,en quantité élevée,29 g,en quantité élevée,0.01 g,en faible quantité,,+4%,+4%,+12%,+17%,-15%,-9%,-3%,-79%,-79%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
1321,Turrón duro - El Quijote,8410152039513,['en:gluten-free'],['France'],"['Amandes grillées ', '46%', 'sucre', 'sucre liquide inverti', 'miel ', '12%', 'blanc doeuf', 'pain azime ', 'fécule de pomme de terre', 'huile végétale de tournesol', ' Traces de noix et arachide']",['Non végétalien'],?,477,1996 kj(477 kcal),25,"1,9",53,51,"8,9",['El Quijote'],,4,"0,02","0,008",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,25 g,en quantité élevée,1.9 g,en quantité modérée,51 g,en quantité élevée,0.02 g,en faible quantité,,-11%,-11%,-25%,-33%,+24%,+36%,-36%,-44%,-44%,15,+5%,D,+5%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
1322,8410152039520,8410152039520,['en:gluten-free'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Turron Von Erdnüssen Blando 300 g,8410152040571,['en:gluten-free'],['France'],[],[],?,506,2117 kj(506 kcal),29,8,44,43,16,,,,"0,02","0,008",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,29 g,en quantité élevée,8 g,en quantité élevée,43 g,en quantité élevée,0.02 g,en faible quantité,,-3%,-3%,-7%,+52%,-3%,+12%,+33%,-69%,-69%,22,+33%,E,+33%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,
